# 19900530_Sequence_Vrancea/19900530_M6.95_Vrancea median gmf, Stations:Seismic, gmlt:GEM, Rupture:Ganasetal2010
custom_site_id,lon,lat,"BCHydroESHM20SSlab
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
s_0,26.161,44.441,0.12489086,0.122653,0.12716955,0.12489086,0.12489086
s_1,26.7277,45.8657,0.13216233,0.1297436,0.13462614,0.13216233,0.13216233
s_10,27.11699999999999,46.033,0.110450774,0.10902698,0.11189316,0.110450774,0.110450774
s_100,27.760999999999996,45.472,0.04971063,0.048778117,0.05066097,0.04971063,0.04971063
s_1000,31.319999999999993,47.91,0.004949399,0.004851407,0.0050493698,0.004949399,0.004949399
s_1001,24.962999999999994,42.3,0.0054622227,0.0053540803,0.0055725495,0.0054622227,0.0054622227
s_1003,24.63300000000001,45.368,0.004349671,0.004263553,0.004437528,0.004349671,0.004349671
s_1004,24.90700000000001,46.503,0.0068477467,0.0067121685,0.006986063,0.0068477467,0.0068477467
s_1005,24.920999999999992,46.598,0.0045671016,0.0044766786,0.004659351,0.0045671016,0.0045671016
s_1006,24.805000000000007,46.536,0.003079163,0.0030181992,0.003141358,0.003079163,0.003079163
s_1007,24.575999999999993,46.227,0.005143647,0.0050418098,0.0052475412,0.005143647,0.005143647
s_1008,24.598000000000013,46.297,0.0060022566,0.0058834185,0.0061234953,0.0060022566,0.0060022566
s_1009,24.53,46.137,0.0040762913,0.0039955853,0.0041586272,0.0040762913,0.0040762913
s_101,27.61699999999999,45.329,0.0477307,0.04700408,0.048468553,0.0477307,0.0477307
s_1010,28.03200000000001,44.314,0.012502724,0.012255184,0.0127552645,0.012502724,0.012502724
s_1011,24.931999999999988,46.771,0.008408133,0.008241662,0.008577968,0.008408133,0.008408133
s_1012,24.52000000000001,46.395,0.0015587775,0.0015279154,0.0015902629,0.0015587775,0.0015587775
s_1013,24.412000000000006,46.19,0.0013673746,0.001340302,0.001394994,0.0013673746,0.0013673746
s_1014,24.474999999999994,46.371,0.0059011956,0.0057843584,0.0060203928,0.0059011956,0.0059011956
s_1015,24.763000000000005,46.769,0.0044140406,0.004326648,0.0045031984,0.0044140406,0.0044140406
s_1016,24.65299999999999,46.672,0.0061706435,0.0060484717,0.0062952833,0.0061706435,0.0061706435
s_1017,24.351,46.164,0.008707145,0.008534754,0.008883019,0.008707145,0.008707145
s_1018,24.760999999999996,46.81,0.0048962752,0.0047993367,0.0049951714,0.0048962752,0.0048962752
s_1019,24.49000000000001,46.501,0.0010217403,0.0010015109,0.0010423783,0.0010217403,0.0010217403
s_102,26.566000000000003,45.04,0.042258836,0.041493364,0.043038428,0.042258836,0.042258836
s_1020,24.626000000000005,46.706,0.006842464,0.0067069912,0.006980674,0.006842464,0.006842464
s_1021,24.732,46.814,0.0015525114,0.0015217733,0.0015838702,0.0015525114,0.0015525114
s_1022,25.369,47.292,0.0012395865,0.0012150441,0.0012646248,0.0012395865,0.0012395865
s_1023,24.466999999999985,46.557,0.0031942145,0.003130973,0.0032587333,0.0031942145,0.0031942145
s_1024,24.257000000000005,46.118,0.00874,0.00874,0.00874,0.00874,0.00874
s_103,26.37700000000001,45.085,0.038425285,0.0377262,0.039137326,0.038425285,0.038425285
s_104,25.992999999999995,45.316,0.032773525,0.032145016,0.033414323,0.032773525,0.032773525
s_105,27.936000000000007,45.958,0.033545427,0.032957263,0.034144085,0.033545427,0.033545427
s_106,26.494,46.483,0.035248566,0.034596905,0.035912503,0.035248566,0.035248566
s_107,27.639999999999986,45.286,0.032343213,0.03175369,0.032943677,0.032343213,0.032343213
s_108,26.900000000000006,46.5667,0.038742755,0.0380916,0.03940504,0.038742755,0.038742755
s_109,27.990999999999985,45.79,0.16736,0.16736,0.16736,0.16736,0.16736
s_11,27.27000000000001,45.749,0.14023049,0.13774806,0.14275765,0.14023049,0.14023049
s_110,27.836000000000013,45.443,0.0428117,0.042393673,0.04323384,0.0428117,0.0428117
s_111,27.00999999999999,46.579,0.16367,0.16367,0.16367,0.16367,0.16367
s_112,27.480999999999995,45.135,0.15908,0.15908,0.15908,0.15908,0.15908
s_113,26.857,46.583,0.15816,0.15816,0.15816,0.15816,0.15816
s_114,27.62100000000001,45.218,0.12841024,0.126647,0.13019803,0.12841024,0.12841024
s_115,27.14099999999999,44.977,0.13795371,0.13784857,0.13805893,0.13795371,0.13795371
s_116,25.71199999999999,45.617,0.155,0.155,0.155,0.155,0.155
s_117,25.938999999999993,45.233,0.15418,0.15418,0.15418,0.15418,0.15418
s_118,28.016999999999996,46.066,0.15122,0.15122,0.15122,0.15122,0.15122
s_119,27.745000000000005,45.29,0.15078218,0.15058766,0.15097694,0.15078218,0.15078218
s_12,26.771000000000015,46.25,0.1111428,0.11048957,0.111799896,0.1111428,0.1111428
s_120,27.670999999999992,46.437,0.09186407,0.09012492,0.09363678,0.09186407,0.09186407
s_121,26.860000000000014,44.928,0.14663,0.14663,0.14663,0.14663,0.14663
s_122,27.909999999999997,46.254,0.1451,0.1451,0.1451,0.1451,0.1451
s_123,25.962999999999994,45.181,0.14194,0.14194,0.14194,0.14194,0.14194
s_124,28.089,45.836,0.13837,0.13837,0.13837,0.13837,0.13837
s_125,26.236999999999995,45.021,0.13816,0.13816,0.13816,0.13816,0.13816
s_126,26.990999999999985,44.917,0.13633,0.13633,0.13633,0.13633,0.13633
s_127,25.68100000000001,45.853,0.058768425,0.05800374,0.059543196,0.058768425,0.058768425
s_128,28.067000000000007,45.65,0.049998395,0.04909004,0.05092356,0.049998395,0.049998395
s_129,27.92500000000001,45.412,0.048933543,0.048034705,0.0498492,0.048933543,0.048933543
s_13,25.73599999999999,45.119,0.12241249,0.120429456,0.12442817,0.12241249,0.12241249
s_130,27.061000000000007,46.648,0.134694,0.134694,0.134694,0.134694,0.134694
s_131,26.00999999999999,45.099,0.051670775,0.050798807,0.052557703,0.051670775,0.051670775
s_132,28.02199999999999,46.206,0.050525893,0.049569156,0.0515011,0.050525893,0.050525893
s_133,25.733000000000004,45.351,0.08985743,0.089611575,0.090103954,0.08985743,0.08985743
s_134,27.36699999999999,44.969,0.039459765,0.038712908,0.040221035,0.039459765,0.039459765
s_135,26.650000000000006,44.877,0.041852374,0.04113846,0.042578675,0.041852374,0.041852374
s_136,26.555000000000007,46.638,0.12878,0.12878,0.12878,0.12878,0.12878
s_137,25.591999999999985,45.817,0.034907043,0.034265313,0.035560794,0.034907043,0.034907043
s_138,28.180000000000007,45.8,0.033439923,0.0328094,0.034082565,0.033439923,0.033439923
s_139,26.97800000000001,46.707,0.026735846,0.02621138,0.027270807,0.026735846,0.026735846
s_14,26.762,46.25,0.13624659,0.13425596,0.13826676,0.13624659,0.13624659
s_140,28.159999999999997,46.04,0.20400587,0.20025167,0.20783046,0.20400587,0.20400587
s_141,28.170000000000016,45.64,0.17944516,0.17614906,0.18280293,0.17944516,0.17944516
s_142,27.46199999999999,46.645,0.12832746,0.12690912,0.12976165,0.12832746,0.12832746
s_143,25.546999999999997,45.765,0.1843174,0.18085048,0.18785077,0.1843174,0.1843174
s_144,27.759000000000015,46.532,0.12031,0.12031,0.12031,0.12031,0.12031
s_145,27.709000000000003,46.567,0.16821234,0.1656502,0.17081408,0.16821234,0.16821234
s_146,25.685000000000002,45.272,0.17140247,0.16877984,0.17406587,0.17140247,0.17140247
s_147,27.11500000000001,44.829,0.15894601,0.1560998,0.16184409,0.15894601,0.15894601
s_148,25.714,45.214,0.16109012,0.15884693,0.16336498,0.16109012,0.16109012
s_149,27.591999999999985,46.646,0.13201787,0.12993456,0.13413458,0.13201787,0.13201787
s_15,26.019000000000005,44.676,0.12673171,0.12455574,0.1289457,0.12673171,0.12673171
s_150,26.77000000000001,44.787,0.1345161,0.1322191,0.13685302,0.1345161,0.1345161
s_151,26.408999999999992,44.822,0.11704,0.11704,0.11704,0.11704,0.11704
s_152,27.977000000000004,45.244,0.15158074,0.15004365,0.15313356,0.15158074,0.15158074
s_153,26.769000000000005,46.776,0.11040119,0.10837423,0.11246607,0.11040119,0.11040119
s_154,27.801999999999992,45.075,0.11389464,0.11185999,0.1159663,0.11389464,0.11389464
s_155,26.30000000000001,44.833,0.115,0.115,0.115,0.115,0.115
s_156,25.74000000000001,45.129,0.10065725,0.098897435,0.102448374,0.10065725,0.10065725
s_157,27.930000000000007,45.177,0.1148,0.1148,0.1148,0.1148,0.1148
s_158,25.733000000000004,45.141,0.11473,0.11473,0.11473,0.11473,0.11473
s_159,27.90700000000001,45.13,0.14908789,0.14658117,0.15163748,0.14908789,0.14908789
s_16,26.712999999999994,45.712,0.1090603,0.1080964,0.1100328,0.1090603,0.1090603
s_160,26.579999999999984,44.75,0.10862102,0.10651624,0.11076739,0.10862102,0.10862102
s_161,26.995000000000005,46.814,0.14779498,0.14616852,0.14943954,0.14779498,0.14779498
s_162,26.433999999999997,44.767,0.11408,0.11408,0.11408,0.11408,0.11408
s_163,26.617999999999995,46.798,0.13051161,0.12853067,0.13252307,0.13051161,0.13051161
s_164,26.512,46.778,0.09608193,0.09421951,0.09798116,0.09608193,0.09608193
s_165,25.964,44.92,0.089123994,0.087745905,0.09052372,0.089123994,0.089123994
s_166,27.18100000000001,46.817,0.09314239,0.09133257,0.09498808,0.09314239,0.09314239
s_167,28.150000000000006,46.379,0.0921121,0.09032536,0.09393418,0.0921121,0.0921121
s_168,26.774,46.831,0.10207133,0.10192405,0.10221884,0.10207133,0.10207133
s_169,26.64500000000001,44.718,0.111862734,0.10982577,0.113937475,0.111862734,0.111862734
s_17,26.899,45.909,0.12556669,0.1246931,0.12644641,0.12556669,0.12556669
s_170,27.24199999999999,46.823,0.10677414,0.105645396,0.10791493,0.10677414,0.10677414
s_171,27.807999999999993,44.994,0.10352391,0.10168089,0.10540034,0.10352391,0.10352391
s_172,26.013000000000005,44.874,0.086297765,0.084764525,0.08785874,0.086297765,0.086297765
s_173,28.289999999999992,45.46,0.08675592,0.08548734,0.08804331,0.08675592,0.08675592
s_174,26.840000000000003,46.855,0.13400827,0.13168584,0.13637167,0.13400827,0.13400827
s_175,25.990999999999985,44.86,0.123753294,0.12169156,0.12584996,0.123753294,0.123753294
s_176,28.400000000000006,45.68,0.07848899,0.07696476,0.080043405,0.07848899,0.07848899
s_177,27.289999999999992,44.735,0.11574611,0.113704,0.1178249,0.11574611,0.11574611
s_178,26.711000000000013,44.678,0.13165377,0.13046595,0.1328524,0.13165377,0.13165377
s_179,27.81899999999999,46.683,0.11036496,0.10876584,0.1119876,0.11036496,0.11036496
s_18,26.726,45.642,0.107941955,0.106038176,0.10987992,0.107941955,0.107941955
s_180,26.016999999999996,44.817,0.09748698,0.09584867,0.099153295,0.09748698,0.09748698
s_181,27.123999999999995,46.889,0.10184107,0.10009167,0.10362104,0.10184107,0.10184107
s_182,25.573000000000008,45.098,0.110967465,0.10931124,0.112648785,0.110967465,0.110967465
s_183,27.61699999999999,44.806,0.11576412,0.1139815,0.11757461,0.11576412,0.11576412
s_184,25.629999999999995,45.026,0.10402405,0.1032336,0.10482056,0.10402405,0.10402405
s_185,25.77000000000001,44.919,0.11990495,0.11772454,0.122125745,0.11990495,0.11990495
s_186,26.650000000000006,44.637,0.11071,0.11071,0.11071,0.11071,0.11071
s_187,26.90100000000001,44.631,0.06545578,0.064176835,0.066760205,0.06545578,0.06545578
s_188,26.932999999999993,46.925,0.113961264,0.112799965,0.11513452,0.113961264,0.113961264
s_189,27.836000000000013,44.896,0.13664351,0.13408652,0.13924927,0.13664351,0.13664351
s_19,26.77799999999999,45.827,0.12079078,0.11950284,0.1220926,0.12079078,0.12079078
s_190,26.75,44.6167,0.109425314,0.107695624,0.11118278,0.109425314,0.109425314
s_191,26.74600000000001,44.614,0.11529624,0.113122955,0.11751128,0.11529624,0.11529624
s_192,27.00999999999999,44.619,0.10440553,0.10254867,0.106296025,0.10440553,0.10440553
s_193,28.084000000000003,46.621,0.12170963,0.119591534,0.12386524,0.12170963,0.12170963
s_194,27.061000000000007,44.593,0.111437604,0.11006219,0.112830214,0.111437604,0.111437604
s_195,28.060000000000002,46.674,0.1342501,0.13387057,0.13463071,0.1342501,0.1342501
s_196,27.163999999999987,44.587,0.062357735,0.061173514,0.06356488,0.062357735,0.062357735
s_197,28.173000000000002,46.618,0.061094753,0.059899773,0.062313575,0.061094753,0.061094753
s_198,25.433999999999997,45.078,0.08099465,0.07985197,0.08215369,0.08099465,0.08099465
s_199,26.650000000000006,46.993,0.10929,0.10929,0.10929,0.10929,0.10929
s_2,27.626000000000005,46.266,0.09855032,0.09817296,0.09892913,0.09855032,0.09855032
s_20,27.067000000000007,45.795,0.13194077,0.12968326,0.13423759,0.13194077,0.13194077
s_200,26.01400000000001,44.679,0.1092,0.1092,0.1092,0.1092,0.1092
s_201,28.610000000000014,45.68,0.12883405,0.1264474,0.13126574,0.12883405,0.12883405
s_202,27.433999999999997,46.968,0.089238815,0.08759923,0.090909086,0.089238815,0.089238815
s_203,27.336000000000013,46.986,0.055569034,0.05448029,0.056679543,0.055569034,0.055569034
s_204,26.317000000000007,44.583,0.10036499,0.099596694,0.10113921,0.10036499,0.10036499
s_205,26.808999999999997,45.147,0.058563177,0.057439446,0.05970889,0.058563177,0.058563177
s_206,26.823000000000008,47.022,0.10857,0.10857,0.10857,0.10857,0.10857
s_207,28.626000000000005,45.632,0.09796971,0.09623293,0.09973783,0.09796971,0.09796971
s_208,27.185000000000002,44.545,0.08759227,0.0861795,0.08902819,0.08759227,0.08759227
s_209,25.896000000000015,44.694,0.10042119,0.098562084,0.10231536,0.10042119,0.10042119
s_21,26.733299999999986,45.85,0.1276442,0.12628813,0.12901482,0.1276442,0.1276442
s_210,27.896000000000015,46.875,0.083833374,0.08230152,0.08539375,0.083833374,0.083833374
s_211,28.144000000000005,44.92,0.11767538,0.115963034,0.11941301,0.11767538,0.11767538
s_212,28.074000000000012,46.805,0.098266646,0.0967415,0.09981584,0.098266646,0.098266646
s_213,27.716999999999985,46.963,0.08983339,0.088126,0.09157388,0.08983339,0.08983339
s_214,27.51599999999999,44.566,0.103945054,0.101948746,0.10598045,0.103945054,0.103945054
s_215,26.433999999999997,44.484,0.08951068,0.08787253,0.09117937,0.08951068,0.08951068
s_216,27.51599999999999,47.039,0.072662875,0.0712698,0.07408318,0.072662875,0.072662875
s_217,26.931999999999988,44.443,0.086928524,0.08524388,0.08864645,0.086928524,0.086928524
s_218,27.954000000000008,46.921,0.09034226,0.0889694,0.0917363,0.09034226,0.09034226
s_219,25.94399999999999,44.57,0.08937703,0.08800291,0.0907726,0.08937703,0.08937703
s_22,26.72800000000001,45.864,0.1264121,0.12505284,0.1277861,0.1264121,0.1264121
s_220,27.150000000000006,44.433,0.08234921,0.08098017,0.08374141,0.08234921,0.08234921
s_221,25.637,44.684,0.06442966,0.06333586,0.06554236,0.06442966,0.06442966
s_222,27.483000000000004,47.108,0.071427904,0.07007735,0.07280449,0.071427904,0.071427904
s_223,27.13300000000001,47.156,0.11304234,0.11139981,0.114709094,0.11304234,0.11304234
