# 19900530_Sequence_Vrancea/19900530_M6.95_Vrancea median gmf, Stations:None, gmlt:USGS, Rupture:EFEHR
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,LinLee2008SSlab,ZhaoEtAl2016SSlab
t_10,24.555939999999993,41.579,0.006028254,0.0024486734,0.0054240674,0.008321003
t_100,24.796570000000003,42.17033,0.012470537,0.0048152003,0.0065295496,0.0115643665
t_101,24.472820000000013,42.1939,0.011611349,0.0045558936,0.0063557527,0.011097023
t_1010,20.95239000000001,46.23663,0.012505768,0.0044474974,0.006400702,0.010935877
t_1011,20.614859999999993,46.25321,0.010926336,0.003594887,0.0058125677,0.009302812
t_1012,21.13347999999999,46.34515,0.013484797,0.004941085,0.0067289076,0.011828065
t_1013,20.79561000000001,46.36202,0.011847527,0.003985807,0.0060964795,0.010078858
t_1014,20.45761999999999,46.37834,0.010426035,0.0032304944,0.005549437,0.008620625
t_1015,20.97675000000001,46.47058,0.012489426,0.004408101,0.006391893,0.01086364
t_1016,20.63843,46.48717,0.0107857045,0.0035669114,0.00580638,0.009248909
t_1017,21.158299999999997,46.57887,0.013096325,0.0048610875,0.0066979206,0.011646413
t_1018,20.81962999999999,46.59575,0.011638688,0.003927943,0.006072342,0.0099367695
t_1019,20.480850000000004,46.61207,0.010484431,0.0031883596,0.0055305553,0.008536903
t_102,24.974620000000016,42.27868,0.012302957,0.0055114226,0.00695274,0.012789752
t_1021,20.119529999999997,46.3941,0.008740664,0.0026296924,0.0050731786,0.0073739216
t_1023,20.299990000000008,46.50321,0.009599142,0.002899104,0.0052979984,0.007928013
t_1025,20.14196000000001,46.62784,0.00877878,0.0025988068,0.0050583435,0.007309504
t_1027,20.322869999999995,46.73671,0.009823339,0.0028473993,0.005268919,0.00784872
t_103,24.65057999999999,42.30254,0.012462774,0.005236849,0.0067765047,0.01231131
t_104,24.828699999999998,42.41093,0.012725789,0.0060216826,0.0072345575,0.013663746
t_105,24.504220000000004,42.43451,0.010849554,0.00505185,0.0074569136,0.014266168
t_106,24.682410000000004,42.54294,0.009314132,0.005835509,0.007979027,0.012599274
t_107,24.86097000000001,42.65113,0.009137251,0.0043548327,0.008550518,0.014041065
t_108,24.53576000000001,42.67473,0.010138111,0.006311159,0.008267779,0.013359693
t_109,23.824880000000007,42.2394,0.0066784117,0.0035069399,0.0063097035,0.008618069
t_11,24.732759999999985,41.68799,0.006088572,0.0027810365,0.0057316525,0.0072526378
t_110,24.326390000000004,42.32584,0.010150173,0.00437669,0.0069795707,0.012818289
t_111,24.00206,42.34859,0.008751725,0.0040544625,0.0067333556,0.012108143
t_112,24.17958999999999,42.45755,0.010226306,0.004693289,0.0071977023,0.013503583
t_113,23.854829999999993,42.48004,0.008241421,0.004308279,0.0069145313,0.01266863
t_114,24.357489999999984,42.56626,0.008555612,0.0035119052,0.00770742,0.011954356
t_1146,21.001229999999993,46.70406,0.012484824,0.0043125674,0.006346352,0.0106878
t_1147,20.662109999999984,46.72067,0.010794658,0.0034968837,0.005770111,0.009113513
t_1148,20.843760000000003,46.82901,0.011624846,0.0038234587,0.006015645,0.009771719
t_1149,20.504189999999994,46.84533,0.010419521,0.0031110276,0.0054848436,0.008382516
t_115,24.032430000000005,42.58903,0.009983838,0.005004598,0.007405817,0.01416645
t_1150,21.02582000000001,46.93709,0.012343148,0.0041661994,0.006265884,0.010416504
t_1151,20.685900000000004,46.95369,0.010965048,0.0033884302,0.0057051075,0.008932042
t_1152,20.86802,47.0618,0.011298608,0.0036778115,0.0059284987,0.009493396
t_1153,20.527629999999988,47.07813,0.010214356,0.00300218,0.0054138163,0.00816356
t_1154,21.05053000000001,47.16964,0.011391208,0.0039766543,0.0061534885,0.010028343
t_1155,20.709810000000004,47.18625,0.010561117,0.0032467688,0.0056135627,0.008652889
t_1158,20.34586999999999,46.96975,0.009672694,0.00276643,0.0052159945,0.007682305
t_116,24.210399999999993,42.69778,0.01089787,0.005822619,0.007947492,0.01586249
t_1163,20.36896999999999,47.20231,0.009165318,0.0026597853,0.005140839,0.0074365013
t_117,23.88490999999999,42.72029,0.008815236,0.0053042723,0.007600856,0.011731997
t_118,24.388739999999984,42.80629,0.009455195,0.004380745,0.008545878,0.01410358
t_1186,20.892380000000003,47.29412,0.010914113,0.0034979344,0.005813812,0.009115549
t_1187,20.551199999999994,47.31046,0.010012752,0.0028667308,0.005319724,0.007888274
t_1188,21.07535999999999,47.40172,0.01175207,0.0037529801,0.006013004,0.009637375
t_1189,20.73383000000001,47.41834,0.010195779,0.0030781827,0.00549833,0.008289108
t_119,23.529930000000007,42.50198,0.007622817,0.003912559,0.006615348,0.009349792
t_1190,20.916859999999986,47.52596,0.010797018,0.003291793,0.0056752306,0.008741938
t_1191,20.574870000000004,47.54231,0.009733119,0.002710209,0.0052052513,0.0075660297
t_1192,21.100310000000007,47.63332,0.01130075,0.0035048383,0.005848856,0.009159245
t_1193,20.757959999999997,47.64995,0.009380181,0.0028895107,0.0053627538,0.007908512
t_1194,20.941460000000006,47.75733,0.010275585,0.0030675214,0.0055167447,0.008295234
t_12,24.909940000000006,41.79674,0.005885802,0.0020387622,0.0060615516,0.007970943
t_120,23.707240000000013,42.61126,0.009336563,0.0045513296,0.007083675,0.013197758
t_121,23.3819,42.63293,0.009329269,0.0040966026,0.006749535,0.012201785
t_1215,21.125370000000004,47.86444,0.010490037,0.0032416766,0.005665717,0.00861418
t_1216,20.782209999999992,47.88107,0.008885832,0.0026876146,0.0052104485,0.007494215
t_1218,20.96618000000001,47.98821,0.009380915,0.0028329387,0.005342508,0.007793184
t_122,23.55928,42.74224,0.010146886,0.0047781793,0.0072381524,0.01368538
t_1220,21.150559999999984,48.09508,0.00965557,0.0029721942,0.0054682875,0.008076052
t_1223,20.991019999999992,48.2186,0.009356866,0.002595053,0.0051565794,0.0073016617
t_123,23.233509999999995,42.76365,0.011693648,0.0047826017,0.0064636543,0.011505962
t_1233,21.17586,48.32523,0.0075588045,0.0024097872,0.0055949916,0.008222646
t_1239,26.59604999999999,46.46672,0.13937886,0.19663407,0.06278673,0.25117052
t_124,23.73702,42.85132,0.008231187,0.0036061807,0.0077796006,0.01219331
t_1240,26.25891999999999,46.49245,0.1151565,0.16517632,0.058438405,0.1699832
t_1241,26.446159999999992,46.59604,0.103621334,0.16138645,0.05558091,0.16635184
t_1242,26.633790000000005,46.69937,0.1066447,0.15006863,0.051459566,0.19629961
t_1243,26.295870000000008,46.72512,0.09116342,0.12752678,0.048625927,0.13685979
t_1244,26.483589999999992,46.82847,0.093071416,0.11973463,0.04552784,0.16346346
t_1245,26.14519999999999,46.85395,0.076674625,0.10028827,0.042346317,0.1126475
t_1246,26.671699999999987,46.93156,0.07691441,0.10821694,0.04185831,0.11978405
t_1247,26.333,46.95732,0.07196781,0.09511966,0.04004087,0.107949845
t_1248,26.521199999999993,47.06043,0.0711402,0.08729008,0.037242077,0.12683284
t_1249,25.77077,46.64642,0.08531583,0.1037822,0.04442132,0.14568447
t_125,23.410950000000014,42.873,0.008716523,0.0049833804,0.00737546,0.011197924
t_1250,25.95778999999999,46.75031,0.084508166,0.102299385,0.04387971,0.14401059
t_1251,25.619529999999997,46.77496,0.068721026,0.08166364,0.03839365,0.09552729
t_1252,25.806629999999984,46.87887,0.06377207,0.080537215,0.038002025,0.09447334
t_1253,25.99412000000001,46.98252,0.06585767,0.07913645,0.036880065,0.09315939
t_1254,25.655069999999995,47.00717,0.057235472,0.06382353,0.03303893,0.078526966
t_1255,25.842659999999995,47.11085,0.054747425,0.062828824,0.032210752,0.07755732
t_1256,26.030630000000002,47.21426,0.053298544,0.06047376,0.030926943,0.07525095
t_1257,25.690789999999993,47.23892,0.04234263,0.032441024,0.028256174,0.06504068
t_1258,25.878860000000003,47.34235,0.046355482,0.048617616,0.027286567,0.07987538
t_1259,25.50313,47.13523,0.045828786,0.05096498,0.02887429,0.06577052
t_126,23.588760000000008,42.98211,0.008292441,0.0037709146,0.007938864,0.012607257
t_1260,25.163430000000005,47.15905,0.042903356,0.04152134,0.025539184,0.070622854
t_1261,25.350779999999986,47.26302,0.04755646,0.04102767,0.02538184,0.06996855
t_1262,25.01060000000001,47.28658,0.039373767,0.033744127,0.022563605,0.06012526
t_1263,25.53853000000001,47.36674,0.037486207,0.026149197,0.024914546,0.054956026
t_1264,25.19802999999999,47.39057,0.037862282,0.03336791,0.022444678,0.05960617
t_1265,25.385860000000008,47.4943,0.033427604,0.032977495,0.022087125,0.046855137
t_1266,25.04489000000001,47.51786,0.02931467,0.027398905,0.019963594,0.040612593
t_1267,25.232799999999997,47.62161,0.032430302,0.02710255,0.01968653,0.05077554
t_1268,25.421120000000002,47.7251,0.031234616,0.026514964,0.019240068,0.04992732
t_1269,26.182019999999994,47.08592,0.06514861,0.07567275,0.03516453,0.11320019
t_127,23.262259999999998,43.00353,0.007685845,0.0033325544,0.007493169,0.011495403
t_1270,26.370299999999986,47.18905,0.07142613,0.07889951,0.03148952,0.10680053
t_1271,26.558989999999994,47.29192,0.055290867,0.06376581,0.030683165,0.09884993
t_1272,26.219009999999997,47.31741,0.05148874,0.056772627,0.029306484,0.09020486
t_1273,26.407780000000002,47.4203,0.04732611,0.0521424,0.027475744,0.08437604
t_1274,26.596959999999996,47.52293,0.050369024,0.04701848,0.025548961,0.07781379
t_1275,26.25618,47.54843,0.040456682,0.042720165,0.024615923,0.05728951
t_1276,26.44543999999999,47.65108,0.045969166,0.04374479,0.021910027,0.06724838
t_1277,26.635109999999997,47.75346,0.03771625,0.03508372,0.021520328,0.06196445
t_1278,26.293530000000004,47.77897,0.03467259,0.032405257,0.020872315,0.058272596
t_1279,26.067319999999995,47.44552,0.050187323,0.046023555,0.026044108,0.07652456
t_128,23.766930000000002,43.09098,0.0121010225,0.0068626795,0.008566995,0.01793798
t_1280,25.726679999999988,47.47019,0.040747136,0.03936075,0.02417423,0.06774795
t_1281,25.915230000000008,47.57338,0.03724435,0.03752088,0.0232136,0.05178555
t_1282,25.574099999999987,47.59777,0.033279426,0.03216758,0.02151548,0.045962717
t_1283,26.104179999999985,47.67631,0.04002637,0.03514158,0.02209302,0.062043574
t_1284,25.762730000000005,47.70098,0.030110758,0.03084167,0.020765698,0.044492085
t_1285,25.95177000000001,47.80393,0.03607896,0.029103078,0.019880122,0.05363593
t_1286,25.60983999999999,47.82833,0.029099476,0.02554161,0.018649135,0.048513647
t_1287,25.798959999999994,47.93129,0.03416021,0.027209446,0.01698948,0.04662107
t_1288,25.988490000000013,48.03399,0.031577792,0.022722373,0.017155431,0.04435386
