# 20150425_M7.8_Gorkha median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS, Max_dist:50km
custom_site_id,lon,lat,"AbrahamsonEtAl2014
region = ""CHN""",AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,CauzziEtAl2014,ChiouYoungs2014,YoungsEtAl1997SInter,ZhaoEtAl2016SInter
m_10,85.5292,27.847,0.25778598,0.26780424,0.116179354,0.1840718,0.30849755,0.14594522,0.3465222
m_100,85.3206,27.613,0.23648766,0.23113592,0.20195532,0.20617318,0.24048045,0.21495318,0.25981396
m_101,85.3078,27.619,0.23637183,0.23397374,0.21176559,0.20729165,0.23760174,0.22341925,0.26144427
m_102,85.3021,27.625,0.24170306,0.23313244,0.2175765,0.21605048,0.2463638,0.22750121,0.2583433
m_103,84.5927,27.973,0.41159374,0.3523306,0.1870005,0.26595396,0.4807761,0.24125622,0.5616997
m_104,85.2983,27.629,0.24240266,0.23368382,0.222371,0.21822883,0.24670465,0.23127581,0.25765654
m_105,85.33,27.621,0.21924053,0.21906866,0.19373985,0.19403656,0.22153784,0.20424855,0.24010833
m_106,85.3835,27.604,0.21827999,0.22800411,0.1795178,0.1815378,0.21997516,0.19720472,0.22821118
m_107,85.319,27.625,0.22540288,0.22089773,0.20095578,0.20221286,0.22902106,0.21035768,0.24106307
m_108,85.2989,27.634,0.23681217,0.22985011,0.22215234,0.21546803,0.24012813,0.22946535,0.25004834
m_109,85.2905,27.639,0.2001116,0.22545849,0.15436748,0.19032015,0.1977993,0.16525207,0.21962227
m_11,85.7222,27.7707,0.30867505,0.30094212,0.119189054,0.20705715,0.3770183,0.153495,0.39661637
m_110,85.5326,27.567,0.31924757,0.29642698,0.18061861,0.22559309,0.34847006,0.2197794,0.35777786
m_111,85.5023,27.576,0.3032145,0.2837804,0.17945772,0.22048461,0.3294552,0.21494167,0.38845488
m_112,85.2991,27.64,0.23046398,0.22552988,0.2221248,0.21229184,0.2328956,0.2275321,0.24152419
m_113,85.3287,27.631,0.20834087,0.20928824,0.19102587,0.18872456,0.21041614,0.19858615,0.22348596
m_114,85.545,27.565,0.34647092,0.28921542,0.20235316,0.26982102,0.40004417,0.22144595,0.42942998
m_115,85.3193,27.636,0.21074073,0.2101033,0.19706956,0.19335325,0.2127149,0.20326722,0.22250754
m_116,85.2962,27.644,0.23570158,0.22527584,0.22716898,0.22075762,0.24053995,0.23138139,0.24093446
m_117,85.3027,27.643,0.22630596,0.218388,0.21609886,0.21185155,0.23036614,0.2204737,0.23167992
m_118,85.3072,27.643,0.21960588,0.21337533,0.20914301,0.20568018,0.22332391,0.21341349,0.2249926
m_119,85.3572,27.627,0.2171503,0.19680221,0.19920743,0.2055392,0.2273653,0.18778619,0.22199322
m_12,84.8008,28.2189,0.30674067,0.29558027,0.12084411,0.20178379,0.395599,0.15530755,0.4070137
