ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
CO19,Cauca,CO19517,Páez,,,,,6151,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19355,Inzá,,,,,628,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19698,Santander de Quilichao,,,,,1132,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19137,Caldono,,,,,582,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19821,Toribío,,,,,1824,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19743,Silvia,,,,,7126,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19824,Totoró,,,,,3749,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19364,Jambaló,,,,,1833,"Shaking, Avalanches",LARED,
CO19,Cauca,CO19142,Caloto,,,,,1453,"Shaking, Avalanches",LARED,
CO41,Huila,CO41396,La Plata,,,,,162,"Shaking, Avalanches",LARED,
CO41,Huila,,Iquira,,,,,750,"Shaking, Avalanches",LARED,
CO41,Huila,CO41797,Tesalia,,,,,202,"Shaking, Avalanches",LARED,
CO41,Huila,CO41518,Paicol,,,,,300,"Shaking, Avalanches",LARED,
CO41,Huila,,Nataga,,,,,325,"Shaking, Avalanches",LARED,
CO41,Huila,CO41885,Yaguará,,,,,112,"Shaking, Avalanches",LARED,
