STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE
0CAN,CANTIANO,43.472301,12.630800,seismic,INGV,C (inferred from geology),0.011723083,0,0.03498451377966535,0,0.015247609540317331,0,0.008316074147808992,0,,C (inferred from geology)
ACER,ACERENZA,40.786700,15.942700,seismic,INGV,B,0.000665307,0,0.0009817914959345812,0,0.0012348139310414657,0,0.001375072590956785,0,523,B
ACOM,ACOMIZZA  ITALY,46.548000,13.513700,seismic,INGV,A (inferred from geology),0.000560385,0,0.0014451806945524875,0,0.0012743599737668337,0,0.0017019410955106517,0,,A (inferred from geology)
AGOR,AGORDO  ITALY,46.282900,12.047200,seismic,INGV,B (inferred from geology),0.000329353,0,0.0006329067104374208,0,0.0007351486303671419,0,0.0009297482858873856,0,,B (inferred from geology)
AMT,AMATRICE,42.632460,13.286176,seismic,INGV,B,0.850803528,0,1.7884200463080109,0,0.8255180377944669,0,0.3837764333285997,0,670,B
ANB,ANCONA 2,43.592290,13.507411,seismic,INGV,B (inferred from geology),0.030746595,0,0.08249200560581041,0,0.061391653722282995,0,0.023165719955687714,0,,B (inferred from geology)
ANT,ANTRODOCO,42.418110,13.078598,seismic,INGV,A,0.023083021,0,0.05658273224143517,0,0.054264686376361775,0,0.057702170747522055,0,912,A
APEC,APECCHIO,43.558460,12.419910,seismic,INGV,C (inferred from geology),0.001464531,0,0.00344797584102505,0,0.004468638981903152,0,0.002311405438169914,0,,C (inferred from geology)
AQA,L AQUILA   V. ATERNO    F. ATERNO,42.375530,13.339298,seismic,INGV,B,0.038713352,0,0.06908184237240579,0,0.0573500595596578,0,0.04556281182872776,0,549,B
AQF,L AQUILA   V. ATERNO    FERRIERA,42.380539,13.354740,seismic,INGV,B (inferred from geology),0.043384525,0,0.1572693141449405,0,0.05378147576761452,0,0.03120252236274443,0,,B (inferred from geology)
AQG,L AQUILA   V. ATERNO    COLLE GRILLI,42.373474,13.337026,seismic,INGV,B,0.058006996000000005,0,0.09317128004418206,0,0.1328446207489214,0,0.0593462146548715,0,696,B
AQK,L AQUILA   V. ATERNO   AQUIL PARK ING.,42.344967,13.400949,seismic,INGV,B,0.05703318,0,0.11035389880618843,0,0.10499545153490139,0,0.145862879238988,0,705,B
AQU,L AQUILA  ITALY,42.354000,13.405000,seismic,INGV,B (inferred from geology),0.02534244,0,0.07148454808191199,0,0.03738324303401953,0,0.04686256880755334,0,,B (inferred from geology)
AQV,L AQUILA   V. ATERNO   CENTRO VALLE,42.377222,13.343888,seismic,INGV,B,0.05959793100000001,0,0.08116082884134102,0,0.0730232941586215,0,0.059193561521477756,0,474,B
ASOL,ASOLO,45.800300,11.902300,seismic,INGV,A (inferred from geology),0.001339009,0,0.002715843621589291,0,0.004005474403131629,0,0.003246585557475187,0,,A (inferred from geology)
ASP,ASCOLI PICENO,42.848000,13.647900,seismic,INGV,B,0.086776978,0,0.1512756398029511,0,0.057306565921119525,0,0.024932475511706343,0,599,B
