ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
12,Guerrero,12086,Acatepec,,,,834,,,,,,Shaking,Wikipedia_Spanish,
12,Guerrero,12001,Acapulco de Juárez,,,,3289,,,,,,Shaking,Wikipedia_English,
12,Guerrero,12001,Acapulco de Juárez,,RES,,4741,,,,,,Shaking,Suracapulco,
12,Guerrero,12001,Acapulco de Juárez,,COM,,8,,,,,,,,
12,Guerrero,12001,Acapulco de Juárez,,EDU,,10,,,,,,,,
12,Guerrero,12001,Acapulco de Juárez,,ASS1,,3,,,,,,,,
12,Guerrero,12076,Acatepec,,RES,,824,,,,,,Shaking,Suracapulco,
12,Guerrero,12076,Acatepec,,RES3,,9,,,,,,,,
12,Guerrero,12076,Acatepec,,ASS1,,1,,,,,,,,
12,Guerrero,12053,San Marcos,,RES,,634,,,,,,Shaking,Suracapulco,
12,Guerrero,12021,Coyuca de Benítez,,RES,,1154,,,,1.0,,Shaking,Suracapulco,
12,Guerrero,12039,Juan R. Escudero,,RES,,171,,,,1.0,,Shaking,Suracapulco,
12,Guerrero,12079,José Joaquín de Herrera,,RES,,61,,,,,,Shaking,Suracapulco,
12,Guerrero,12063,Tlacoapa,,RES,,23,,,,,,Shaking,Suracapulco,
12,Guerrero,12029,Chilpancingo de los Bravo,,RES,,110,,,,,,Shaking,Suracapulco,
12,Guerrero,12029,Chilpancingo de los Bravo,,EDU,,4,,,,,,,,
12,Guerrero,12029,Chilpancingo de los Bravo,,COM,,8,,,,,,,,
12,Guerrero,12029,Chilpancingo de los Bravo,,ASS1,,1,,,,,,,,
12,Guerrero,12011,Atoyac de Álvarez,,RES,,74,,,,,,Shaking,Suracapulco,
12,Guerrero,12019,Copalillo,,RES,,13,,,,,,Shaking,Suracapulco,
12,Guerrero,12043,Metlatónoc,,RES,,13,,,,,,Shaking,Suracapulco,
12,Guerrero,12049,Pilcaya,,RES,,10,,,,,,Shaking,Suracapulco,
12,Guerrero,12049,Pilcaya,,EDU,,9,,,,,,,,
12,Guerrero,12052,San Luis Acatlán,,RES,,5,,,,,,Shaking,Suracapulco,
12,Guerrero,12020,Copanatoyac,,RES,,4,,,,,,Shaking,Suracapulco,
12,Guerrero,12035,Iguala de la Independencia,,RES,,3,,,,,,Shaking,Suracapulco,
12,Guerrero,12055,Taxco de Alarcón,,RES,,2,,,,,,Shaking,Suracapulco,
12,Guerrero,12055,Taxco de Alarcón,,EDU,,1,,,,,,,,
12,Guerrero,12044,Mochitlán,,RES,,7,,,,,,Shaking,Suracapulco,
12,Guerrero,12044,Mochitlán,,EDU,,3,,,,,,,,
12,Guerrero,12028,Chilapa de Álvarez,,RES,,38,,,,,,Shaking,Suracapulco,
12,Guerrero,12028,Chilapa de Álvarez,,COM,,14,,,,,,,,
12,Guerrero,12028,Chilapa de Álvarez,,RES3,,12,,,,,,,,
12,Guerrero,12028,Chilapa de Álvarez,,ASS1,,6,,,,,,,,
12,Guerrero,12042,Mártir de Cuilapan,,RES,,3,,,,,,Shaking,Suracapulco,
12,Guerrero,12078,Cochoapa el Grande,,RES,,3,,,,,,Shaking,Suracapulco,
12,Guerrero,12081,Iliatenco,,RES,,1,,,,,,Shaking,Suracapulco,
12,Guerrero,12069,Xalpatláhuac,,RES,,1,,,,,,Shaking,Suracapulco,
12,Guerrero,12012,Ayutla de los Libres,,ASS1,,1,,,,,,Shaking,Suracapulco,
12,Guerrero,12007,Arcelia,,COM,,1,,,,,,Shaking,Suracapulco,
12,Guerrero,12034,Huitzuco de los Figueroa,,COM,,1,,,,,,Shaking,Suracapulco,
12,Guerrero,12061,Tixtla de Guerrero,,EDU,,1,,,,,,Shaking,Suracapulco,
