ID_1,NAME_1,ID_2,NAME_2,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
12,Guerrero,12021,Coyuca de Benítez,1.0,1.0,,,,Motorcycle accident  ,Wikipedia,
21,Puebla,21114,Puebla,1.0,1.0,,,,Heart attack ,Wikipedia,
12,Guerrero,12001,Acapulco de Juárez,1.0,1.0,,,,Shaking,Wikipedia,
12,Guerrero,12001,Acapulco de Juárez,3.0,3.0,20.0,,,Heart attack ,Wikipedia,
15,México,15054,Metepec  ,,,2.0,,,Shaking,Wikipedia,
30,Veracruz de Ignacio de la Llave,30193,Veracruz,,,3.0,,,Nervous breakdowns ,Wikipedia,
15,México,15104,Tlalnepantla de Baz,2.0,2.0,1.0,,,Landslide,Wikipedia,
12,Guerrero,12001,Acapulco de Juárez,1.0,1.0,,,,Shaking,Wikipedia,
12,Guerrero,12001,Acapulco de Juárez,1.0,1.0,,,,Vehicular crash,Wikipedia,
15,México,15104,Tlalnepantla de Baz,3.0,3.0,,,,Landslide,Wikipedia,
12,Guerrero,12001,Acapulco de Juárez,1.0,1.0,,,,Shaking,Suracapulco,
12,Guerrero,12021,Coyuca de Benítez,1.0,1.0,,,,Shaking,Suracapulco,
12,Guerrero,12001,Acapulco de Juárez,1.0,1.0,,,,Motorcycle accident  ,Suracapulco,
