FIELD,DESCRIPTION
Year,1985
Country,Mexico
Region,North America
Event Name,Mexico Michoacan 
Local Date,19/09/1985
Local Time,07:17:49
Latitude (decimal degrees),18.419
Longitude (decimal degrees),-102.468
Depth (km),15
Mw,8.1
Max Intensity (MMI), VII
Fault mechanism,Reverse
Tectonic region type,Subduction Intrerface
Fatalities,3192-50000
Injured,30000-150000
Displaced population,
Affected population,80600-2130204
Affected units,
Damaged units,3000-100000  
Collapsed units,757-30000 
Economic losses,3000-8000 M USD
Insured losses,
Earthquake-triggered effects,"Landslides, Tsunami, Liquefaction"
USGS event ID,usp0002jwe
Wikipedia page,https://en.wikipedia.org/wiki/1985 Mexico City earthquake
