FIELD,DESCRIPTION
Year,2020
Country,Croatia
Region,Europe
Event Name,Zagreb 2020
Local Date,22/03/2020
Local Time,06:24:03
Latitude (decimal degrees),45.9072
Longitude (decimal degrees),15.9697
Depth (km),10
Mw,5.3
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Active Shallow Crust
Fatalities,~1
Injured,~27
Displaced population,~18915
Affected population,~60000
Affected units,
Damaged units,20000 Buildings
Collapsed units,6350 Buildings
Economic losses,1800-6800 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,us70008dx7
Wikipedia page,https://en.wikipedia.org/wiki/2020 Zagreb earthquake
