ID_2,NAME_2,NAME_1,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
,Merkez,Bolu,48,,354,,,,,2532,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Merkez,Duzce,463,,2800,,,,,9928,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Akcakoca,Duzce,2,,96,,,,,272,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Cumayerri,Duzce,0,,39,,,,,122,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Cilimli,Duzce,0,,0,,,,,119,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Golyaka,Duzce,1,,68,,,,,123,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Gumusova,Duzce,0,,34,,,,,54,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Kaynasli,Duzce,244,,544,,,,,1537,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,Yigilca,Duzce,0,,42,,,,,358,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,,Eskisehir,0,,0,,,,,10,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,,Kocaeli,1,,61,,,,,2355,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,,Sakarya,3,,168,,,,,5675,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,,Yalova,1,,25,,,,,3511,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
,,Zonguldak,0,,189,,,,,108,Buildings,,,,,,JICA,https://openjicareport.jica.go.jp/pdf/11707833_09.pdf
