FIELD,DESCRIPTION
Year,2021
Country,Haiti
Region,Caribbean Central America
Event Name,Haiti
Local Date,14/08/2021
Local Time,08:29:08
Longitude (decimal degrees),-73.4822
Latitude (decimal degrees),18.4335
Depth (km),10
Mw,7.2
Max Intensity (MMI),VIII
Fault mechanism,Oblique-reverse
Tectonic region type,Active Shallow Crust
Fatalities,2529-2577
Injured,12500-12763
Displaced population,~220000
Affected population,702763-800000
Affected units,
Damaged units,137000-137585
Collapsed units,53815-115000
Economic losses,1.60 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,us6000f65h
Wikipedia page,https://en.wikipedia.org/wiki/2021 Haiti earthquake
