# {20110311_M9.1_Tohoku} median gmf, Stations:Seismic, gmlt:GEM, Rupture:JMA
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,ParkerEtAl2020SInter,ZhaoEtAl2006SInter
m_1241,141.2437,38.4567,0.25353,0.25353,0.25353
m_1246,140.64340000000004,36.5968,0.24685,0.24685,0.24685
m_1248,140.45910000000003,37.1456,0.24386,0.24386,0.24386
m_1253,140.35969999999998,37.3302,0.21899,0.21899,0.21899
m_1256,140.90030000000002,37.0344,0.21463,0.21463,0.21463
m_1258,141.6182,38.796,0.2063,0.2063,0.2063
m_1261,140.3662,37.4199,0.20297,0.20297,0.20297
m_1262,140.909,38.5641,0.20284,0.20284,0.20284
m_1265,139.9638,36.447,0.1979,0.1979,0.1979
m_1268,140.9497,37.6619,0.18956,0.18956,0.18956
m_1270,140.88710000000003,38.2952,0.18673,0.18673,0.18673
m_1277,141.1682,38.9108,0.17941,0.17941,0.17941
m_1283,141.0009,38.2894,0.17087,0.17087,0.17087
m_1290,140.23490000000004,37.1557,0.1665,0.1665,0.1665
m_1295,140.5052,37.7737,0.16186,0.16186,0.16186
m_1306,140.0575,36.173,0.14614,0.14614,0.14614
m_1310,140.1624,36.0784,0.14373,0.14373,0.14373
m_1317,139.8582,36.5414,0.13589,0.13589,0.13589
m_1327,140.2491,35.7144,0.1268,0.1268,0.1268
m_1336,139.3433,35.3002,0.11288,0.11288,0.11288
m_1347,139.4026,36.379,0.10036,0.10036,0.10036
m_1349,141.9348,39.6774,0.10002,0.10002,0.10002
m_1353,140.3653,35.7994,0.09778,0.09778,0.09778
m_1369,139.70370000000003,35.8272,0.13667536,0.09400546,0.13926245
m_1372,139.6463,36.73,0.07915,0.07915,0.07915
m_1377,139.5881,35.7416,0.07567,0.07567,0.07567
m_1384,136.91560000000004,34.9124,0.12002754,0.1521676,0.12486694
m_1387,139.92179999999996,37.5294,0.06861,0.06861,0.06861
m_1388,140.13329999999996,35.6294,0.12606986,0.12370058,0.12542823
m_1394,141.3311,40.702,0.06359,0.06359,0.06359
m_1401,139.80309999999997,35.6431,0.04095349,0.045179173,0.04666789
m_1416,139.5829,35.6517,0.05208,0.05208,0.05208
m_1425,139.5727,35.4719,0.04747,0.04747,0.04747
m_1427,141.5487,40.5098,0.033504993,0.032120027,0.03336593
m_1428,137.0229,34.8205,0.04697,0.04697,0.04697
m_1434,139.06899999999996,36.3909,0.04388,0.04388,0.04388
m_1442,140.3114,38.2327,0.011141155,0.010432417,0.011096236
m_1444,139.3578,35.57,0.03976,0.03976,0.03976
m_1447,139.4629,35.476,0.0388,0.0388,0.0388
m_1452,139.4778,35.7457,0.03558,0.03558,0.03558
m_1457,139.35289999999998,35.4801,0.03365,0.03365,0.03365
m_1458,139.4529,35.2963,0.03343,0.03343,0.03343
m_1461,139.36760000000004,35.7497,0.03299,0.03299,0.03299
m_1464,140.0716,39.684,0.03181,0.03181,0.03181
m_1474,140.75009999999997,40.8226,0.02917,0.02917,0.02917
m_1476,139.03840000000002,37.9233,0.02782,0.02782,0.02782
m_1480,139.67219999999998,35.2879,0.02691,0.02691,0.02691
m_1481,143.14710000000002,42.9268,0.02684,0.02684,0.02684
m_1500,140.38869999999997,40.75,0.0224,0.0224,0.0224
m_1502,139.2572,35.7537,0.02189,0.02189,0.02189
m_1509,138.591,35.6853,0.0207,0.0207,0.0207
m_1512,139.4728,35.6558,0.02002,0.02002,0.02002
m_1514,139.36270000000002,35.6599,0.01991,0.01991,0.01991
m_1515,136.9178,35.0025,0.01987,0.01987,0.01987
m_1548,135.60090000000002,34.7456,0.01393,0.01393,0.01393
m_1551,138.4808,35.6886,0.01335,0.01335,0.01335
s_0,141.0217,38.7292,2.75312,2.75312,2.75312
s_1,141.0193,38.3175,2.008,2.008,2.008
s_10,141.0018,37.2338,1.1379,1.1379,1.1379
s_100,140.7822,37.976,0.35615,0.35615,0.35615
s_1000,136.71680000000003,36.2667,0.0028,0.0028,0.0028
s_1001,135.1959,35.5356,0.00279,0.00279,0.00279
s_1002,136.01350000000002,36.0391,0.00276,0.00276,0.00276
s_1003,135.85410000000002,34.5843,0.00271,0.00271,0.00271
s_1004,142.1485,44.007,0.00266,0.00266,0.00266
s_1005,143.53359999999998,44.0921,0.00265,0.00265,0.00265
s_1006,143.7747,44.0187,0.00265,0.00265,0.00265
s_1007,142.64210000000003,44.3114,0.00259,0.00259,0.00259
s_1008,136.26099999999997,34.9638,0.00258,0.00258,0.00258
s_1009,142.30359999999996,44.5973,0.00257,0.00257,0.00257
s_101,140.0901,36.1256,0.34966,0.34966,0.34966
s_1010,142.0795,45.0167,0.00249,0.00249,0.00249
s_1011,136.473,35.2836,0.00249,0.00249,0.00249
s_1012,139.5519,42.2402,0.00248,0.00248,0.00248
s_1013,135.43060000000003,34.2755,0.00247,0.00247,0.00247
s_1014,135.8046,34.8784,0.00247,0.00247,0.00247
