# 20090930_M7.6_Padang median gmf, Stations:All, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,AtkinsonBoore2003SSlabCascadia,ZhaoEtAl2016SSlab
m_0,100.37191999999999,-0.94774,0.47024885,0.4689616,0.46981522,0.47148436
m_1,100.32592,-0.8192,0.4773403,0.4746188,0.4661958,0.48989025
m_10,100.36379999999997,-0.92165,0.47203982,0.47307825,0.47299412,0.47346333
m_100,100.37268,-0.94786,0.4696842,0.46841508,0.46917236,0.47062975
m_1000,100.35564,-0.96029,0.47007915,0.46604937,0.46354342,0.485721
m_1001,100.35935,-0.95935,0.45899743,0.46585348,0.46331856,0.44224536
m_1002,100.35199999999998,-0.89053,0.4737605,0.47526804,0.4753212,0.47557047
m_1003,100.46239000000003,-0.94767,0.24627148,0.24667649,0.24654385,0.24800247
m_1004,100.37,-0.31,0.21852036,0.26079708,0.26436138,0.24560913
m_1005,100.34578999999997,-0.89715,0.4768222,0.47656107,0.4767962,0.47645608
m_1006,100.36036999999999,-0.9592,0.4611416,0.46585086,0.4633486,0.45085895
m_1007,100.36658,-0.95921,0.4644462,0.4666306,0.46443966,0.46270105
m_1008,100.36511999999999,-0.91093,0.47306836,0.47352138,0.47339973,0.47448862
m_1009,100.35960999999998,-0.90013,0.4761836,0.4763596,0.4762212,0.47629738
m_101,100.36059999999998,-0.95965,0.46202397,0.46599972,0.46422645,0.4526095
m_1010,100.36025000000001,-0.9591,0.4607637,0.46580696,0.46309888,0.44985583
m_1011,100.36385999999999,-0.93464,0.47002956,0.47050482,0.47034186,0.47055003
m_1012,100.38644,-0.95402,0.4410585,0.43708697,0.43818608,0.4355024
m_1013,100.37508000000003,-0.92245,0.45154217,0.44320828,0.44306955,0.4448828
m_1014,100.36111,-0.89347,0.47369736,0.47338468,0.47337335,0.47347027
m_1015,100.20901000000003,-0.5435,0.51565635,0.51610404,0.5147701,0.5168151
m_1016,100.36131,-0.96369,0.4630916,0.46699417,0.46767202,0.45005575
m_1017,100.36768999999998,-0.95918,0.46383584,0.4670308,0.46423817,0.46066615
m_1018,100.35854999999998,-0.95942,0.45620704,0.46580565,0.4630308,0.431984
m_1019,100.37554,-0.93499,0.4559212,0.4517613,0.45144376,0.45315903
m_102,100.46296999999998,-0.95078,0.24760433,0.24750045,0.24743931,0.2502568
m_1020,100.36203,-0.9634,0.46435842,0.4668998,0.467509,0.4556149
m_1021,100.39677,-0.95521,0.28244957,0.28848296,0.2900943,0.28674966
m_1022,100.35242,-0.91936,0.473091,0.47299674,0.47305128,0.47252628
m_1023,100.35161,-0.94433,0.46607035,0.4675779,0.46932292,0.46119577
m_1024,100.38458000000003,-0.93898,0.3687147,0.36941892,0.36885852,0.36297274
m_1025,100.36383999999998,-0.96162,0.46611246,0.4665692,0.46659356,0.46485925
m_1026,100.28370999999999,-0.59648,0.50859755,0.5084386,0.5087825,0.49231943
m_1027,100.34305999999998,-0.87924,0.47617924,0.47627378,0.47719672,0.47544017
m_1028,100.35976,-0.96539,0.4597158,0.46772838,0.4686676,0.43362257
m_1029,100.37975,-0.9586,0.47251958,0.4635585,0.45126513,0.51509106
m_103,100.44659000000001,-1.0763,0.4458258,0.44417158,0.44401893,0.44673648
m_1030,100.46247,-0.94967,0.24699453,0.24712545,0.24705163,0.24894542
m_1031,100.38457,-0.95623,0.45685792,0.45345873,0.45701963,0.44997954
m_1032,100.33780000000002,-0.51013,0.5014595,0.5012885,0.49955717,0.5016815
m_1033,100.37101999999999,-0.89352,0.46053317,0.4591226,0.45928636,0.46012318
m_1034,100.36536000000001,-0.96003,0.46553108,0.46655843,0.4654556,0.4648057
m_1035,100.46242000000001,-0.94943,0.24689558,0.24706405,0.24698496,0.24878362
m_1036,100.46249,-0.94909,0.24677655,0.24697845,0.24688959,0.24863622
m_1037,100.25887,-0.55837,0.51232624,0.5119409,0.5165496,0.5141011
m_1038,100.35998999999998,-0.95931,0.4606049,0.46587983,0.46349046,0.44832304
m_1039,100.36270999999999,-0.93324,0.47029543,0.47070655,0.4705762,0.4706792
m_104,100.36259000000001,-0.95876,0.46283737,0.46584025,0.46293446,0.45924652
m_1040,100.34910000000002,-0.90534,0.47361887,0.47459266,0.47452193,0.47448102
m_1041,100.36469999999997,-0.90405,0.4764212,0.47591054,0.47577068,0.476745
m_1042,100.37536,-0.94809,0.46561158,0.46503055,0.46549177,0.46659786
m_1043,100.35602,-0.91239,0.47562814,0.47429177,0.4741838,0.4742095
m_1044,100.35212999999999,-0.92863,0.47106242,0.4719931,0.47218165,0.47082403
m_1045,100.39272,-0.94729,0.29149547,0.29730135,0.29730934,0.3024733
m_1046,100.29160000000002,-0.67874,0.49647793,0.50229746,0.50210625,0.50149024
m_1047,100.37596000000002,-0.93765,0.45726153,0.45372725,0.45333332,0.45516664
m_1048,100.35807,-0.92345,0.47374564,0.47227415,0.4722192,0.47217792
m_1049,100.36361999999997,-0.94387,0.47022623,0.46901008,0.46902817,0.4693568
m_105,100.37551000000002,-0.948,0.46515065,0.46455204,0.46495253,0.46603984
m_1050,100.36234000000002,-0.96332,0.46478257,0.46689558,0.46748662,0.45740664
m_1051,100.36237,-0.95892,0.46301442,0.46586928,0.46323484,0.45920599
m_1052,100.64638000000002,-0.90144,0.2401222,0.24215204,0.24137661,0.2404737
m_1053,100.36412000000001,-0.96126,0.46611917,0.46655977,0.46639726,0.46525836
m_1054,100.36358000000001,-0.91686,0.47250643,0.4736417,0.47353622,0.47428092
m_1055,100.64624000000003,-0.90184,0.24016261,0.24218258,0.24139981,0.24050505
m_1056,100.26926000000003,-0.56601,0.511397,0.51086354,0.5175276,0.51309633
m_1057,100.37790000000001,-0.94858,0.45958582,0.45828748,0.45870167,0.45955938
m_1058,100.35953,-0.95936,0.4595419,0.46587226,0.46342555,0.4441813
m_1059,100.28172,-0.65793,0.50864893,0.5054114,0.5052221,0.50432825
m_106,100.36336,-0.89487,0.47451144,0.4742384,0.4742084,0.4744554
m_1060,100.32862,-0.55132,0.5031683,0.503613,0.5050199,0.5051366
m_1061,100.36397,-0.94431,0.46993926,0.46897817,0.46908182,0.46949652
m_1062,100.36171000000002,-0.89446,0.47457343,0.4743506,0.47431213,0.47446346
m_1063,100.35910000000001,-0.93976,0.46723005,0.46942502,0.46929258,0.4691457
m_1064,100.38697000000002,-0.97009,0.4547693,0.452811,0.45123878,0.45692867
m_1065,100.35627999999997,-0.95957,0.4716765,0.46570733,0.4622745,0.49536332
m_1066,100.41395,-1.06447,0.45378724,0.4508848,0.45071983,0.46220994
m_1067,100.38434999999998,-0.93886,0.3713523,0.37185955,0.37129408,0.36575228
m_1068,100.36401000000001,-0.94461,0.46979356,0.4689526,0.4691302,0.4696134
m_1069,100.35656,-0.92348,0.47284752,0.47209683,0.47206566,0.47190693
m_107,100.34771999999998,-0.91028,0.47592703,0.4741855,0.47426024,0.47384143
m_1070,100.29113999999998,-0.67795,0.49691585,0.50249606,0.50231075,0.5018015
m_1071,100.37326000000002,-0.92339,0.45937586,0.45841485,0.45829767,0.46046242
m_1072,100.15685000000002,-0.65333,0.51280224,0.51392645,0.51339245,0.5140473
m_1073,100.37592000000001,-0.94812,0.4645487,0.46380633,0.46421692,0.46528798
m_1074,100.36274000000003,-0.96004,0.46479166,0.4661379,0.46506143,0.46250144
m_1075,100.38493,-0.95351,0.44956177,0.44570565,0.44690162,0.44570893
m_1076,100.37383,-0.92289,0.45592055,0.4550099,0.454896,0.4570783
m_1077,100.46166,-0.95174,0.24825387,0.24815479,0.24811116,0.25136435
m_1078,100.46263999999996,-0.95083,0.24757338,0.24751602,0.24746086,0.25006256
m_1079,100.37437,-0.94799,0.46811056,0.46660182,0.46715194,0.46834567
m_108,100.34884,-0.90575,0.4734154,0.4745148,0.4744578,0.47439423
m_1080,100.24094000000002,-0.66525,0.5083177,0.5091949,0.5086581,0.5077264
m_1081,100.36252999999999,-0.96167,0.46520522,0.4663917,0.46643072,0.46147832
m_1082,100.40127999999999,-0.92131,0.24624129,0.24932548,0.25056595,0.25075713
m_1083,100.34636999999998,-0.90647,0.47335526,0.4745861,0.47468063,0.47434515
m_1084,100.37319000000002,-0.90111,0.45901376,0.45719433,0.4571506,0.45927945
m_1085,100.46242000000001,-0.94643,0.24583183,0.24644703,0.24625781,0.24770616
m_1086,100.38407999999998,-0.97214,0.46387368,0.46272555,0.4624995,0.46548378
m_1087,100.35820999999999,-0.93949,0.46914247,0.46946308,0.46937162,0.469037
m_1088,100.36702000000002,-0.89573,0.47394183,0.47309867,0.4730743,0.473878
m_1089,100.46251999999998,-0.95042,0.24732886,0.24735388,0.24729462,0.24953134
m_109,100.36012,-0.94388,0.47018862,0.46868554,0.4688467,0.46871755
m_1090,100.36756000000003,-0.95936,0.46420786,0.46703622,0.46459055,0.46132806
m_1091,100.16904,-0.63481,0.51432025,0.5143982,0.5144484,0.5140553
m_1092,100.26913000000002,-0.56594,0.5114122,0.51087886,0.5175078,0.5131227
m_1093,100.38725999999997,-0.97011,0.45313868,0.45118746,0.4495346,0.45515662
m_1094,100.34956999999997,-0.90535,0.47360176,0.47461998,0.4745313,0.4745153
m_1095,100.35958,-0.96556,0.45937264,0.4677992,0.46874258,0.43197784
m_1096,100.34821999999997,-0.91012,0.4759168,0.47414762,0.47418416,0.4738573
m_1097,100.16084999999998,-0.63566,0.5162723,0.51463777,0.5145353,0.5150697
m_1098,100.41203999999999,-1.0536,0.44320983,0.44984004,0.4497788,0.4276039
m_1099,100.36400000000003,-0.9365,0.46939322,0.47026822,0.4700617,0.4702777
m_11,100.37164000000001,-0.89383,0.45860505,0.45719817,0.4573645,0.45819876
m_110,100.36338999999998,-0.89465,0.47421777,0.47393605,0.4739147,0.47414586
m_1100,100.35667000000001,-0.91133,0.476351,0.47459644,0.4744771,0.47454354
m_1101,100.36091999999996,-0.89371,0.47407517,0.47377515,0.4737497,0.47386205
m_1102,100.38704999999999,-0.93947,0.3351558,0.3387732,0.33832574,0.3278489
m_1103,100.22998999999999,-0.5745,0.5106199,0.51392,0.520548,0.47286388
m_1104,100.15858000000003,-0.6547,0.511977,0.513739,0.5132734,0.5137555
m_1105,100.39669000000004,-0.95537,0.2840303,0.29001978,0.2916984,0.28841463
m_1106,100.35289999999998,-0.94396,0.46660915,0.4678421,0.4691207,0.4632251
m_1107,100.35693000000003,-0.94072,0.4679264,0.4691236,0.46919712,0.46824348
m_1108,100.34663,-0.90414,0.47444612,0.47494993,0.4750321,0.4747603
m_1109,100.26929000000001,-0.56554,0.511375,0.51087236,0.5175666,0.5129048
m_111,100.36327,-0.96134,0.46578494,0.46638942,0.4662847,0.46417338
m_1110,100.36271999999997,-0.94757,0.47064838,0.46908414,0.470689,0.47251382
m_1111,100.36439999999999,-0.92206,0.47212783,0.47293046,0.47284564,0.47339293
m_1112,100.43228999999997,-0.94093,0.24737407,0.24713531,0.24629232,0.24725561
m_1113,100.13695999999999,-0.61598,0.5155301,0.5164501,0.51629454,0.51537126
m_1114,100.41410000000002,-1.06319,0.45489603,0.45061797,0.45049533,0.46651158
m_1115,100.33758,-0.50381,0.49446145,0.49969617,0.49817285,0.5001668
m_1116,100.36764,-0.95929,0.46404934,0.4670449,0.46445084,0.46101835
m_1117,100.21555000000001,-0.56233,0.51350296,0.51523346,0.5140288,0.5203933
m_1118,100.34604999999999,-0.90659,0.47337022,0.4746251,0.47474837,0.47435525
m_1119,100.29106999999999,-0.67818,0.49697125,0.5025005,0.5023131,0.50180763
m_112,100.37004000000002,-0.89389,0.46504116,0.46360442,0.4637167,0.4646993
m_1120,100.36382000000003,-0.94456,0.46979427,0.46893284,0.46910012,0.4695542
m_1121,100.36313999999999,-0.89507,0.47480938,0.4745583,0.4745186,0.47476572
m_1122,100.37170000000003,-0.89654,0.46477604,0.46288887,0.46292165,0.46455985
m_1123,100.50371999999999,-1.20077,0.42307928,0.4157253,0.40894368,0.42212385
m_1124,100.36572000000001,-0.95963,0.46511704,0.46652406,0.46499768,0.46414986
