FIELD,DESCRIPTION
Year,2016
Country,Italy
Region,CentralItaly
Event_Name,CentralItaly_2016
Local_Date,26/10/2016
Local_Time,19:18:08
Latitude,42.9564
Longitude,13.0666
Depth_(km),10
Mw,6.1
Max_Intensity_(MMI),VIII
Fault_mechanism,Normal
Tectonic_region_type,Active Shallow Crust
Fatalities,0-1
Injured,0-24
Displaced_Population,
Affected_Population,3027
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,0-200 M USD
Insured_Losses,
Induced_Effects,
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us1000725y/executive
Wikipedia page,https://en.wikipedia.org/wiki/October_2016_Central_Italy_earthquakes
