# {20100904_M7.0_Canterbury} median gmf, Stations:Seismic, gmlt:USGS, Rupture:JMA
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,Bradley2013,CampbellBozorgnia2014,ChiouYoungs2014
m_103,171.75,-43.91,0.10895298,0.10896114,0.1098271,0.10893891,0.1084154
m_105,171.25,-44.1,0.081802465,0.08429173,0.089149565,0.07327775,0.078155346
m_108,172.73000000000002,-43.16,0.17682083,0.1768943,0.19315039,0.15735963,0.16305539
m_111,171.22000000000003,-44.38,0.089372985,0.096764416,0.0902149,0.07867094,0.09079824
m_112,171.1882,-44.3881,0.07502326,0.07901014,0.07761931,0.06789605,0.07560417
m_113,171.26999999999998,-44.25,0.076892406,0.07802904,0.08291139,0.06554636,0.07463366
m_115,171.13,-44.27,0.06396729,0.06526739,0.07069347,0.057795197,0.062311146
m_116,170.97000000000003,-42.71,0.030173406,0.030152913,0.03047691,0.02998889,0.03003082
m_117,170.93899999999996,-42.6774,0.025746632,0.024052398,0.027668506,0.027407274,0.02449273
m_120,170.98000000000002,-45.07,0.019973831,0.019186458,0.020712895,0.02012104,0.019931318
m_121,170.9364,-45.1084,0.025461245,0.02647337,0.025462933,0.023473982,0.026082918
m_136,171.5414,-41.7756,0.020306952,0.019579714,0.02147062,0.019829419,0.020401293
m_137,171.57,-41.74,0.01395775,0.012193827,0.014867326,0.01566651,0.013520846
m_55,172.4241,-43.5691,0.35004368,0.35264105,0.3536244,0.35102868,0.34878996
m_56,172.17470000000003,-43.4819,0.4028014,0.40915245,0.42266953,0.39696655,0.40145016
m_57,172.12,-43.48,0.45499915,0.4620452,0.4665235,0.45583808,0.4551818
m_58,172.38,-43.58,0.3677309,0.36768427,0.36980617,0.3658295,0.36642092
m_61,172.3,-43.76,0.17621957,0.17625833,0.17951854,0.17054673,0.17153488
m_63,172.4262,-43.6591,0.32166794,0.3170746,0.32314792,0.30949637,0.31508195
m_65,172.72000000000003,-43.6,0.38353217,0.3847428,0.37785712,0.38042447,0.38336927
m_66,172.48000000000002,-43.65,0.3419052,0.34443596,0.3444513,0.33017862,0.3363382
m_67,172.64,-43.53,0.23087235,0.2314742,0.23044837,0.23057696,0.23126075
m_70,172.6642,-43.2957,0.20701787,0.21040021,0.21281724,0.19924901,0.20236862
m_71,172.68,-43.36,0.2958535,0.29686585,0.29948136,0.29006052,0.29206476
m_72,172.6716,-43.5657,0.3141438,0.30638018,0.31349593,0.32642883,0.30868644
m_74,172.6667,-43.3857,0.32554436,0.32536724,0.3264691,0.324561,0.32461277
m_75,172.66999999999996,-43.32,0.23545422,0.23869109,0.2414946,0.22820671,0.23070759
m_82,172.18,-43.3,0.3359316,0.35003823,0.4208852,0.3079255,0.37725753
m_84,172.57,-43.31,0.22295386,0.22139716,0.2305299,0.22423518,0.22498232
m_87,172.541,-43.2974,0.24159165,0.23942319,0.25482213,0.24115285,0.24585575
m_93,171.64999999999998,-43.63,0.15379475,0.15325487,0.17003816,0.140474,0.14366902
m_94,171.6821,-43.666,0.13805436,0.13758841,0.14846992,0.12843278,0.13035843
s_0,172.089,-43.586,0.79142,0.79142,0.79142,0.79142,0.79142
s_1,172.10199999999998,-43.49,0.51879,0.51879,0.51879,0.51879,0.51879
s_10,172.628,-43.536,0.20592,0.20592,0.20592,0.20592,0.20592
s_100,171.72333000000003,-43.22833,0.11333,0.11333,0.11333,0.11333,0.11333
s_101,171.7475,-43.90417,0.11191,0.11191,0.11191,0.11191,0.11191
s_102,171.79361,-43.73111,0.10839,0.10839,0.10839,0.10839,0.10839
s_104,172.54305999999997,-42.87111,0.09837,0.09837,0.09837,0.09837,0.09837
s_106,172.09361,-43.89833,0.08113,0.08113,0.08113,0.08113,0.08113
s_107,171.5675,-42.95056,0.0799,0.0799,0.0799,0.0799,0.0799
s_109,171.24444,-44.40444,0.07417,0.07417,0.07417,0.07417,0.07417
s_11,172.52999999999997,-43.483,0.1915,0.1915,0.1915,0.1915,0.1915
s_110,171.61082999999996,-43.83889,0.06996,0.06996,0.06996,0.06996,0.06996
s_114,171.42167,-43.82472,0.05783,0.05783,0.05783,0.05783,0.05783
s_118,171.13556,-42.89333,0.05371,0.05371,0.05371,0.05371,0.05371
s_119,171.05389000000002,-43.71639,0.0487,0.0487,0.0487,0.0487,0.0487
s_12,172.62,-43.529,0.17579,0.17579,0.17579,0.17579,0.17579
s_122,170.49278000000004,-45.90389,0.04102,0.04102,0.04102,0.04102,0.04102
s_123,171.47278,-42.72833,0.04091,0.04091,0.04091,0.04091,0.04091
s_124,172.83028000000002,-42.525,0.0403,0.0403,0.0403,0.0403,0.0403
s_125,170.50972000000002,-45.90028,0.03859,0.03859,0.03859,0.03859,0.03859
s_126,170.55583000000001,-43.15056,0.03681,0.03681,0.03681,0.03681,0.03681
s_127,171.21028,-42.45083,0.03525,0.03525,0.03525,0.03525,0.03525
s_128,170.73694,-43.07333,0.03165,0.03165,0.03165,0.03165,0.03165
s_129,172.27083,-42.78333,0.03132,0.03132,0.03132,0.03132,0.03132
s_13,172.596,-43.274,0.16632,0.16632,0.16632,0.16632,0.16632
s_130,170.96389,-42.71861,0.02899,0.02899,0.02899,0.02899,0.02899
s_131,170.96916999999996,-45.10139,0.02394,0.02394,0.02394,0.02394,0.02394
