# 19920413_M5.3_Roermond median gmf, Stations:None, gmlt:GEM, Rupture:Ahorneretal1994
custom_site_id,lon,lat,ESHM20Craton,"ESHM20Craton
epsilon=-1.355630","ESHM20Craton
epsilon=1.355630","ESHM20Craton
site_epsilon=-1.732051","ESHM20Craton
site_epsilon=1.732051","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.73205100
c3_epsilon = 1.73205100"
t_1000,11.088089999999994,48.95228,0.0008807411,0.00046730504,0.001659954,0.000375261,0.0020671077,0.0008240207
t_1001,11.349490000000003,49.00887,0.0007750492,0.00041122688,0.001460754,0.00032942827,0.0018234662,0.00064516236
t_1002,11.17541,49.00936,0.00084346737,0.0004475283,0.0015897033,0.0003593797,0.0019796256,0.00075860723
t_1003,11.437009999999987,49.06581,0.00076790387,0.0004074357,0.0014472869,0.00032709268,0.0018027805,0.0007429997
t_1004,11.262830000000008,49.06637,0.000821419,0.00043582986,0.0015481482,0.00034998546,0.0019278778,0.00073418766
t_1005,11.088639999999998,49.0668,0.00085672067,0.00045456027,0.0016146821,0.00036414203,0.0020156153,0.0007817716
t_1006,11.524640000000005,49.12269,0.000760204,0.00040335025,0.0014327747,0.0003231184,0.0017885396,0.0007187419
t_1007,10.218189999999993,48.95233,0.0012097664,0.0006418798,0.0022800758,0.00057162513,0.002560305,0.0010734319
t_1008,10.392169999999993,48.9526,0.0011295017,0.00059929286,0.0021287992,0.00051694777,0.0024678977,0.0010022805
t_1009,9.95680999999999,49.00894,0.0013648248,0.000724151,0.0025723183,0.00066626933,0.0027957866,0.0012220521
t_1010,10.130889999999994,49.00942,0.0012815271,0.00067995477,0.002415325,0.0006148304,0.0026711621,0.0011369337
t_1011,10.30498,49.00976,0.0012705985,0.0006741562,0.0023947274,0.0006340292,0.0025462871,0.0011063585
t_1012,10.043489999999991,49.06644,0.0012770396,0.0006775738,0.0024068675,0.00054411334,0.0029972256,0.0011009807
t_1013,10.217680000000001,49.06685,0.0012387164,0.00065724016,0.0023346387,0.0005579174,0.0027502608,0.001101543
t_1014,10.391870000000011,49.06712,0.0011920257,0.000632467,0.0022466397,0.0005570931,0.0025506066,0.0010907652
t_1015,9.955980000000011,49.1234,0.001323978,0.0007024784,0.002495333,0.00056411256,0.00310739,0.0013672255
t_1016,10.130269999999996,49.12387,0.001188465,0.00063057774,0.0022399288,0.00050549686,0.0027941798,0.0010514774
t_1017,9.784809999999993,48.77903,0.0011494966,0.0006099018,0.002166484,0.00048977084,0.002697879,0.0011195873
t_1018,9.523650000000004,48.83522,0.0012643377,0.0006708343,0.0023829276,0.0005377462,0.0029726846,0.0011446041
t_1019,9.69740999999999,48.83604,0.0012197834,0.0006471947,0.0022989553,0.0005197182,0.0028628432,0.0010830977
t_1020,9.871170000000006,48.83673,0.0012051605,0.00063943607,0.0022713952,0.0005134876,0.002828524,0.0012983702
t_1021,9.436039999999991,48.89209,0.0013330865,0.00070731126,0.0025125004,0.0005666174,0.0031363664,0.0010956395
t_1022,9.60990000000001,48.89299,0.0012875716,0.00068316184,0.0024267172,0.0005486009,0.0030219427,0.0013095536
t_1023,9.783770000000004,48.89374,0.0012326979,0.00065404683,0.0023232955,0.00052522065,0.0028931536,0.0013428625
t_1024,9.522289999999998,48.94986,0.0013350858,0.00070837204,0.0025162685,0.0005674672,0.00314107,0.0011001348
t_1025,9.696259999999995,48.95069,0.0012816435,0.0006800165,0.0024155444,0.00054607517,0.0030080294,0.0011285741
t_1026,9.870239999999995,48.95137,0.0012008395,0.0006371434,0.0022632512,0.00051130535,0.0028202632,0.0010840412
t_1027,8.39294000000001,48.88381,0.0017823275,0.0009456703,0.0033591958,0.0007588661,0.0041861027,0.0013169473
t_1028,8.566779999999994,48.88554,0.0017033168,0.0009037486,0.0032102822,0.0007252408,0.004000448,0.0012109802
t_1029,8.304609999999997,48.9402,0.0023164009,0.0012290397,0.0043657767,0.001145137,0.0046856515,0.0015206998
t_1030,8.478550000000013,48.942,0.0019430644,0.0010309543,0.0036621403,0.00084174075,0.004485347,0.0013297378
t_1031,8.216170000000005,48.99652,0.0022090862,0.0011721007,0.004163518,0.0010102782,0.004830414,0.0015366218
t_1032,8.390209999999996,48.99839,0.002344189,0.0012437836,0.0044181496,0.0011436952,0.004804796,0.0015475684
t_1033,8.56425999999999,49.00012,0.0018221899,0.00096682046,0.003434325,0.0007761007,0.00427828,0.0012857782
t_1034,8.301770000000005,49.05472,0.0024858455,0.0013189439,0.0046851328,0.0011974092,0.0051606647,0.0020536736
t_1035,8.475920000000002,49.05651,0.002336158,0.0012395225,0.0044030133,0.0011654805,0.0046827327,0.0016481513
t_1036,8.21323000000001,49.11098,0.0026425833,0.0014021063,0.004980541,0.0013114475,0.0053248396,0.0017450976
t_1037,9.26218,48.89106,0.0014289676,0.00075818395,0.0026932096,0.000608846,0.0033538009,0.0012265361
