# 19920413_M5.3_Roermond median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,ESHM20Craton,"ESHM20Craton
epsilon=-1.355630","ESHM20Craton
epsilon=1.355630","ESHM20Craton
site_epsilon=-1.732051","ESHM20Craton
site_epsilon=1.732051","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.73205100
c3_epsilon = 1.73205100"
t_1000,11.088089999999994,48.95228,0.0007108043,0.0003771397,0.0013396699,0.00030285536,0.0016682642,0.0006818481
t_1001,11.349490000000003,49.00887,0.000629937,0.000334233,0.0011872574,0.0002677495,0.0014820591,0.0005373642
t_1002,11.17541,49.00936,0.0006824708,0.00036210645,0.0012862692,0.0002907832,0.001601765,0.0006291925
t_1003,11.437009999999987,49.06581,0.0006258204,0.00033204883,0.0011794989,0.00026657153,0.0014692164,0.0006203522
t_1004,11.262830000000008,49.06637,0.00066642155,0.00035359102,0.0012560207,0.00028394506,0.0015640972,0.0006104205
t_1005,11.088639999999998,49.0668,0.000691787,0.00036704948,0.0013038276,0.00029403833,0.0016275742,0.00064714625
t_1006,11.524640000000005,49.12269,0.000621274,0.0003296366,0.0011709301,0.00026406738,0.0014616776,0.0006015953
t_1007,10.218189999999993,48.95233,0.0009519475,0.0005050859,0.0017941585,0.0004498038,0.0020146654,0.0008672326
t_1008,10.392169999999993,48.9526,0.00089362863,0.00047414293,0.0016842434,0.00040899406,0.0019525273,0.0008139461
t_1009,9.95680999999999,49.00894,0.001064547,0.0005648291,0.0020063773,0.00051968265,0.0021806776,0.0009789343
t_1010,10.130889999999994,49.00942,0.0010054226,0.0005334588,0.0018949442,0.00048236584,0.0020956595,0.0009158176
t_1011,10.30498,49.00976,0.0010026554,0.0005319905,0.0018897286,0.00050032604,0.0020093252,0.000896002
t_1012,10.043489999999991,49.06644,0.0009985701,0.00052982295,0.0018820291,0.00042546482,0.0023436537,0.0008841192
t_1013,10.217680000000001,49.06685,0.00097447034,0.00051703607,0.0018366078,0.00043890128,0.0021635673,0.0008895531
t_1014,10.391870000000011,49.06712,0.0009431499,0.000500418,0.0017775774,0.0004407813,0.0020180799,0.00088564894
t_1015,9.955980000000011,49.1234,0.0010318469,0.000547479,0.0019447467,0.00043964322,0.0024217546,0.0010943825
t_1016,10.130269999999996,49.12387,0.00093186327,0.00049442955,0.0017563052,0.0003963549,0.0021908877,0.00084659405
t_1017,9.784809999999993,48.77903,0.00089310243,0.00047386374,0.0016832517,0.00038052793,0.0020961193,0.0008943332
t_1018,9.523650000000004,48.83522,0.0009733733,0.000516454,0.0018345402,0.00041399366,0.002288575,0.0009063561
