ID_1,NAME_1,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
SV01,Ahuachapán,,RES,,18540,,,,6553.0,,Shaking,ProteccionCivil,
SV01,Ahuachapán,,ASS1,,14,,,,,,Shaking,ProteccionCivil,
SV01,Ahuachapán,,COM4,,7,,,,,,Shaking,ProteccionCivil,
SV01,Ahuachapán,,COM6,,60,,,,,,Shaking,ProteccionCivil,
SV02,Cabañas,,RES,,1153,,,,309.0,,Shaking,ProteccionCivil,
SV02,Cabañas,,ASS1,,5,,,,,,Shaking,ProteccionCivil,
SV02,Cabañas,,COM4,,6,,,,,,Shaking,ProteccionCivil,
SV02,Cabañas,,COM6,,31,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,RES,,4454,,,,4282.0,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,ASS1,,6,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,COM4,,2,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,COM6,,47,,,,,,Shaking,ProteccionCivil,
SV03,Chalatenango,,RES,,308,,,,16.0,,Shaking,ProteccionCivil,
SV03,Chalatenango,,ASS1,,3,,,,,,Shaking,ProteccionCivil,
SV03,Chalatenango,,COM6,,47,,,,,,Shaking,ProteccionCivil,
SV05,La Libertad,,RES,,15245,,,,15723.0,,Shaking,ProteccionCivil,
SV05,La Libertad,,ASS1,,45,,,,,,Shaking,ProteccionCivil,
SV05,La Libertad,,COM4,,14,,,,,,Shaking,ProteccionCivil,
SV05,La Libertad,,COM6,,48,,,,,,Shaking,ProteccionCivil,
SV05,La Libertad,,OCO,,2,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,RES,,25076,,,,17996.0,,Shaking,ProteccionCivil,
SV06,La Paz,,ASS1,,46,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,COM4,,10,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,COM6,,272,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,OCO,,1,,,,,,Shaking,ProteccionCivil,
SV07,La Unión,,RES,,2136,,,,268.0,,Shaking,ProteccionCivil,
SV07,La Unión,,ASS1,,5,,,,,,Shaking,ProteccionCivil,
SV07,La Unión,,COM6,,98,,,,,,Shaking,ProteccionCivil,
SV08,Morazán,,RES,,94,,,,5.0,,Shaking,ProteccionCivil,
SV08,Morazán,,ASS1,,4,,,,,,Shaking,ProteccionCivil,
SV08,Morazán,,COM6,,35,,,,,,Shaking,ProteccionCivil,
SV08,Morazán,,OCO,,1,,,,,,Shaking,ProteccionCivil,
SV09,San Miguel,,RES,,10524,,,,2902.0,,Shaking,ProteccionCivil,
SV09,San Miguel,,ASS1,,38,,,,,,Shaking,ProteccionCivil,
SV09,San Miguel,,COM4,,15,,,,,,Shaking,ProteccionCivil,
SV09,San Miguel,,COM6,,23,,,,,,Shaking,ProteccionCivil,
SV10,San Salvador,,RES,,12836,,,,10372.0,,Shaking,ProteccionCivil,
SV10,San Salvador,,ASS1,,19,,,,,,Shaking,ProteccionCivil,
SV10,San Salvador,,COM4,,20,,,,,,Shaking,ProteccionCivil,
SV10,San Salvador,,COM6,,76,,,,,,Shaking,ProteccionCivil,
SV10,San Salvador,,OCO,,7,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,RES,,17292,,,,5218.0,,Shaking,ProteccionCivil,
SV11,San Vicente,,ASS1,,12,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,COM4,,1,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,COM6,,40,,,,,,Shaking,ProteccionCivil,
SV12,Santa Ana,,RES,,13925,,,,4823.0,,Shaking,ProteccionCivil,
SV12,Santa Ana,,ASS1,,49,,,,,,Shaking,ProteccionCivil,
SV12,Santa Ana,,COM4,,3,,,,,,Shaking,ProteccionCivil,
SV12,Santa Ana,,COM6,,5,,,,,,Shaking,ProteccionCivil,
SV13,Sonsonate,,RES,,17773,,,,10501.0,,Shaking,ProteccionCivil,
SV13,Sonsonate,,ASS1,,69,,,,,,Shaking,ProteccionCivil,
SV13,Sonsonate,,COM4,,7,,,,,,Shaking,ProteccionCivil,
SV13,Sonsonate,,COM6,,38,,,,,,Shaking,ProteccionCivil,
SV14,Usulután,,RES,,30716,,,,29293.0,,Shaking,ProteccionCivil,
SV14,Usulután,,ASS1,,90,,,,,,Shaking,ProteccionCivil,
SV14,Usulután,,COM4,,9,,,,,,Shaking,ProteccionCivil,
SV14,Usulután,,COM6,,335,,,,,,Shaking,ProteccionCivil,
SV14,Usulután,,OCO,,1,,,,,,Shaking,ProteccionCivil,
SV05,La Libertad,,RES,,10102,,,,9091.0,,Shaking,Yushimura_et_al_2001,
SV05,La Libertad,,ASS1,,5,,,,,,Shaking,Yushimura_et_al_2001,
SV05,La Libertad,,COM4,,5,,,,,,Shaking,Yushimura_et_al_2001,
SV05,La Libertad,,COM6,,24,,,,,,Shaking,Yushimura_et_al_2001,
SV06,La Paz,,RES,,21790,,,,16038.0,,Shaking,Yushimura_et_al_2001,
SV06,La Paz,,ASS1,,29,,,,,,Shaking,Yushimura_et_al_2001,
SV06,La Paz,,COM4,,7,,,,,,Shaking,Yushimura_et_al_2001,
SV06,La Paz,,COM6,,32,,,,,,Shaking,Yushimura_et_al_2001,
SV13,Sonsonate,,RES,,9776,,,,6220.0,,Shaking,Yushimura_et_al_2001,
SV13,Sonsonate,,ASS1,,14,,,,,,Shaking,Yushimura_et_al_2001,
SV13,Sonsonate,,COM4,,6,,,,,,Shaking,Yushimura_et_al_2001,
SV13,Sonsonate,,COM6,,36,,,,,,Shaking,Yushimura_et_al_2001,
SV12,Santa Ana,,RES,,725,,,,944.0,,Shaking,Yushimura_et_al_2001,
SV12,Santa Ana,,ASS1,,31,,,,,,Shaking,Yushimura_et_al_2001,
SV12,Santa Ana,,COM4,,1,,,,,,Shaking,Yushimura_et_al_2001,
SV12,Santa Ana,,COM6,,5,,,,,,Shaking,Yushimura_et_al_2001,
SV04,Cuscatlán,,RES,,4401,,,,2068.0,,Shaking,Yushimura_et_al_2001,
SV04,Cuscatlán,,ASS1,,2,,,,,,Shaking,Yushimura_et_al_2001,
SV04,Cuscatlán,,COM6,,47,,,,,,Shaking,Yushimura_et_al_2001,
SV14,Cuscatlán,,RES,,26418,,,,26691.0,,Shaking,Yushimura_et_al_2001,
SV14,Cuscatlán,,ASS1,,14,,,,,,Shaking,Yushimura_et_al_2001,
SV14,Cuscatlán,,COM4,,9,,,,,,Shaking,Yushimura_et_al_2001,
