ID_1,NAME_1,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
SV02,Cabañas,,RES,,416.0,,,,420.0,,Shaking,ProteccionCivil,
SV02,Cabañas,,EDU,,8.0,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,RES,,9187.0,,,,15467.0,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,ASS1,,71.0,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,EDU,,35.0,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,COM6,,69.0,,,,,,Shaking,ProteccionCivil,
SV04,Cuscatlán,,COM4,,13.0,,,,,,Shaking,ProteccionCivil,
SV03,Chalatenango,,COM4,,5.0,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,RES,,2996.0,,,,20399.0,,Shaking,ProteccionCivil,
SV06,La Paz,,ASS1,,20.0,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,EDU,,26.0,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,COM4,,9.0,,,,,,Shaking,ProteccionCivil,
SV06,La Paz,,COM6,,4.0,,,,,,Shaking,ProteccionCivil,
SV08,Morazán,,RES,,16.0,,,,,,Shaking,ProteccionCivil,
SV08,Morazán,,EDU,,3.0,,,,,,Shaking,ProteccionCivil,
SV08,Morazán,,COM6,,3.0,,,,,,Shaking,ProteccionCivil,
SV09,San Miguel,,RES,,29.0,,,,19.0,,Shaking,ProteccionCivil,
SV09,San Miguel,,COM6,,3.0,,,,,,Shaking,ProteccionCivil,
SV09,San Miguel,,EDU,,2.0,,,,,,Shaking,ProteccionCivil,
SV09,San Miguel,,COM4,,1.0,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,RES,,4108.0,,,,8425.0,,Shaking,ProteccionCivil,
SV11,San Vicente,,COM6,,4.0,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,ASS1,,6.0,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,EDU,,36.0,,,,,,Shaking,ProteccionCivil,
SV11,San Vicente,,COM4,,10.0,,,,,,Shaking,ProteccionCivil,
SV14,Usulután,,RES,,,,,,20.0,,Shaking,ProteccionCivil,
SV14,Usulután,,EDU,,1.0,,,,,,Shaking,ProteccionCivil,
SV14,Usulután,,COM4,,3.0,,,,,,Shaking,ProteccionCivil,
