ID_1,NAME_1,ID_2,NAME_2,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS2_MODARATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS
SV02,Cabañas,SV0203,Ilobasco,,EDU,,2.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0207,Tejutepeque,,EDU,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0207,Tejutepeque,,RES,,149.0,,,,149.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0204,Jutiapa,,EDU,,1.0,,,,,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0208,Victoria,,RES,,22.0,,,,22.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0206,Sensuntepeque,,RES,,149.0,,,,149.0,,Shaking,ProteccionCivil ,
SV02,Cabañas,SV0206,Sensuntepeque,,EDU,,4.0,,,,,,Shaking,ProteccionCivil ,
SV14,Usulután,SV1421,Santiago de María,,EDU,,1.0,,,,,,Shaking,ProteccionCivil ,
SV14,Usulután,SV1423,Usulután,,COM4,,3.0,,,,,,Shaking,ProteccionCivil ,
SV14,Usulután,SV1405,El Triunfo,,EDU,,,,,,20.0,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0812,Jocoro,,EDU,,1.0,,,,,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0808,Gualococti,,EDU,,1.0,,,,,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0806,El Divisadero,,RES,,,,,,1.0,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0807,El Rosario,,RES,,,,,,7.0,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0817,San Carlos,,RES,,,,,,6.0,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0810,Joateca,,RES,,,,,,2.0,,Shaking,ProteccionCivil ,
SV08,Morazán,SV0810,Joateca,,EDU,,1.0,,,,,,Shaking,ProteccionCivil ,
SV09,San Miguel,SV0918,San Rafael Oriente,,COM6,,2.0,,,,,,,,
SV09,San Miguel,SV0910,Nueva Guadalupe,,RES,,,,,,17.0,,,,
SV09,San Miguel,SV0913,San Antonio Mosco,,RES,,7.0,,,,,,,,
SV09,San Miguel,SV0913,San Antonio Mosco,,COM6,,1.0,,,,,,,,
SV09,San Miguel,SV0919,Sesori,,EDU,,1.0,,,,,,,,
SV09,San Miguel,SV0902,Chapeltique,,RES,,5.0,,,,,,,,
SV09,San Miguel,SV0912,Quelepa,,RES,,17.0,,,,2.0,,,,
SV09,San Miguel,SV0912,Quelepa,,EDU,,1.0,,,,,,,,
SV04,Cuscatlán,SV0402,Cojutepeque,,RES,,1069.0,,,,3513.0,,,,
SV04,Cuscatlán,SV0402,Cojutepeque,,COM6,,6.0,,,,,,,,
SV04,Cuscatlán,SV0402,Cojutepeque,,ASS1,,6.0,,,,,,,,
SV04,Cuscatlán,SV0402,Cojutepeque,,COM4,,6.0,,,,,,,,
SV04,Cuscatlán,SV0401,Candelaria,,RES,,792.0,,,,2284.0,,,,
SV04,Cuscatlán,SV0401,Candelaria,,COM6,,1.0,,,,,,,,
SV04,Cuscatlán,SV0401,Candelaria,,ASS1,,4.0,,,,,,,,
SV04,Cuscatlán,SV0401,Candelaria,,COM4,,4.0,,,,,,,,
SV04,Cuscatlán,SV0414,Santa Cruz Michapa,,RES,,553.0,,,,1266.0,,,,
SV04,Cuscatlán,SV0414,Santa Cruz Michapa,,COM6,,6.0,,,,,,,,
SV04,Cuscatlán,SV0414,Santa Cruz Michapa,,ASS1,,6.0,,,,,,,,
SV04,Cuscatlán,SV0414,Santa Cruz Michapa,,COM4,,2.0,,,,,,,,
SV04,Cuscatlán,SV0403,El Carmen,,RES,,1138.0,,,,942.0,,,,
SV04,Cuscatlán,SV0403,El Carmen,,COM6,,8.0,,,,,,,,
SV04,Cuscatlán,SV0403,El Carmen,,ASS1,,8.0,,,,,,,,
SV04,Cuscatlán,SV0403,El Carmen,,COM4,,2.0,,,,,,,,
SV04,Cuscatlán,SV0411,San Rafael Cedros,,RES,,1098.0,,,,478.0,,,,
SV04,Cuscatlán,SV0411,San Rafael Cedros,,COM6,,3.0,,,,,,,,
SV04,Cuscatlán,SV0411,San Rafael Cedros,,ASS1,,3.0,,,,,,,,
SV04,Cuscatlán,SV0411,San Rafael Cedros,,COM4,,3.0,,,,,,,,
SV04,Cuscatlán,SV0412,San Ramón,,RES,,,,,,1800.0,,,,
SV04,Cuscatlán,SV0412,San Ramón,,COM6,,7.0,,,,,,,,
SV04,Cuscatlán,SV0412,San Ramón,,ASS1,,,,,,,,,,
SV04,Cuscatlán,SV0412,San Ramón,,COM4,,1.0,,,,,,,,
SV04,Cuscatlán,SV0413,Santa Cruz Analquito,,RES,,39.0,,,,635.0,,,,
SV04,Cuscatlán,SV0413,Santa Cruz Analquito,,COM6,,8.0,,,,,,,,
SV04,Cuscatlán,SV0413,Santa Cruz Analquito,,ASS1,,7.0,,,,,,,,
SV04,Cuscatlán,SV0413,Santa Cruz Analquito,,COM4,,3.0,,,,,,,,
SV04,Cuscatlán,SV0410,San Pedro Perulapán,,RES,,1701.0,,,,1851.0,,,,
SV04,Cuscatlán,SV0410,San Pedro Perulapán,,COM6,,6.0,,,,,,,,
SV04,Cuscatlán,SV0410,San Pedro Perulapán,,ASS1,,8.0,,,,,,,,
SV04,Cuscatlán,SV0410,San Pedro Perulapán,,COM4,,5.0,,,,,,,,
SV04,Cuscatlán,SV0408,San Cristóbal,,RES,,237.0,,,,2000.0,,,,
SV04,Cuscatlán,SV0408,San Cristóbal,,COM6,,5.0,,,,,,,,
SV04,Cuscatlán,SV0408,San Cristóbal,,ASS1,,6.0,,,,,,,,
SV04,Cuscatlán,SV0408,San Cristóbal,,COM4,,3.0,,,,,,,,
SV04,Cuscatlán,SV0409,San José Guayabal,,RES,,411.0,,,,3.0,,,,
