FIELD,DESCRIPTION
Year,2004
Country,Colombia
Region,South America
Event Name,Pizarro 2004
Local Date,15/11/2004
Local Time,04:06:00
Latitude (decimal degrees),4.69
Longitude (decimal degrees),-77.47
Depth (km),15
Mw,7.2
Max Intensity (MMI),VIII
Fault mechanism,Reverse
Tectonic region type,Subduction Interface
Fatalities,
Injured,6-20
Displaced population,
Affected population,~8016
Affected units,~1000 
Damaged units,611-1978 
Collapsed units,154-296 
Economic losses,
Insured losses,
Earthquake-triggered effects,Liquefaction
USGS event ID,usp000d8gx
Wikipedia page,https://second.wiki/wiki/terremoto de pizarro de 2004
