STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA,SOIL_TYPE,VS30,VS30_TYPE,VS30_USGS
CESM,CESI MONTE,12.903332,43.004665,seismic,0.175507,0.0,A (inferred from geology),841.0,inferred_USGS,841.0
NCR2,NOCERA UMBRA 2,12.784666,43.111583,seismic,0.138813,0.0,E,555.0,E,772.0
NRC,NORCIA,13.096475,42.792543,seismic,0.131221,0.0,B,498.0,B,686.0
CLF,COLFIORITO,12.920428,43.036714,seismic,0.089956,0.0,D,145.0,D,151.0
FHC,FORCA CANAPINE (ARQUATA TRONTO),13.210278,42.761111,seismic,0.073646,0.0,B (inferred from geology),1000.0,inferred_USGS,1000.0
CLC,COLFIORITO CASERMETTE,12.891277,43.029388,seismic,0.070364,0.0,B (inferred from geology),151.0,inferred_USGS,151.0
CAG,CASSIGNANO,12.828888,43.054444,seismic,0.065198,0.0,A (inferred from geology),1000.0,inferred_USGS,1000.0
CSC,CASCIA,13.01228,42.719097,seismic,0.062086,0.0,B,698.0,B,991.0
ANNI,ANNIFO,12.85663,43.05339,seismic,0.060544,0.0,D (inferred from geology),636.0,inferred_USGS,636.0
NCB,NOCERA UMBRA BISCONTINI,12.805277,43.102777,seismic,0.054319,0.0,B (inferred from geology),1000.0,inferred_USGS,1000.0
LNS,LEONESSA,12.984167,42.565,seismic,0.043166,0.0,C (inferred from geology),680.0,inferred_USGS,680.0
BVG,BEVAGNA,12.611065,42.932367,seismic,0.042444,0.0,C,211.0,C,230.0
SPM,SPOLETO  MONTELUCO,12.751268,42.72324,seismic,0.039975,0.0,A (inferred from geology),782.0,inferred_USGS,782.0
NOCE,NOCERA UMBRA P.I.,12.792,43.12,seismic,0.037,0.0,B (inferred from geology),291.0,inferred_USGS,291.0
RTI,RIETI (CAB. ENEL),12.829097,42.430278,seismic,0.0339,0.0,D,170.0,D,230.0
SER,SERRAVALLE DI CHIENTI,12.953137,43.071179,seismic,0.031019,0.0,C (inferred from geology),614.0,inferred_USGS,614.0
ASS,ASSISI,12.604141,43.074982,seismic,0.025892,0.0,A (inferred from geology),623.0,inferred_USGS,623.0
NCM,NOCERA UMBRA SALMATA,12.797222,43.14917,seismic,0.022223,0.0,B (inferred from geology),679.0,inferred_USGS,679.0
AQV,L AQUILA   V. ATERNO   CENTRO VALLE,13.343888,42.377222,seismic,0.016342,0.0,B,474.0,B,820.0
MNF,MONTE FIEGNI  FIASTRA,13.184466,43.059684,seismic,0.015508,0.0,A,1062.0,A,1000.0
GBP,GUBBIO PIANA,12.58949,43.31381,seismic,0.014444,0.0,C,224.0,C,260.0
BTT2,BORGO OTTOMILA - 2 (CELANO),13.543056,41.998333,seismic,0.011941,0.0,D,90.0,D,230.0
AQA,L AQUILA   V. ATERNO    F. ATERNO,13.339298,42.37553,seismic,0.011371,0.0,B,549.0,B,820.0
AQI,L'AQUILA - V. ATERNO -  AQUIL PARK INT.,13.4009,42.3449,seismic,0.008322,0.0,C (inferred from geology),600.0,inferred_USGS,600.0
AQK,L AQUILA   V. ATERNO   AQUIL PARK ING.,13.400949,42.344967,seismic,0.008287,0.0,B,705.0,B,600.0
AQM,L'AQUILA - V. ATERNO -  IL MORO,13.349262,42.378643,seismic,0.005728,0.0,B (inferred from geology),918.0,inferred_USGS,918.0
AQP,L'AQUILA - V. ATERNO -  M. PETTINO,13.368598,42.383686,seismic,0.004944,0.0,A,836.0,A,1000.0
CTR,Borgo-Cerreto Torre,12.915,42.814,seismic,0.336735,0.0,,414.74,inferred,559.0
HIST_19,Norcia-Altavilla,13.089,42.796,seismic,0.234694,0.0,,780.91,inferred,969.0
NCR,Nocera Umbra,12.785,43.113,seismic,0.139796,0.0,,409.09,inferred,554.0
FSM,Foligno Santa Maria Infraportas-Base,12.704,42.955,seismic,0.072347,0.0,,289.58,inferred,458.0
CSA,Castelnuovo-Assisi,12.591,43.007,seismic,0.054898,0.0,,194.99,inferred,230.0
MTL,Matelica,13.007,43.249,seismic,0.025714,0.0,,383.74,inferred,969.0
