STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
AMT,AMATRICE,42.63246,13.286176,seismic,INGV,B,0.850803528,0,1.788420046,0,0.825518038,0,0.383776433,0,670,B,,,,,,
NRC,NORCIA,42.792543,13.096475,seismic,INGV,B,0.366771637,0,0.735054914,0,0.39988224,0,0.258553294,0,498,B,,,,,,
FOC,FOLIGNO COLFIORITO,43.0263,12.896506,seismic,INGV,C (inferred from geology),0.322535828,0,0.496856008,0,0.12241734,0,0.037304579,0,,C (inferred from geology),,,,,,
PCB,POGGIO CANCELLI  BASE DIGA,42.558022,13.33799,seismic,INGV,B (inferred from geology),0.30184903,0,0.511550857,0,0.1825202,0,0.153410439,0,,B (inferred from geology),,,,,,
NOR,NORCIA LA CASTELLINA,42.792442,13.092422,seismic,INGV,B,0.244400406,0,0.403995182,0,0.310730321,0,0.396864275,0,423,B,,,,,,
FEMA,MONTE FEMA,42.9621,13.04976,seismic,INGV,A (inferred from geology),0.242337021,0,0.425982359,0,0.27436141,0,0.113910458,0,,A (inferred from geology),,,,,,
NCR,NOCERA UMBRA,43.111583,12.784666,seismic,INGV,E,0.217559113,0,0.238480897,0,0.047288797,0,0.031014885,0,555,E,,,,,,
CLF,COLFIORITO,43.036714,12.920428,seismic,INGV,D,0.128780792,0,0.439129909,0,0.200931398,0,0.174083455,0,145,D,,,,,,
TLN,TOLENTINO,43.215904,13.25838,seismic,INGV,B (inferred from geology),0.116172623,0,0.218905974,0,0.126951627,0,0.111923908,0,,B (inferred from geology),,,,,,
TREG,TREGNAGO,45.523,11.1606,seismic,INGV,B,0.108500504,0,0.234099736,0,0.210885883,0,0.084703133,0,391,B,,,,,,
MSCT,MASCIONI (CAMPOTOSTO) 2,42.526699,13.3509,seismic,INGV,B,0.107988098,0,0.297359231,0,0.144958177,0,0.153803983,0,652,B,,,,,,
CSC,CASCIA,42.719097,13.01228,seismic,INGV,B,0.104779083,0,0.183028766,0,0.198234592,0,0.076197661,0,698,B,,,,,,
RM33,PELLESCRITTA,42.50898,13.21452,seismic,INGV,B (inferred from geology),0.100360054,0,0.318669361,0,0.102955638,0,0.166288216,0,,B (inferred from geology),,,,,,
