FIELD,DESCRIPTION
Year,2010
Country,Serbia
Region,Europe
Event Name,Kraljevo
Local Date,03/11/2010
Local Time,00:56:55
Latitude (decimal degrees),43.76
Longitude (decimal degrees),20.73
Depth (km),0.9
Mw,5.5
Max Intensity (MMI),VI
Fault mechanism,Reverse
Tectonic region type,Subduction Intraslab
Fatalities,~2
Injured,100-120
Displaced population,~1470
Affected population,~25440
Affected units,
Damaged units,5000-5967 Buildings
Collapsed units,1000-1550 Buildings
Economic losses,0-138 M USD
Insured losses,
Earthquake-triggered effects,
USGS event ID,usp000hny4
Wikipedia page,https://en.wikipedia.org/wiki/2010 Serbia earthquake
