# 20201229_M6.3_Petrijna median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
s_0,16.10300000000001,45.914,0.041049495,0.039178774,0.04300954,0.025359448,0.06644707
s_1,15.96799999999999,45.811,0.054654133,0.053261306,0.05608338,0.033764087,0.08846898
s_10,13.633600000000001,45.9875,0.005202315,0.0036369925,0.007441335,0.0032138724,0.008421019
s_100,15.194700000000012,46.2784,0.014479717,0.012076229,0.017361563,0.008945242,0.023438407
s_101,15.586999999999989,46.547,0.011609865,0.009432458,0.014289911,0.007172312,0.01879296
s_102,16.364900000000006,46.3604,0.023787431,0.020380277,0.027764188,0.014695336,0.03850486
s_103,16.4949,46.3588,0.021708457,0.01851316,0.02545525,0.013410993,0.035139613
s_104,14.547899999999998,46.0077,0.01167186,0.009349599,0.014570926,0.007210611,0.01889331
s_105,14.4178,46.0971,0.008600977,0.0066959984,0.011047914,0.005313489,0.013922455
s_106,15.064899999999994,46.2785,0.014940544,0.0122953635,0.0181548,0.00922993,0.02418435
s_107,16.900300000000016,46.8027,0.006450093,0.0036042724,0.011542884,0.0039847214,0.010440805
s_108,17.798100000000005,46.4243,0.0066428767,0.0036210055,0.012186618,0.004103819,0.010752865
s_109,18.220100000000002,46.0647,0.007780384,0.004236932,0.014287312,0.004806545,0.012594155
s_11,14.527800000000013,46.0438,0.011142038,0.008864112,0.014005352,0.0068832985,0.018035686
s_110,14.547200000000004,46.0977,0.012448333,0.009867953,0.015703458,0.0076902984,0.020150194
s_111,19.209699999999998,47.4344,0.0014881017,0.00041007067,0.0054001585,0.0009193155,0.0024087992
s_112,18.27279999999999,44.9859,0.0088675,0.0068289335,0.011514619,0.0054781414,0.014353878
s_113,18.72569999999999,46.3459,0.0047426093,0.0020786168,0.010820822,0.0029298766,0.0076768906
s_114,13.390999999999991,45.8172,0.0056907246,0.003865341,0.008378135,0.003515601,0.009211611
s_115,10.919900000000013,45.0511,0.0014991115,0.00067878485,0.0033108215,0.0009261172,0.002426621
s_116,11.902299999999997,45.8003,0.0018605371,0.0009940902,0.003482177,0.0011493977,0.0030116627
s_117,11.540600000000012,44.9035,0.0010793456,0.00070095394,0.0016620021,0.00066679524,0.0017471433
s_118,12.233599999999996,43.4584,0.00031512638,0.00016440015,0.00060404226,0.00019467794,0.000510097
s_119,13.532299999999992,43.6077,0.0015877403,0.0011369159,0.0022173312,0.00098087,0.002570085
s_12,14.839300000000009,45.8033,0.014916723,0.012729167,0.017480219,0.009215213,0.024145791
s_120,12.376499999999993,45.4167,0.0034865253,0.0020200463,0.006017613,0.0021538963,0.0056436597
s_121,13.00030000000001,43.6318,0.0012031703,0.0008289992,0.0017462245,0.00074329134,0.0019475791
s_122,11.673900000000003,45.3617,0.0016633505,0.0008582423,0.0032237223,0.0010275802,0.0026924757
s_123,11.742500000000007,44.3595,0.00088659517,0.0005749587,0.0013671434,0.00054771843,0.001435137
