STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V
ACAC,ACAPULCO CENTRO CULTURAL,16.84851,-99.85157,seismic,Stations_UNAM,ARENA - LIMO - ARCILLA,0.0113203874,0.0184350914,0.0390941514,0.0081923984,0,0,0,0,0.0113203874,0.0184350914,0.0390941514,0.0081923984,0.0057734964,0.0140537914,0.0179215501,0.0073749913,0.0023520897,0.0054172536,0.0044417608,0.0033388097
ACAM,ACAMBARO,20.043186,-100.716777,seismic,Stations_UNAM,ROCA,0.0035217125,0.0036345067,0.0040647405,0.0048674448,0,0,0,0,0.0035217125,0.0036345067,0.0040647405,0.0048674448,0.0020425076,0.0020848824,0.0025358181,0.0037433319,0.0013082569,0.0013108301,0.0015718359,0.0026926018
ATYC,ATOYAC,17.213361,-100.432269,seismic,Stations_UNAM,ROCA,0.0020460754,0.002351983,0.0052015388,0.0043388752,0,0,0,0,0.0020460754,0.002351983,0.0052015388,0.0043388752,0.0012561672,0.0016201436,0.0033193029,0.0028154285,0.001314577,0.0017857873,0.0024685845,0.0036855927
CHPA,PREPARATORIA ARRIAGA,16.247374,-93.912575,seismic,Stations_UNAM,SIN INFORMACION,0.0057136595,0.0078796199,0.006795603,0.006933868,0,0,0,0,0.0057136595,0.0078796199,0.006795603,0.006933868,0.0044653415,0.0070759326,0.0056969219,0.0056299806,0.0068003058,0.006296826,0.0053725791,0.00662564
COMA,COMALA,19.325266,-103.760813,seismic,Stations_UNAM,ROCA,0.0017443425,0.0016633049,0.0022231801,0.0035191067,0,0,0,0,0.0017443425,0.0016633049,0.0022231801,0.0026377973,0.0014988787,0.0015395809,0.0018112644,0.0035191067,0.0011040775,0.0011485294,0.0014535655,0.0024698374
COYC,COYUCA,16.997788,-100.089963,seismic,Stations_UNAM,ROCA,0.0018812436,0.0036574594,0.0034664475,0.0045000072,0,0,0,0,0.0018519878,0.0024080662,0.0034664475,0.0045000072,0.0018812436,0.0036574594,0.0025192152,0.0023319115,0.0013237513,0.0021057886,0.0029401712,0.0023791182
CUP5,IDEI PATIO 5,19.33024,-99.181076,seismic,Stations_UNAM,ROCA BASALTICA,0.0082167176,0.0110178432,0.017096307,0.0304397661,0,0,0,0,0.0082167176,0.0110178432,0.017096307,0.0304397661,0.0069759429,0.0073884333,0.0109433184,0.0175202296,0.0037585117,0.004442515,0.0072623992,0.0171503315
GDLC,COLEGIO CERVANTES,20.682656,-103.377486,seismic,Stations_UNAM,BLANDO,0.0071389399,0.0009611086,0.0011187605,0.0011761473,0,0,0,0,0.0071389399,0.0009611086,0.0011187605,0.0011761473,0.0054267074,0.0006039124,0.0008872218,0.0009911197,0.0055696228,0.0004741522,0.0004960526,0.0007759487
HMTT,HUAMUXTITLAN,17.798341,-98.559717,seismic,Stations_UNAM,ROCA,0.0142369011,0.0287623837,0.0426218436,0.0252602338,0,0,0,0,0.0133971458,0.0208478531,0.0364559148,0.0252602338,0.0142369011,0.0287623837,0.0426218436,0.0182458643,0.011340265,0.0228815013,0.0385791463,0.0254917821
MIHL,MINATITLAN ESCUELA HIJAS DE LERDO,17.988778,-94.54387,seismic,Stations_UNAM,BLANDO,0.0413447503,0.0435735034,0.0508117685,0.0551871247,0,0,0,0,0.0413447503,0.0435735034,0.0508117685,0.0476793698,0.0325997961,0.0344622007,0.04231477,0.0551871247,0.0215748216,0.0235468434,0.0290849708,0.024297599
