STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
CBOG1,BOGOTA,4.641,-74.08,seismic,SGS_Recording_Stations,SUELO,0.0348416791,0.0392455488,0.0772546222,0.0639595391,0.0,0.0,0.0,0.0,0.0308597733,0.0322501093,0.0410955945,0.0639595391,0.0348416791,0.0392455488,0.0772546222,0.0587665303,0.0318552497,0.0327976371,0.04157628,0.0553046874,,,,,,,,
CPENS,PENSILVANIA,5.393,-75.161,seismic,SGS_Recording_Stations,ROCA,0.0338462027,0.0720320354,0.0366533725,0.0262240685,0.0,0.0,0.0,0.0,0.0219004844,0.0720320354,0.027615534,0.0130250717,0.0338462027,0.0654191979,0.0366533725,0.0262240685,0.0159276249,0.0183760956,0.0184475816,0.0186847218,,,,,,,,
CVHER,VILLAHERMOSA,5.032,-75.12,seismic,SGS_Recording_Stations,ROCA,0.0298642968,0.0354323401,0.0378018502,0.0294115977,0.0,0.0,0.0,0.0,0.0298642968,0.0340309946,0.0361818052,0.0294115977,0.0258823902,0.0354323401,0.0378018502,0.0253836747,0.0089592889,0.0234714384,0.0074856817,0.0058935077,,,,,,,,
CROSA,EL ROSAL,4.848,-74.321,seismic,SGS_Recording_Stations,ROCA,0.0248869138,0.0365661929,0.0511447751,0.0479461401,0.0,0.0,0.0,0.0,0.0248869138,0.0365661929,0.0511447751,0.0479461401,0.0179185778,0.020807268,0.0352344753,0.0333120238,0.0358371556,0.0407041295,0.0480626375,0.0404446614,,,,,,,,
obs_2,Mosoco (Intensity IX),2.73,-76.14,macroseismic,Stations_USGS,,1.431853,1.964966,,1.285348,0.8059,1.0131,,1.0822,,,,,,,,,,,,,479.28,9.0,0.3,0.875,108.6616,1.4737,0.232525,inferred
obs_9,Inza (Intensity IX),2.55,-76.06,macroseismic,Stations_USGS,,1.431853,1.964966,,1.285348,0.8059,1.0131,,1.0822,,,,,,,,,,,,,821.86,9.0,0.3,0.875,108.6616,1.4737,0.232525,inferred
obs_1,Paez (Intensity IX),2.65,-75.99,macroseismic,Stations_USGS,,1.329629,1.889921,,1.345046,0.8059,1.0131,,1.0822,,,,,,,,,,,,,900.0,9.0,0.3,0.875,108.6616,1.4737,0.244663,inferred
obs_3,Toribio (Intensity IX),2.96,-76.27,macroseismic,Stations_USGS,,1.108041,1.717198,,1.504057,0.8059,1.0131,,1.0822,,,,,,,,,,,,,534.76,9.0,0.3,0.875,108.6616,1.4737,0.277303,inferred
obs_6,Jambalo (Intensity IX),2.78,-76.33,macroseismic,Stations_USGS,,1.090943,1.703216,,1.518461,0.8059,1.0131,,1.0822,,,,,,,,,,,,,631.32,9.0,0.3,0.875,108.6616,1.4737,0.280281,inferred
obs_8,Totoro (Intensity IX),2.5,-76.4,macroseismic,Stations_USGS,,1.052601,1.671479,,1.552127,0.8059,1.0131,,1.0822,,,,,,,,,,,,,587.01,9.0,0.3,0.875,108.6616,1.4737,0.287255,inferred
