FIELD,DESCRIPTION
Year,2001
Country,El Salvador
Region,San Miguel 
Event_Name,Subduction_2001
Local_Date,13/01/2001
Local_Time,11:45:00
Latitude,12.83
Longitude,-88.79
Depth_(km),39
Mw,7.7
Max_Intensity_(MMI),VIII
Fault_mechanism,Normal
Tectonic_region_type,Subduction Intraslab
Fatalities,683-1500
Injured,3440-5565
Displaced_Population,45857-81486
Affected_Population,1160316-1692942
Affected_Units,222773 Units
Damaged_Units,84682-277953 Units
Collapsed_Units,38628-108261 Units
Economic_Losses,753-2000 M USD
Insured_Losses,290 M USD
Induced_Effects,"Landslides, Tsunami"
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a7m5/executive
Wikipedia page,https://en.wikipedia.org/wiki/January_2001_El_Salvador_earthquake
