calc_id,description,cal_time,recording_stations,gmlt,rupture,gmpe,max_distance,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
1518,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",29,Seismic,GEM,USGS,ZhaoEtAl2006Asc,25km,PGA,0.69083184,-0.002,0.248,0.002
1518,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",29,Seismic,GEM,USGS,CampbellBozorgnia2014,25km,PGA,0.73661214,0.006,0.212,0.006
1530,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",25,Seismic,USGS,USGS,CampbellBozorgnia2014,25km,PGA,0.73661214,0.006,0.212,0.006
1519,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",27,Seismic,GEM,USGS,ZhaoEtAl2006Asc,50km,PGA,0.69709176,0.012,0.229,0.012
1526,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:150km",27,Seismic,USGS,GCMT,ChiouYoungs2014,150km,PGA,0.7227887,0.05,0.116,0.05
1531,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",25,Seismic,USGS,USGS,CampbellBozorgnia2014,50km,PGA,0.7671833,0.051,0.191,0.051
1519,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",27,Seismic,GEM,USGS,CampbellBozorgnia2014,50km,PGA,0.7671833,0.051,0.191,0.051
1520,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:150km",26,Seismic,GEM,USGS,ZhaoEtAl2006Asc,150km,PGA,0.7465397,0.111,0.149,0.111
1530,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",25,Seismic,USGS,USGS,ChiouYoungs2014,25km,PGA,0.69228965,0.112,0.204,0.112
1512,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:25km",25,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,25km,PGA,0.6818078,0.123,0.271,0.123
1518,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",29,Seismic,GEM,USGS,AkkarEtAlRjb2014,25km,PGA,0.648,0.124,0.274,0.124
1510,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1992, Max_dist:50km",26,Seismic,GEM,Berberian_et_al_1992,ZhaoEtAl2006Asc,50km,PGA,0.689547,0.136,0.229,0.136
1516,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:Gao_And_Wallace_1994, Max_dist:50km",25,Seismic,GEM,Gao_And_Wallace_1994,ZhaoEtAl2006Asc,50km,PGA,0.6753606,0.139,0.229,0.139
1526,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:150km",27,Seismic,USGS,GCMT,AbrahamsonEtAl2014,150km,PGA,0.7249479,0.144,0.127,0.144
1524,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:25km",25,Seismic,USGS,GCMT,ChiouYoungs2014,25km,PGA,0.7681826,0.145,0.231,0.145
1531,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",25,Seismic,USGS,USGS,ChiouYoungs2014,50km,PGA,0.70976245,0.152,0.187,0.152
1520,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:150km",26,Seismic,GEM,USGS,CampbellBozorgnia2014,150km,PGA,0.84673285,0.168,0.12,0.168
1532,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:150km",27,Seismic,USGS,USGS,CampbellBozorgnia2014,150km,PGA,0.84673285,0.168,0.12,0.168
1514,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:150km",25,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,150km,PGA,0.7024324,0.171,0.145,0.171
1518,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",29,Seismic,GEM,USGS,BooreEtAl2014,25km,PGA,0.6622814,0.191,0.247,0.191
1530,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",25,Seismic,USGS,USGS,BooreEtAl2014,25km,PGA,0.6622814,0.191,0.247,0.191
1515,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:Gao_And_Wallace_1994, Max_dist:25km",25,Seismic,GEM,Gao_And_Wallace_1994,ZhaoEtAl2006Asc,25km,PGA,0.70662856,0.197,0.248,0.197
1528,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Gao_And_Wallace_1994, Max_dist:50km",27,Seismic,USGS,Gao_And_Wallace_1994,ChiouYoungs2014,50km,PGA,0.7252736,0.199,0.188,0.199
1509,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1992, Max_dist:25km",33,Seismic,GEM,Berberian_et_al_1992,ZhaoEtAl2006Asc,25km,PGA,0.72973967,0.208,0.248,0.208
1522,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1992, Max_dist:50km",25,Seismic,USGS,Berberian_et_al_1992,ChiouYoungs2014,50km,PGA,0.7362459,0.214,0.189,0.214
1513,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:50km",25,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,50km,PGA,0.7313866,0.218,0.228,0.218
1531,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",25,Seismic,USGS,USGS,BooreEtAl2014,50km,PGA,0.668924,0.219,0.219,0.219
1519,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",27,Seismic,GEM,USGS,AkkarEtAlRjb2014,50km,PGA,0.66883594,0.219,0.251,0.219
1519,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",27,Seismic,GEM,USGS,BooreEtAl2014,50km,PGA,0.668924,0.219,0.219,0.219
1525,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:50km",25,Seismic,USGS,GCMT,ChiouYoungs2014,50km,PGA,0.8175116,0.224,0.184,0.224
1530,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",25,Seismic,USGS,USGS,AbrahamsonEtAl2014,25km,PGA,0.684725,0.228,0.245,0.228
1512,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:25km",25,Seismic,GEM,GCMT,CampbellBozorgnia2014,25km,PGA,0.720044,0.232,0.269,0.232
1524,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:25km",25,Seismic,USGS,GCMT,CampbellBozorgnia2014,25km,PGA,0.720044,0.232,0.269,0.232
1528,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Gao_And_Wallace_1994, Max_dist:50km",27,Seismic,USGS,Gao_And_Wallace_1994,AbrahamsonEtAl2014,50km,PGA,0.68769157,0.24,0.222,0.24
1524,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:25km",25,Seismic,USGS,GCMT,AbrahamsonEtAl2014,25km,PGA,0.7811851,0.241,0.296,0.241
1527,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Gao_And_Wallace_1994, Max_dist:25km",26,Seismic,USGS,Gao_And_Wallace_1994,ChiouYoungs2014,25km,PGA,0.7528746,0.251,0.204,0.251
1522,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1992, Max_dist:50km",25,Seismic,USGS,Berberian_et_al_1992,AbrahamsonEtAl2014,50km,PGA,0.7155507,0.263,0.223,0.263
1531,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",25,Seismic,USGS,USGS,AbrahamsonEtAl2014,50km,PGA,0.6948263,0.263,0.22,0.263
1528,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Gao_And_Wallace_1994, Max_dist:50km",27,Seismic,USGS,Gao_And_Wallace_1994,CampbellBozorgnia2014,50km,PGA,0.70252985,0.267,0.199,0.267
1516,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:Gao_And_Wallace_1994, Max_dist:50km",25,Seismic,GEM,Gao_And_Wallace_1994,CampbellBozorgnia2014,50km,PGA,0.70252985,0.267,0.199,0.267
1523,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1992, Max_dist:150km",25,Seismic,USGS,Berberian_et_al_1992,ChiouYoungs2014,150km,PGA,0.765479,0.27,0.117,0.27
1529,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Gao_And_Wallace_1994, Max_dist:150km",25,Seismic,USGS,Gao_And_Wallace_1994,ChiouYoungs2014,150km,PGA,0.7630518,0.271,0.124,0.271
1512,"19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:25km",25,Seismic,GEM,GCMT,AkkarEtAlRjb2014,25km,PGA,0.8117585,0.273,0.305,0.273
