# 19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
m_32,49.417,36.736,0.48703197,0.5035158,0.44944096,0.4431329
m_33,49.77,36.693,0.75972515,0.6084567,0.85361785,0.67191094
m_34,49.426,36.81,0.71412134,0.6616771,0.7715172,0.67079306
m_35,49.414,36.806,0.68431103,0.6334119,0.7304329,0.63439626
m_36,49.522,36.842,0.8144988,0.77378273,0.73090786,0.82988507
m_37,48.997,36.895,0.43465865,0.39546084,0.47265333,0.38231838
m_38,49.5186,36.6294,0.33906582,0.36444297,0.3458881,0.4403862
m_39,49.367,36.73,0.44557217,0.5123596,0.37617362,0.5053271
m_40,49.514,36.626,0.3322339,0.35809472,0.3408469,0.43433824
m_44,50.0,36.2667,0.19508673,0.19385765,0.19599974,0.1966914
m_45,50.007,37.206,0.19349128,0.21295448,0.18955216,0.19365817
m_46,50.283,37.141,0.10279615,0.118439496,0.1040777,0.1032217
m_47,49.3667,36.25,0.12989883,0.14165045,0.16536288,0.19030833
m_49,49.313,37.223,0.20114553,0.2549129,0.22281802,0.2736177
m_50,50.006,36.263,0.1936277,0.19133167,0.19408673,0.19381985
m_51,49.604,37.273,0.15718634,0.21509375,0.18083389,0.20757006
m_52,49.999,37.21,0.19043183,0.21161456,0.1883958,0.19313237
m_53,51.0833,35.4667,0.026814966,0.025862666,0.026860066,0.027127447
m_54,49.954,37.261,0.1574343,0.21147303,0.17193864,0.19100484
m_55,50.154,37.196,0.1410736,0.16926906,0.1473436,0.14946882
m_56,50.286,37.135,0.1016428,0.11917969,0.10252931,0.10147167
m_60,48.4333,36.6667,0.12499804,0.1314481,0.13475995,0.13719656
m_61,50.366,35.721,0.076008834,0.07575736,0.07660233,0.07702347
m_62,50.987,35.831,0.036741376,0.034758367,0.038592286,0.041843764
m_63,48.2833,38.25,0.031972747,0.03255579,0.03201166,0.03157386
m_64,51.3597,35.5175,0.049426164,0.050720662,0.048759136,0.046621274
m_65,51.453,35.797,0.021525893,0.01902438,0.0220906,0.025016792
m_66,50.8764,34.64,0.034094937,0.021347877,0.021566415,0.018156318
m_67,46.2833,38.0833,0.0270561,0.013286518,0.015582617,0.014402729
m_69,45.0833,37.533,0.02256955,0.006890456,0.008408486,0.0070941634
t_0,47.88186,39.07984,0.021427656,0.010096347,0.014457959,0.013133381
t_1,47.61237,39.07984,0.01838308,0.00776163,0.012186595,0.0119771315
t_10,48.06153,39.14954,0.024838027,0.012400901,0.015878825,0.01631947
t_100,47.88186,38.80036,0.024431318,0.013696852,0.018910585,0.017168395
t_1000,45.36658,37.5291,0.017940402,0.005519609,0.008164104,0.008644251
t_1001,45.81574,37.5291,0.020654391,0.008198779,0.011419986,0.012139153
t_1002,45.45641,37.5291,0.018409045,0.005961286,0.008715173,0.009242434
t_1003,45.90557,37.5291,0.020395515,0.0083496515,0.011865845,0.010308288
t_1004,45.54624,37.5291,0.018901482,0.006440034,0.009307944,0.009886712
t_1005,45.9954,37.5291,0.022926854,0.010244329,0.013518133,0.013957851
t_1006,45.9954,37.6003,0.02090873,0.008895288,0.01252534,0.010878717
t_1007,45.90557,37.6003,0.020085126,0.008101652,0.011613774,0.010149051
t_1008,45.45641,37.6003,0.018317923,0.005874324,0.008607009,0.009124963
t_1009,45.63608,37.6003,0.019312393,0.0068505574,0.009812919,0.01043618
t_101,47.7022,38.80036,0.02909222,0.017134767,0.020437483,0.020222373
t_1010,45.72591,37.6003,0.0183622,0.00661605,0.00991879,0.008847414
t_1011,45.81574,37.6003,0.021681901,0.008726406,0.011701832,0.011959098
t_1012,45.36658,37.6003,0.017856177,0.0054417155,0.008066458,0.008538339
t_1013,45.54624,37.6003,0.018802743,0.006342866,0.009187987,0.009756266
t_1014,45.90557,37.67144,0.0199758,0.007965486,0.011432729,0.009973969
t_1015,45.54624,37.67144,0.018692931,0.006235487,0.0090552205,0.00961193
t_1016,45.81574,37.67144,0.023255829,0.00958444,0.012177458,0.011760796
t_1017,45.72591,37.67144,0.019719407,0.0072667035,0.010322031,0.0109906765
t_1018,45.9954,37.67144,0.017348072,0.006585837,0.010693074,0.010683295
t_1019,45.63608,37.67144,0.019193374,0.0067306412,0.009665709,0.010275943
t_102,47.61237,38.80036,0.020442601,0.009923308,0.015361262,0.015429882
t_1020,45.36658,37.67144,0.01776225,0.0053553926,0.007958073,0.008420809
t_1021,45.45641,37.67144,0.018216442,0.005778087,0.008487121,0.008994792
t_1022,48.06153,36.8133,0.09311523,0.1142397,0.11712761,0.11273683
