FIELD,DESCRIPTION
Year,1989
Country,Australia
Region,Oceania
Event Name,Newcastle
Local Date,28/12/1989
Local Time,10:27:00
Longitude (decimal degrees),151.619
Latitude (decimal degrees),-32.967
Depth (km),10
Mw,5.4
Max Intensity (MMI),VIII
Fault mechanism,Thrust/reverse 
Tectonic region type,Stable Continental Regions (SCRs) 
Fatalities,9-12
Injured,100-160
Displaced population,
Affected population,2000-300000
Affected units,
Damaged units,1000-50000
Collapsed units,~300
Economic losses,900-1100 M
Insured losses,396-500 M
Earthquake-triggered effects,
USGS event ID,usp00043na
Wikipedia page,https://en.wikipedia.org/wiki/1989 Newcastle earthquake
