# 19881016_M5.88_Elia median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SInter,AtkinsonBoore2003SInter,ZhaoEtAl2016SInter
s_0,21.350099999999998,37.7949,0.15648,0.15648,0.15648
s_1,20.897999999999996,37.784,0.14742,0.14742,0.14742
s_10,21.141999999999996,37.85,0.059226193,0.057716507,0.07022499
s_100,21.286,38.854,0.008146597,0.0054914113,0.009421765
s_101,22.204999999999984,37.949,0.0063903085,0.0035106987,0.0067308745
s_102,21.53800000000001,38.849,0.00601215,0.0030674324,0.0058542686
s_103,21.61699999999999,37.051,0.00772208,0.005134831,0.008749351
s_104,21.32499999999999,39.025,0.0051020947,0.0026160257,0.004916619
s_105,22.35300000000001,37.767,0.0053928923,0.002777842,0.005243865
s_106,21.78,36.948,0.0059489473,0.0038957924,0.0064355633
s_107,20.5,38.155,0.014126911,0.014447375,0.015789334
s_108,21.454999999999984,37.882,0.04536704,0.039754067,0.05973243
s_109,20.693000000000012,38.352,0.017215483,0.011841179,0.023527797
s_11,21.186000000000007,37.879,0.054712225,0.04983471,0.05955173
s_110,21.548000000000002,37.683,0.024466965,0.022302642,0.032988045
s_111,21.543000000000006,37.6,0.018904146,0.016000213,0.027546149
s_112,21.663999999999987,38.132,0.015749682,0.013895423,0.021023693
s_113,21.076999999999998,38.561,0.011667801,0.00716365,0.014861213
s_114,21.71199999999999,37.738,0.016357573,0.01345139,0.023487095
s_115,21.793000000000006,37.835,0.01189234,0.007496695,0.014863719
s_116,21.697000000000003,37.556,0.011425614,0.006930848,0.013912863
s_117,21.637,37.489,0.01643201,0.011925379,0.01890824
s_118,21.477000000000004,38.514,0.0094990665,0.005790419,0.011417904
s_119,21.77199999999999,37.642,0.014531347,0.010462982,0.01849156
s_12,21.664999999999992,37.433,0.013114221,0.009232124,0.016418034
s_120,21.59299999999999,38.454,0.011138381,0.009073313,0.015068447
s_121,21.64699999999999,37.451,0.016141117,0.010973305,0.012679754
s_122,21.709000000000003,37.472,0.01099566,0.009208434,0.011955721
s_123,20.701999999999998,38.71,0.00997829,0.008032223,0.010465276
s_124,21.806999999999988,37.485,0.009790102,0.008060032,0.010398844
s_125,20.756,38.123,0.039580688,0.040630613,0.067757554
s_126,22.033999999999992,37.928,0.008239542,0.004651517,0.009054768
s_127,20.918000000000006,38.847,0.0073446683,0.004002623,0.007890546
s_128,22.091000000000008,38.074,0.0089819785,0.00638792,0.010687714
s_129,20.721000000000004,38.16,0.031154102,0.0331323,0.039969154
s_13,21.247000000000014,37.845,0.08913913,0.07583102,0.06203676
s_130,21.860000000000014,37.288,0.010159763,0.0064999075,0.009981786
s_131,21.495000000000005,38.837,0.007171784,0.0049874275,0.008449349
s_132,21.936000000000007,37.1,0.007429005,0.0041951854,0.006987807
s_133,20.542,38.111,0.022218836,0.021179024,0.028393703
s_134,20.521000000000015,38.11,0.020416334,0.019645616,0.02571029
s_135,20.595,38.23,0.016817633,0.012613091,0.020791195
s_136,20.52000000000001,38.189,0.014767068,0.015364446,0.01778061
s_137,20.715000000000003,38.331,0.021463381,0.019831879,0.034775883
s_138,21.38300000000001,38.179,0.023538377,0.02030781,0.03511444
s_139,21.450999999999993,38.171,0.024371993,0.018634235,0.03151903
s_14,21.307999999999993,37.873,0.08572476,0.073004045,0.06153323
s_140,20.421999999999997,38.205,0.014926214,0.0133528365,0.01667623
s_141,21.560000000000002,38.003,0.024647307,0.020222545,0.033764385
s_142,20.37299999999999,38.18,0.014790862,0.013464224,0.018337505
s_143,20.377999999999986,38.192,0.012446745,0.013328868,0.013209376
s_144,21.185000000000002,38.403,0.02369573,0.016821364,0.020121345
s_145,21.199000000000012,38.459,0.019179175,0.014554938,0.023801392
s_146,21.679000000000002,38.045,0.0144995265,0.009320123,0.017298356
s_147,21.701999999999998,37.835,0.016162021,0.014798621,0.018735941
s_148,21.47200000000001,38.39,0.01580708,0.011656311,0.019965012
s_149,21.70599999999999,37.817,0.01947608,0.014531426,0.025198912
s_15,21.361999999999995,37.906,0.055224746,0.04963666,0.07009103
s_150,21.726,37.921,0.014818273,0.013799678,0.017363632
s_151,21.13300000000001,37.933,0.029388,0.029388,0.029388
s_152,21.74000000000001,37.865,0.01461914,0.013366521,0.016982105
s_153,21.287000000000006,38.526,0.015916575,0.011604137,0.018643916
