# 19881016_M5.88_Elia median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"BCHydroESHM20SInter
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
s_0,21.350099999999998,37.7949,0.15648,0.15648,0.15648,0.15648,0.15648
s_1,20.897999999999996,37.784,0.14742,0.14742,0.14742,0.14742,0.14742
s_10,21.141999999999996,37.85,0.055923264,0.054953877,0.05690975,0.055923264,0.055923264
s_100,21.286,38.854,0.005942008,0.0055428334,0.0063699293,0.005942008,0.005942008
s_101,22.204999999999984,37.949,0.0041548624,0.0038818168,0.004447114,0.0041548624,0.0041548624
s_102,21.53800000000001,38.849,0.0040014647,0.0037332603,0.0042889374,0.0040014647,0.0040014647
s_103,21.61699999999999,37.051,0.004943769,0.004612153,0.0052992282,0.004943769,0.004943769
s_104,21.32499999999999,39.025,0.0030966324,0.00288801,0.003320325,0.0030966324,0.0030966324
s_105,22.35300000000001,37.767,0.003162786,0.0029508383,0.003389957,0.003162786,0.003162786
s_106,21.78,36.948,0.003450194,0.0032178797,0.0036992803,0.003450194,0.003450194
s_107,20.5,38.155,0.014155989,0.014030627,0.0142824715,0.014155989,0.014155989
s_108,21.454999999999984,37.882,0.0409848,0.03957962,0.04243987,0.0409848,0.0409848
s_109,20.693000000000012,38.352,0.016489899,0.015544568,0.017492719,0.016489899,0.016489899
s_11,21.186000000000007,37.879,0.05233716,0.05154604,0.05314042,0.05233716,0.05233716
s_110,21.548000000000002,37.683,0.021528853,0.020814903,0.022267293,0.021528853,0.021528853
s_111,21.543000000000006,37.6,0.016107006,0.015448949,0.016793095,0.016107006,0.016107006
s_112,21.663999999999987,38.132,0.014267695,0.013707866,0.014850387,0.014267695,0.014267695
s_113,21.076999999999998,38.561,0.010369089,0.009683736,0.011102948,0.010369089,0.010369089
s_114,21.71199999999999,37.738,0.012898336,0.012197225,0.013639747,0.012898336,0.012898336
s_115,21.793000000000006,37.835,0.009224628,0.008681541,0.009801689,0.009224628,0.009224628
s_116,21.697000000000003,37.556,0.008714591,0.008211053,0.009249009,0.008714591,0.008714591
s_117,21.637,37.489,0.012657573,0.011918076,0.013442955,0.012657573,0.012657573
s_118,21.477000000000004,38.514,0.008086634,0.0075787576,0.008628545,0.008086634,0.008086634
s_119,21.77199999999999,37.642,0.01093714,0.010289914,0.011625076,0.01093714,0.01093714
s_12,21.664999999999992,37.433,0.009738713,0.009136735,0.010380352,0.009738713,0.009738713
s_120,21.59299999999999,38.454,0.009475508,0.008930169,0.01005415,0.009475508,0.009475508
s_121,21.64699999999999,37.451,0.012203825,0.011463689,0.012991747,0.012203825,0.012203825
s_122,21.709000000000003,37.472,0.008112619,0.0076134945,0.008644465,0.008112619,0.008112619
s_123,20.701999999999998,38.71,0.008194945,0.0076483903,0.008780556,0.008194945,0.008194945
s_124,21.806999999999988,37.485,0.006948339,0.006506766,0.0074198786,0.006948339,0.006948339
s_125,20.756,38.123,0.038023204,0.03610831,0.040039644,0.038023204,0.038023204
s_126,22.033999999999992,37.928,0.0058743428,0.005500234,0.0062738974,0.0058743428,0.0058743428
s_127,20.918000000000006,38.847,0.005640731,0.0052614957,0.0060473005,0.005640731,0.005640731
s_128,22.091000000000008,38.074,0.006336261,0.0059402036,0.006758725,0.006336261,0.006336261
