# 19881016_M5.88_Elia median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,"BCHydroESHM20SInter
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SInter
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
t_0,21.029020000000003,38.50107,0.009364043,0.0073184534,0.011981399,0.009364043,0.009364043
t_1,21.101730000000003,38.43494,0.010602113,0.0082860645,0.013565523,0.010602113,0.010602113
t_10,20.88336000000001,38.63319,0.006101752,0.0047688144,0.0078072604,0.006101752,0.006101752
t_100,20.86652000000001,39.31397,0.0013509755,0.0010558527,0.0017285884,0.0013509755,0.0013509755
t_1000,23.755799999999994,38.20062,0.00017860775,0.0001395906,0.00022853063,0.00017860775,0.00017860775
t_1001,22.74911,37.99101,0.0015584521,0.0012180058,0.001994057,0.0015584521,0.0015584521
t_1002,22.671099999999996,37.99622,0.00145287,0.0011354883,0.0018589635,0.00145287,0.00145287
t_1003,22.713390000000004,38.02449,0.001397373,0.0010921146,0.0017879545,0.001397373,0.001397373
t_1004,22.677660000000003,38.05795,0.0015276776,0.001193954,0.0019546808,0.0015276776,0.0015276776
t_1005,22.593079999999986,38.00139,0.0016342067,0.0012772116,0.002090986,0.0016342067,0.0016342067
t_1006,22.515050000000002,38.00653,0.0017440779,0.0013630813,0.0022315674,0.0017440779,0.0017440779
t_1007,22.63535999999999,38.02968,0.0013748541,0.001074515,0.0017591415,0.0013748541,0.0013748541
t_1008,22.55731,38.03484,0.0014597912,0.0011408975,0.0018678193,0.0014597912,0.0014597912
t_1009,22.47926000000001,38.03996,0.001983545,0.0015502364,0.002537968,0.001983545,0.001983545
t_101,20.787509999999997,39.31834,0.0012309386,0.0009620381,0.0015749998,0.0012309386,0.0012309386
t_1010,22.59960000000001,38.06312,0.0017966822,0.0014041942,0.002298875,0.0017966822,0.0017966822
t_1011,22.521529999999984,38.06826,0.0015281532,0.0011943257,0.0019552892,0.0015281532,0.0015281532
t_1012,22.443449999999984,38.07337,0.0018240949,0.0014256185,0.00233395,0.0018240949,0.0018240949
t_1013,22.56380999999999,38.09656,0.001566867,0.0012245824,0.002004824,0.001566867,0.001566867
t_1014,22.989840000000015,38.03691,0.00083598413,0.0006533621,0.0010696511,0.00083598413,0.00083598413
t_1015,22.9118,38.04222,0.0008742264,0.00068325025,0.0011185826,0.0008742264,0.0008742264
t_1016,23.110270000000014,38.05974,0.0005593491,0.0004371584,0.00071569346,0.0005593491,0.0005593491
t_1017,23.03223,38.0651,0.0007488627,0.00058527244,0.00095817825,0.0007488627,0.0007488627
t_1018,22.954180000000008,38.07043,0.00096425257,0.0007536101,0.001233772,0.00096425257,0.00096425257
t_1019,23.386840000000007,38.07155,0.00036566867,0.00028578777,0.0004678772,0.00036566867,0.00036566867
t_102,20.829830000000015,39.34685,0.001121518,0.0008765206,0.0014349949,0.001121518,0.001121518
t_1020,23.30879999999999,38.07703,0.0003563693,0.00027851987,0.00045597856,0.0003563693,0.0003563693
t_1021,23.230760000000004,38.08248,0.00052482734,0.00041017798,0.0006715225,0.00052482734,0.00052482734
t_1022,23.42935,38.09964,0.000357581,0.00027946688,0.00045752895,0.000357581,0.000357581
t_1023,23.351290000000006,38.10514,0.0003514649,0.00027468684,0.0004497033,0.0003514649,0.0003514649
t_1024,23.273230000000012,38.1106,0.00037754772,0.00029507183,0.00048307658,0.00037754772,0.00037754772
t_1025,23.3938,38.13323,0.00035475372,0.0002772572,0.00045391137,0.00035475372,0.00035475372
t_1026,23.31572,38.13871,0.00038774547,0.00030304186,0.0004961247,0.00038774547,0.00038774547
t_1027,22.485720000000015,38.10168,0.0016055778,0.0012548368,0.0020543549,0.0016055778,0.0016055778
t_1028,23.04576,38.18847,0.0006753484,0.00052781746,0.00086411583,0.0006753484,0.0006753484
