# 19950615_M6.4_Aigio median gmf, Stations:None, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_0,21.88351,36.75269,0.009225306,0.007190042,0.011836687,0.0056991857,0.01493306
t_1,21.925150000000002,36.7813,0.010356026,0.008139835,0.013175608,0.006397718,0.016763363
t_10,21.74105,36.88661,0.014515077,0.011555728,0.018232299,0.008967086,0.023495644
t_100,22.284249999999986,37.25779,0.016833322,0.015118712,0.018742388,0.010399246,0.027248204
t_1000,21.36090999999999,39.05334,0.0070558777,0.005833544,0.008534334,0.0043589612,0.011421393
t_1001,21.28209000000001,39.05793,0.0072985077,0.005979728,0.008908134,0.004508853,0.01181414
t_1002,21.32444000000001,39.08636,0.005704449,0.004673567,0.0069627203,0.0035240795,0.009233827
t_1003,21.245599999999996,39.09093,0.0061394717,0.0049846172,0.007561886,0.0037928266,0.009938
t_1004,21.287949999999995,39.11937,0.0055494453,0.0045054452,0.0068353605,0.0034283216,0.008982921
t_1005,21.209090000000003,39.12392,0.0056572026,0.004551517,0.0070314887,0.0034948916,0.009157348
t_1006,21.518509999999992,39.04407,0.010432071,0.008772973,0.01240493,0.0064446973,0.016886458
t_1007,21.63972000000001,39.06775,0.008709044,0.0073707895,0.010290274,0.00538025,0.014097382
t_1008,21.560910000000007,39.07245,0.0077882814,0.0065423977,0.0092714215,0.004811424,0.012606939
t_1009,21.603340000000003,39.10082,0.0079109045,0.0066357288,0.009431128,0.0048871776,0.012805429
t_101,22.206709999999987,37.26282,0.014088186,0.012652407,0.015686896,0.008703362,0.022804635
t_1010,21.52449999999999,39.10551,0.007272523,0.0060543907,0.008735741,0.0044927998,0.0117720775
t_1011,21.645780000000002,39.12918,0.007001257,0.005862137,0.008361729,0.004325218,0.011332978
t_1012,21.566930000000013,39.13388,0.0065975464,0.005484773,0.007936085,0.004075815,0.010679489
t_1013,21.609379999999987,39.16224,0.0062838737,0.0052149505,0.007571897,0.003882035,0.010171745
t_1014,21.53049999999999,39.16693,0.0061942195,0.0051035467,0.007517979,0.0038266487,0.010026622
t_1015,21.651849999999996,39.19058,0.0061262273,0.005073669,0.0073971446,0.0037846444,0.009916562
t_1016,21.488069999999993,39.13855,0.006422291,0.005298628,0.0077842465,0.003967546,0.010395803
t_1017,21.4092,39.14319,0.0057642553,0.0047177225,0.00704294,0.0035610262,0.009330635
t_1018,21.451609999999988,39.17158,0.006703108,0.0054806867,0.00819818,0.0041410285,0.0108503625
t_1019,21.372720000000015,39.1762,0.006144556,0.0049836673,0.0075758616,0.003795968,0.009946231
t_102,22.326179999999994,37.28625,0.016845895,0.01522281,0.018642034,0.010407012,0.027268553
t_1020,21.494050000000016,39.19996,0.005399684,0.004409203,0.0066126664,0.0033358024,0.0087405015
