# 20110918_M6.9_Sikkim median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlabCascadia,Gupta2010SSlab,ZhaoEtAl2006SSlab
m_20,88.56939999999997,27.5198,0.29224643,0.7674847,1.0765725,0.9751802
m_21,88.56690000000003,27.3393,0.18790919,0.28690237,0.33182555,0.31794548
m_22,88.45769999999999,26.7087,0.1960032,0.23487744,0.25482246,0.23667999
m_23,87.75350000000003,26.6239,0.1302657,0.28017938,0.43698955,0.29487997
m_24,88.26060000000001,27.0716,0.18542375,0.49696854,0.7535942,0.678102
m_25,89.37709999999998,27.4181,0.08941059,0.21781811,0.34008417,0.30914232
m_26,89.4547,26.334,0.06434068,0.06626054,0.0707002,0.0713792
m_27,87.25080000000003,26.4451,0.091678604,0.14297484,0.22365472,0.15242498
m_28,91.84649999999999,26.0928,0.009980556,0.0119479075,0.01867868,0.010612967
m_29,85.53059999999999,27.6112,0.03032776,0.050647963,0.079207115,0.05976866
m_30,91.75049999999999,26.1862,0.010735245,0.013443391,0.021022068,0.01201582
m_31,85.32659999999998,27.6992,0.03232159,0.046024427,0.07196695,0.048215013
m_32,85.428,27.7004,0.033003375,0.051363427,0.08032799,0.053927846
m_33,83.99439999999998,28.2179,0.00978563,0.011346705,0.017750617,0.01005132
m_34,85.28789999999998,23.3653,0.0046879067,0.0028258546,0.004420739,0.0022699113
m_35,88.41110000000003,22.6458,0.004650948,0.0030879537,0.0048307646,0.002498907
m_36,85.15750000000003,25.621,0.011782135,0.013196821,0.020644872,0.011784712
m_37,85.3492,26.1649,0.025841776,0.024514439,0.038342,0.025475401
m_38,91.8245,25.5529,0.008535684,0.0093069365,0.014551813,0.008150943
m_39,88.41200000000003,22.7361,0.0048591727,0.0033369944,0.0052203615,0.0027176794
m_40,88.31299999999999,22.5564,0.0044626812,0.0028618902,0.004477113,0.0023013146
m_41,93.5992,27.1023,0.0051718657,0.0038186703,0.005972251,0.0031437543
m_42,91.8021,22.3098,0.002651227,0.0011560688,0.0018085425,0.00085517846
m_43,92.656,26.3334,0.014144255,0.019291652,0.021339968,0.016891832
s_0,88.42000000000002,26.71,0.20612,0.20612,0.20612,0.20612
s_1,88.62,27.35,0.16122,0.16122,0.16122,0.16122
s_10,80.09000000000003,29.33,0.00204,0.00204,0.00204,0.00204
s_11,79.39999999999998,28.99,0.00204,0.00204,0.00204,0.00204
s_12,79.32,30.41,0.00204,0.00204,0.00204,0.00204
s_13,88.62700000000001,27.352,0.36735,0.36735,0.36735,0.36735
s_14,88.428,26.712,0.20612,0.20612,0.20612,0.20612
s_15,89.44,26.319,0.05918,0.05918,0.05918,0.05918
s_16,88.14600000000002,25.0,0.02347,0.02347,0.02347,0.02347
s_17,80.207,29.579,0.00408,0.00408,0.00408,0.00408
s_18,79.32,30.412,0.00204,0.00204,0.00204,0.00204
s_19,80.09500000000003,29.334,0.00204,0.00204,0.00204,0.00204
s_2,89.44,26.31,0.05918,0.05918,0.05918,0.05918
s_3,90.25999999999999,26.4,0.05306,0.05306,0.05306,0.05306
s_4,84.84000000000003,26.98,0.02857,0.02857,0.02857,0.02857
s_5,92.69,26.34,0.02857,0.02857,0.02857,0.02857
s_6,88.13999999999999,25.0,0.02347,0.02347,0.02347,0.02347
s_7,92.35000000000002,24.87,0.0051,0.0051,0.0051,0.0051
s_8,94.63,26.98,0.0051,0.0051,0.0051,0.0051
s_9,80.19999999999999,29.57,0.00408,0.00408,0.00408,0.00408
t_0,87.07702,23.68422,0.01005932,0.006720781,0.010513916,0.00727868
t_1,87.25668000000002,23.68422,0.010780863,0.007845893,0.0122740185,0.007593155
t_10,87.43635,23.68422,0.012902014,0.008117984,0.012699659,0.007961216
t_100,87.97534000000002,23.68422,0.013067492,0.008678534,0.013576494,0.008547776
t_1000,85.54989,23.68422,0.007175203,0.0039837114,0.006232079,0.0041537913
t_10000,90.40079000000003,30.5541,0.012752108,0.01233281,0.019293327,0.013853665
t_10001,90.58044999999998,30.5541,0.012483053,0.0111733,0.017479401,0.012484058
t_10002,90.67027999999999,30.5541,0.01033432,0.006862666,0.010735887,0.009381246
t_10003,90.49062000000004,30.63143,0.011912666,0.011075229,0.01732598,0.01236842
t_10004,90.67027999999999,30.63143,0.011250887,0.010044582,0.015713645,0.011155328
t_10005,90.40079000000003,30.63143,0.01224974,0.011616989,0.018173503,0.013007633
t_10006,90.76011,30.5541,0.009576954,0.0065302113,0.010215798,0.008901444
t_10007,90.93977999999998,30.5541,0.011387555,0.009165353,0.014338188,0.010123967
t_10008,90.84995000000004,30.5541,0.011539471,0.009626731,0.015059964,0.01066474
t_10009,90.76011,30.63143,0.012750851,0.009561645,0.014958142,0.010588393
t_1001,85.46005000000002,23.68422,0.0069609727,0.0038314443,0.0059938733,0.0039828583
t_10010,90.84995000000004,30.63143,0.010949697,0.009104302,0.014242681,0.010052487
t_10011,90.93977999999998,30.63143,0.010724486,0.008671129,0.013565029,0.00954586
t_10012,90.84995000000004,30.7087,0.010237234,0.0086139245,0.013475538,0.009479029
t_10013,90.76011,30.7087,0.010535223,0.009043343,0.014147317,0.009981133
t_10014,90.93977999999998,30.7087,0.011871189,0.008207,0.012838949,0.009004151
t_10015,90.76011,30.7859,0.01015815,0.00855535,0.013383905,0.009410616
t_10016,90.58044999999998,30.63143,0.011579497,0.010550917,0.01650575,0.011750781
t_10017,90.67027999999999,30.7087,0.010837963,0.00949409,0.0148524605,0.010509171
t_10018,90.40079000000003,30.7087,0.01176971,0.010941216,0.01711633,0.012210457
t_10019,90.58044999999998,30.7087,0.011145004,0.009961025,0.015582929,0.0110571645
t_1002,85.63972000000001,23.68422,0.0063658096,0.0041390075,0.0064750225,0.0034288573
t_10020,90.49062000000004,30.7087,0.011455796,0.010443571,0.01633782,0.011624456
t_10021,90.49062000000004,30.7859,0.011018645,0.0098465895,0.015403907,0.010922774
t_10022,90.58044999999998,30.7859,0.010728587,0.009402462,0.014709119,0.010401753
t_10023,90.67027999999999,30.7859,0.010441578,0.008971917,0.014035579,0.009897551
t_10024,90.40079000000003,30.7859,0.011311151,0.010303766,0.01611911,0.01146
t_10025,90.40079000000003,30.86304,0.010873087,0.009702744,0.015178876,0.010753926
t_10026,91.20927,30.7087,0.009657294,0.007108198,0.011119995,0.0077269683
t_10027,91.11944,30.7087,0.009809905,0.007455322,0.011663032,0.008129574
t_10028,91.02960999999999,30.7087,0.010355669,0.007821207,0.012235419,0.008554834
t_10029,91.20927,30.7859,0.009541006,0.006737203,0.010539614,0.007297659
t_1003,85.37022000000002,23.68422,0.0070476187,0.003682457,0.005760799,0.0038160046
t_10030,91.02960999999999,30.7859,0.012763747,0.00831208,0.013003336,0.0081641255
t_10031,91.11944,30.7859,0.0128438445,0.007925852,0.012399125,0.007760578
t_10032,91.02960999999999,30.86304,0.014316461,0.007876156,0.012321381,0.008226426
t_10033,91.20927,30.86304,0.009529003,0.0063879443,0.009993237,0.006894507
t_10034,91.11944,30.86304,0.007873018,0.0043230522,0.0067629404,0.0057427976
t_10035,91.20927,30.94012,0.0069703725,0.0039120093,0.0061199083,0.005161476
t_10036,90.84995000000004,30.7859,0.00987874,0.008153423,0.012755134,0.008941698
t_10037,90.93977999999998,30.7859,0.009603815,0.007770939,0.01215678,0.008496356
t_10038,90.84995000000004,30.86304,0.009533614,0.007719817,0.012076806,0.008436903
t_10039,90.93977999999998,30.86304,0.009275373,0.0073609697,0.011515428,0.008020057
t_1004,85.63972000000001,23.76646,0.006223508,0.004402622,0.006887418,0.0036645096
t_10040,90.76011,30.86304,0.009795685,0.008092109,0.012659215,0.008870248
t_10041,90.84995000000004,30.94012,0.009399508,0.0073080594,0.011432656,0.00795867
t_10042,90.93977999999998,30.94012,0.008755985,0.006974884,0.01091144,0.0059986445
t_10043,90.76011,30.94012,0.009946254,0.0076525086,0.011971509,0.008358651
t_10044,90.84995000000004,31.01714,0.00812183,0.0069169495,0.010820808,0.00594553
t_10045,90.76011,31.01714,0.011181076,0.0072356327,0.011319352,0.007874671
t_10046,90.49062000000004,30.86304,0.011606182,0.009282683,0.0145217385,0.010261391
t_10047,90.58044999999998,30.86304,0.009441472,0.008873883,0.013882215,0.007749539
t_10048,90.67027999999999,30.86304,0.010061133,0.008476886,0.013261156,0.009319002
t_10049,90.58044999999998,30.94012,0.013519746,0.009395788,0.014698679,0.009300679
t_1005,85.54989,23.76646,0.009378288,0.0047506755,0.0074319104,0.004484711
t_10050,90.40079000000003,30.94012,0.011754693,0.009136363,0.014292835,0.010090021
t_10051,90.67027999999999,30.94012,0.011194919,0.00800792,0.012527511,0.008772178
t_10052,90.49062000000004,30.94012,0.011335545,0.008750333,0.013688936,0.009638422
t_10053,90.49062000000004,31.01714,0.016075611,0.009254445,0.014477562,0.009766762
t_10054,90.58044999999998,31.01714,0.009963156,0.007901544,0.012361098,0.008648324
t_10055,90.67027999999999,31.01714,0.00987037,0.007563933,0.011832942,0.008255718
t_10056,91.02960999999999,30.94012,0.00908185,0.006654004,0.010409459,0.0072015305
t_10057,91.11944,30.94012,0.009595457,0.006348859,0.009932092,0.0068494547
t_10058,91.11944,31.01714,0.008860109,0.006022231,0.009421119,0.0064734956
t_10059,91.20927,31.01714,0.007929001,0.0057489937,0.008993669,0.0048794774
t_1006,85.37022000000002,23.76646,0.007774631,0.004384426,0.0068589523,0.004068326
t_10060,91.02960999999999,31.01714,0.009428348,0.0063095544,0.009870605,0.006804163
t_10061,91.02960999999999,31.0941,0.0081767235,0.005982456,0.009358895,0.0064277803
t_10062,91.11944,31.0941,0.00833335,0.0057143574,0.008939484,0.006120045
t_10063,91.20927,31.0941,0.011141582,0.006122563,0.009578077,0.005889459
t_10064,91.02960999999999,31.17099,0.0077247107,0.005671267,0.008872074,0.004808888
t_10065,91.20927,31.17099,0.007486584,0.0051811123,0.008105281,0.0055101924
t_10066,90.93977999999998,31.01714,0.009357481,0.0066082096,0.0103378175,0.0071486426
t_10067,90.93977999999998,31.0941,0.008331357,0.0062596155,0.009792481,0.0053443727
t_10068,90.84995000000004,31.0941,0.008863404,0.0065457034,0.010240033,0.007076483
t_10069,90.76011,31.0941,0.007920421,0.0044166325,0.006909336,0.00587552
t_1007,85.46005000000002,23.76646,0.0076762135,0.004068957,0.006365436,0.0042496584
t_10070,90.84995000000004,31.17099,0.009269314,0.006193571,0.009689162,0.0066705924
t_10071,90.76011,31.17099,0.010294767,0.006466388,0.010115953,0.0069849654
t_10072,90.93977999999998,31.17099,0.008763903,0.0059284703,0.009274441,0.0063657565
t_10073,90.84995000000004,31.24782,0.008289254,0.005859707,0.009166868,0.006286796
t_10074,90.76011,31.24782,0.011152929,0.006857953,0.010728514,0.006649651
t_10075,90.93977999999998,31.24782,0.00689163,0.0036247324,0.0056704953,0.004756952
t_10076,90.40079000000003,31.01714,0.012197503,0.008602865,0.013458237,0.009466111
t_10077,90.49062000000004,31.0941,0.010077473,0.0077742976,0.012162034,0.008500263
t_10078,90.67027999999999,31.0941,0.0079647135,0.004612445,0.007215664,0.006153653
t_10079,90.58044999999998,31.0941,0.010906045,0.0074552232,0.011662878,0.00812946
t_1008,85.54989,23.84864,0.005969163,0.002905356,0.0045451103,0.0037516449
t_10080,90.40079000000003,31.0941,0.011125098,0.008100535,0.012672396,0.008880065
t_10081,90.67027999999999,31.17099,0.008547201,0.0067465827,0.010554287,0.0057894536
t_10082,90.49062000000004,31.17099,0.007857738,0.004731182,0.0074014147,0.0063225687
t_10083,90.58044999999998,31.17099,0.008893905,0.0070338384,0.0110036675,0.0076408368
t_10084,90.40079000000003,31.17099,0.009219445,0.0076277643,0.0119328,0.006598552
t_10085,90.40079000000003,31.24782,0.008844314,0.007182877,0.011236822,0.0061895004
t_10086,90.49062000000004,31.24782,0.010568345,0.006906866,0.010805033,0.0074938587
t_10087,90.67027999999999,31.24782,0.008801009,0.0063710595,0.009966822,0.006875043
t_10088,90.58044999999998,31.24782,0.008571967,0.0066360994,0.010381448,0.00718085
t_10089,90.40079000000003,31.32459,0.012088091,0.0075896955,0.011873245,0.0074100695
t_1009,85.63972000000001,23.84864,0.0058520716,0.00302353,0.00472998,0.003915938
t_10090,90.58044999999998,31.32459,0.013556628,0.00702474,0.010989434,0.007280848
t_10091,90.67027999999999,31.32459,0.0117383655,0.006750303,0.010560107,0.006538104
t_10092,90.49062000000004,31.32459,0.012324509,0.0073047094,0.011427416,0.00711348
t_10093,90.40079000000003,31.4013,0.011384456,0.007147949,0.011182182,0.0069505693
t_10094,90.58044999999998,31.4013,0.009997687,0.0066275336,0.010368048,0.0063408627
t_10095,90.49062000000004,31.4013,0.010011101,0.0061368058,0.009600359,0.0066052643
t_10096,91.5686,31.17099,0.008184406,0.0043207533,0.0067593437,0.004533509
t_10097,91.65843000000001,31.24782,0.0073192287,0.003928596,0.006145857,0.0040918733
t_10098,91.5686,31.24782,0.008321727,0.004609494,0.007211047,0.004293849
t_10099,91.74826000000002,31.24782,0.008892318,0.0042159134,0.0065953336,0.0039430615
t_101,88.06516999999997,23.68422,0.013547829,0.008728484,0.013654626,0.008600124
t_1010,85.72955000000002,23.68422,0.0065945876,0.004297097,0.0067223366,0.0045067994
t_10100,91.65843000000001,31.32459,0.0081503205,0.0041934084,0.006560127,0.003877466
t_10101,91.5686,31.32459,0.007090224,0.003907289,0.006112524,0.0040679504
t_10102,91.74826000000002,31.32459,0.007137642,0.00357542,0.005593352,0.0036963865
t_10103,91.65843000000001,31.4013,0.0079148235,0.003990434,0.006242596,0.003675241
t_10104,91.5686,31.4013,0.0058838665,0.0037172628,0.0058152494,0.003053711
t_10105,91.74826000000002,31.4013,0.006769096,0.0034031684,0.005323883,0.0035043582
t_10106,91.74826000000002,31.47794,0.0064279656,0.0032401185,0.0050688093,0.0033231536
t_10107,91.65843000000001,31.47794,0.0065108933,0.0033852947,0.0052959216,0.0034844668
t_10108,91.5686,31.47794,0.0080402605,0.0039691417,0.006209286,0.0036944798
t_10109,91.65843000000001,31.55452,0.006866216,0.0032232252,0.0050423816,0.0033044121
t_1011,85.81938000000002,23.68422,0.007275041,0.0044576945,0.0069735735,0.004688289
t_10110,91.74826000000002,31.55452,0.008595287,0.003462216,0.0054162564,0.0031869488
t_10111,91.5686,31.55452,0.007002113,0.0033671255,0.005267498,0.0034642536
t_10112,91.74826000000002,31.63104,0.0058458904,0.0029394138,0.0045983903,0.0029905336
t_10113,91.65843000000001,31.63104,0.006080059,0.0030696034,0.004802057,0.0031342797
