# 20110918_M6.9_Sikkim median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlabCascadia,Gupta2010SSlab,ZhaoEtAl2006SSlab
m_20,88.56939999999997,27.5198,0.3523714,0.67756474,0.94937605,0.8720581
m_21,88.56690000000003,27.3393,0.22289088,0.31522995,0.36452267,0.3535606
m_22,88.45769999999999,26.7087,0.20929798,0.26211712,0.27629948,0.26369426
m_23,87.75350000000003,26.6239,0.14924294,0.3089172,0.48154348,0.32784855
m_24,88.26060000000001,27.0716,0.2820973,0.6754314,1.0284933,0.9290451
m_25,89.37709999999998,27.4181,0.10957042,0.2710331,0.42254037,0.38583347
m_26,89.4547,26.334,0.06613799,0.06997189,0.0746442,0.07546692
m_27,87.25080000000003,26.4451,0.09262219,0.1458147,0.22775751,0.1575965
m_28,91.84649999999999,26.0928,0.010348841,0.013325221,0.02080053,0.0121987695
m_29,85.53059999999999,27.6112,0.022874512,0.03521856,0.05499446,0.04208377
m_30,91.75049999999999,26.1862,0.011162691,0.015020226,0.023452459,0.013826206
m_31,85.32659999999998,27.6992,0.024406822,0.031770263,0.049603336,0.033656143
m_32,85.428,27.7004,0.024812268,0.03532399,0.055160444,0.037523888
m_33,83.99439999999998,28.2179,0.0074748825,0.0077740117,0.012143211,0.00691493
m_34,85.28789999999998,23.3653,0.004391218,0.00267605,0.0041800737,0.0022056198
m_35,88.41110000000003,22.6458,0.0046849945,0.0033490914,0.0052313856,0.0028104046
m_36,85.15750000000003,25.621,0.0104286205,0.01168625,0.018254196,0.010631287
m_37,85.3492,26.1649,0.022323392,0.020966148,0.032742847,0.0221529
m_38,91.8245,25.5529,0.008895176,0.010543342,0.016460162,0.0095402915
m_39,88.41200000000003,22.7361,0.0049045184,0.0036264667,0.0056646545,0.0030619027
m_40,88.31299999999999,22.5564,0.0044804206,0.0030891786,0.0048253937,0.0025758639
m_41,93.5992,27.1023,0.004972148,0.0038068206,0.005944747,0.003226048
m_42,91.8021,22.3098,0.0026626172,0.0012768317,0.0019944513,0.0009853675
m_43,92.656,26.3334,0.01417115,0.01958478,0.02165685,0.017268172
s_0,88.42000000000002,26.71,0.20612,0.20612,0.20612,0.20612
s_1,88.62,27.35,0.16122,0.16122,0.16122,0.16122
s_10,80.09000000000003,29.33,0.00204,0.00204,0.00204,0.00204
s_11,79.39999999999998,28.99,0.00204,0.00204,0.00204,0.00204
s_12,79.32,30.41,0.00204,0.00204,0.00204,0.00204
s_13,88.62700000000001,27.352,0.36735,0.36735,0.36735,0.36735
s_14,88.428,26.712,0.20612,0.20612,0.20612,0.20612
s_15,89.44,26.319,0.05918,0.05918,0.05918,0.05918
s_16,88.14600000000002,25.0,0.02347,0.02347,0.02347,0.02347
s_17,80.207,29.579,0.00408,0.00408,0.00408,0.00408
s_18,79.32,30.412,0.00204,0.00204,0.00204,0.00204
s_19,80.09500000000003,29.334,0.00204,0.00204,0.00204,0.00204
s_2,89.44,26.31,0.05918,0.05918,0.05918,0.05918
s_3,90.25999999999999,26.4,0.05306,0.05306,0.05306,0.05306
s_4,84.84000000000003,26.98,0.02857,0.02857,0.02857,0.02857
s_5,92.69,26.34,0.02857,0.02857,0.02857,0.02857
s_6,88.13999999999999,25.0,0.02347,0.02347,0.02347,0.02347
s_7,92.35000000000002,24.87,0.0051,0.0051,0.0051,0.0051
s_8,94.63,26.98,0.0051,0.0051,0.0051,0.0051
s_9,80.19999999999999,29.57,0.00408,0.00408,0.00408,0.00408
t_0,87.07702,23.68422,0.010008332,0.006984569,0.010910109,0.00779161
t_1,87.25668000000002,23.68422,0.010794259,0.008241788,0.012873911,0.008219816
t_10,87.43635,23.68422,0.012993173,0.008617986,0.0134615265,0.008713676
t_100,87.97534000000002,23.68422,0.013381492,0.0094890185,0.014822014,0.009649159
t_1000,85.54989,23.68422,0.0067599793,0.0037926333,0.005924212,0.0040561687
t_10000,90.40079000000003,30.5541,0.010086444,0.009130447,0.014262045,0.010348656
t_10001,90.58044999999998,30.5541,0.00995704,0.0083715925,0.013076689,0.00944154
t_10002,90.67027999999999,30.5541,0.008274266,0.005169016,0.008074164,0.0071336487
t_10003,90.49062000000004,30.63143,0.0094521055,0.008223509,0.01284538,0.009264858
t_10004,90.67027999999999,30.63143,0.00899787,0.0075437543,0.011783581,0.008455385
t_10005,90.40079000000003,30.63143,0.0096797515,0.008574683,0.013393924,0.009684036
t_10006,90.76011,30.5541,0.007697608,0.004939308,0.0077153537,0.006798124
t_10007,90.93977999999998,30.5541,0.009223858,0.0069701453,0.010887586,0.007774517
t_10008,90.84995000000004,30.5541,0.009312549,0.007304699,0.011410169,0.008171367
t_10009,90.76011,30.63143,0.010239207,0.007216446,0.011272315,0.008066608
t_1001,85.46005000000002,23.68422,0.006539154,0.00363106,0.0056718295,0.003870559
t_10010,90.84995000000004,30.63143,0.008823205,0.006898146,0.01077512,0.007689211
t_10011,90.93977999999998,30.63143,0.00867283,0.006589298,0.010292689,0.0073237116
t_10012,90.84995000000004,30.7087,0.00823748,0.006513379,0.010174102,0.0072339773
t_10013,90.76011,30.7087,0.008446769,0.006806748,0.010632354,0.007580975
t_10014,90.93977999999998,30.7087,0.009588647,0.0062282505,0.009728722,0.00689737
t_10015,90.76011,30.7859,0.008134986,0.006419916,0.01002811,0.0071235676
t_10016,90.58044999999998,30.63143,0.009224616,0.007879635,0.012308237,0.008855032
t_10017,90.67027999999999,30.7087,0.00865739,0.0071079154,0.011102787,0.0079378495
t_10018,90.40079000000003,30.7087,0.009292564,0.008053265,0.012579452,0.00906188
t_10019,90.58044999999998,30.7087,0.008868907,0.0074164486,0.011584725,0.00830409
t_1002,85.63972000000001,23.68422,0.006015401,0.003958848,0.0061838445,0.0033647346
t_10020,90.49062000000004,30.7087,0.009080814,0.007731786,0.012077292,0.008679031
t_10021,90.49062000000004,30.7859,0.008726814,0.0072698384,0.011355715,0.0081299795
t_10022,90.58044999999998,30.7859,0.008529286,0.0069805733,0.010903874,0.007786875
t_10023,90.67027999999999,30.7859,0.008331852,0.006697086,0.0104610585,0.007451191
t_10024,90.40079000000003,30.7859,0.008923927,0.0075642513,0.011815597,0.0084797535
t_10025,90.40079000000003,30.86304,0.008572832,0.0071056546,0.011099255,0.007935167
t_10026,91.20927,30.7087,0.0078762695,0.005424673,0.00847351,0.005952543
t_10027,91.11944,30.7087,0.007975052,0.0056837136,0.008878139,0.0062564537
t_10028,91.02960999999999,30.7087,0.008391315,0.005951623,0.009296621,0.006571448
t_10029,91.20927,30.7859,0.0077697947,0.005142011,0.008031982,0.005621712
