# 20010213_M6.6_SanVicente median gmf, Stations:Seismic, gmlt:MARN, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRhyp2014,BooreAtkinson2011,CauzziEtAl2014
t_0,-88.07562,13.1642,0.017409708,0.024229826,0.017061807
t_1,-88.03968,13.1642,0.016640581,0.023058092,0.016346162
t_10,-87.91392,13.1642,0.020759616,0.038073305,0.020066794
t_100,-87.96782,13.3216,0.018168354,0.02585293,0.017788466
t_1000,-88.27325,13.5837,0.03524223,0.050903287,0.03494033
t_1001,-88.29121,13.60116,0.0329782,0.046330802,0.033089984
t_1002,-88.27325,13.60116,0.038674507,0.06326442,0.039383344
t_1003,-88.41698,13.5837,0.040135644,0.050419714,0.040030707
t_1004,-88.39901,13.5837,0.039608464,0.05090426,0.03951191
t_1005,-88.38104,13.5837,0.037204593,0.048458584,0.037289098
t_1006,-88.38104,13.60116,0.041212656,0.055538557,0.041347213
t_1007,-88.39901,13.60116,0.038566314,0.04959906,0.038588285
t_1008,-88.41698,13.60116,0.03901852,0.04911108,0.039030194
t_1009,-88.38104,13.61862,0.03957519,0.052700505,0.03960288
t_101,-87.94985,13.3216,0.017282596,0.024439953,0.017022911
t_1010,-88.39901,13.61862,0.038856618,0.050338347,0.03891251
t_1011,-88.41698,13.61862,0.037607048,0.047367066,0.037766404
t_1012,-88.39901,13.63608,0.037152495,0.04799514,0.037368916
t_1013,-88.34511,13.5837,0.034065668,0.04577024,0.034427144
t_1014,-88.36308,13.60116,0.037125006,0.049544387,0.03716704
t_1015,-88.34511,13.60116,0.038095362,0.052183494,0.037994016
t_1016,-88.32715,13.60116,0.039645195,0.056590416,0.039700955
t_1017,-88.34511,13.61862,0.03892616,0.053888604,0.03888478
t_1018,-88.36308,13.61862,0.04021128,0.05518844,0.040304054
t_1019,-88.32715,13.61862,0.0348456,0.047914725,0.034985792
t_102,-87.93189,13.3216,0.016712913,0.023519775,0.01650256
t_1020,-88.34511,13.63608,0.037630998,0.05168784,0.037612915
t_1021,-88.36308,13.63608,0.035247367,0.047043804,0.035579305
t_1022,-88.32715,13.63608,0.031302266,0.042785086,0.03207985
t_1023,-88.30918,13.60116,0.034538507,0.04810978,0.03456406
t_1024,-88.29121,13.61862,0.035832472,0.051220983,0.035642847
t_1025,-88.30918,13.61862,0.032294888,0.044731274,0.032710053
t_1026,-88.27325,13.61862,0.034351997,0.049363226,0.034163464
t_1027,-88.27325,13.63608,0.033978984,0.048757866,0.03383835
t_1028,-88.30918,13.63608,0.032828856,0.04560717,0.03315852
t_1029,-88.29121,13.63608,0.03213957,0.045144103,0.032425005
t_103,-88.02172,13.28663,0.019502599,0.027894685,0.018953856
t_1030,-88.27325,13.65354,0.028325884,0.039957613,0.02917544
t_1031,-88.29121,13.65354,0.03167442,0.044506546,0.032045104
t_1032,-88.30918,13.65354,0.02887331,0.039942436,0.029977707
t_1033,-88.41698,13.63608,0.037718583,0.04780507,0.03790618
t_1034,-88.38104,13.63608,0.03917192,0.052236,0.0392367
t_1035,-88.39901,13.65354,0.034464236,0.044486444,0.03509821
t_1036,-88.41698,13.65354,0.038755707,0.049639557,0.03893358
t_1037,-88.38104,13.65354,0.03451294,0.045366243,0.03507198
t_1038,-88.38104,13.671,0.033316415,0.043921437,0.034110393
t_1039,-88.39901,13.671,0.034860704,0.04523597,0.035461426
t_104,-88.00375,13.28663,0.018313207,0.026014745,0.01795426
t_1040,-88.41698,13.671,0.036489885,0.0465762,0.03689366
t_1041,-88.41698,13.68846,0.036723483,0.047135934,0.037144728
t_1042,-88.39901,13.68846,0.033785343,0.044017717,0.03461518
t_1043,-88.32715,13.65354,0.03662563,0.05103709,0.03659065
t_1044,-88.34511,13.65354,0.031726968,0.042907104,0.032575186
t_1045,-88.36308,13.65354,0.03175256,0.042323425,0.032725267
t_1046,-88.32715,13.671,0.039428856,0.056704115,0.03954565
t_1047,-88.34511,13.671,0.03518716,0.048036017,0.035426576
t_1048,-88.36308,13.671,0.032976538,0.04414431,0.033722643
t_1049,-88.34511,13.68846,0.03347954,0.045638107,0.033993773
t_105,-88.00375,13.30411,0.01842413,0.02624255,0.018104622
t_1050,-88.36308,13.68846,0.03352544,0.04505598,0.03417436
t_1051,-88.32715,13.68846,0.03326449,0.0459426,0.03366156
t_1052,-88.36308,13.70591,0.038817234,0.053304695,0.038790192
t_1053,-88.21935,13.49636,0.031227255,0.045709398,0.030689424
t_1054,-88.23731,13.49636,0.030459607,0.04385841,0.030177362
t_1055,-88.25528,13.49636,0.029589834,0.04200372,0.029647443
t_1056,-88.21935,13.51383,0.031150373,0.045551937,0.030690668
t_1057,-88.23731,13.51383,0.031168036,0.045032863,0.030843783
t_1058,-88.25528,13.51383,0.03189843,0.045689695,0.031611428
t_1059,-88.23731,13.5313,0.028196117,0.040277984,0.028495077
t_106,-87.98579,13.30411,0.021248654,0.030984873,0.02027748
t_1060,-88.25528,13.5313,0.0327939,0.04720512,0.03244679
t_1061,-88.21935,13.5313,0.027858304,0.040105563,0.028039198
t_1062,-88.21935,13.54877,0.027127022,0.03898632,0.027513683
t_1063,-88.09358,13.51383,0.025809051,0.03855727,0.02524509
t_1064,-88.11155,13.5313,0.025426183,0.03766997,0.025094662
t_1065,-88.12952,13.5313,0.026859015,0.039932553,0.026418213
t_1066,-88.09358,13.5313,0.025299417,0.037645962,0.02485538
t_1067,-88.12952,13.54877,0.029907983,0.046183936,0.029306665
t_1068,-88.11155,13.54877,0.024327947,0.03584051,0.02425002
t_1069,-88.09358,13.54877,0.028159713,0.043270744,0.027489783
t_107,-88.02172,13.30411,0.02373121,0.037188888,0.02265041
t_1070,-88.12952,13.56623,0.028285746,0.042563062,0.027727807
t_1071,-88.09358,13.56623,0.02618668,0.039244805,0.025666056
t_1072,-88.11155,13.56623,0.025146259,0.037209444,0.024937248
t_1073,-88.14748,13.5313,0.027502973,0.040778082,0.027093472
t_1074,-88.18342,13.5313,0.030267859,0.04500024,0.02973894
t_1075,-88.20138,13.5313,0.027507778,0.039874684,0.027577933
t_1076,-88.16545,13.5313,0.0318881,0.050290793,0.03139182
t_1077,-88.20138,13.54877,0.02821473,0.04102376,0.028197573
t_1078,-88.16545,13.54877,0.028624916,0.042424563,0.02822292
t_1079,-88.14748,13.54877,0.027682343,0.0410957,0.027286371
t_108,-88.00375,13.3216,0.01947322,0.027953172,0.018974805
t_1080,-88.18342,13.54877,0.032254353,0.049123764,0.03173519
t_1081,-88.14748,13.56623,0.025769921,0.03786095,0.025757693
t_1082,-88.18342,13.56623,0.02802129,0.041046895,0.02791142
