# 20010213_M6.6_SanVicente median gmf, Stations:Seismic, gmlt:MARN, Rupture:Canora_et_al_2001
custom_site_id,lon,lat,AkkarEtAlRhyp2014,BooreAtkinson2011,CauzziEtAl2014
t_0,-88.07562,13.1642,0.017970871,0.02413763,0.018223658
t_1,-88.03968,13.1642,0.01718311,0.022977067,0.017490985
t_10,-87.91392,13.1642,0.021471154,0.037974223,0.02158895
t_100,-87.96782,13.3216,0.018751735,0.02581467,0.01909377
t_1000,-88.27325,13.5837,0.036022548,0.050978556,0.037239213
t_1001,-88.29121,13.60116,0.03366608,0.046416108,0.035282698
t_1002,-88.27325,13.60116,0.039564926,0.06341143,0.04207177
t_1003,-88.41698,13.5837,0.04064375,0.050473105,0.041693144
t_1004,-88.39901,13.5837,0.040167272,0.050961025,0.041316662
t_1005,-88.38104,13.5837,0.037772514,0.048510958,0.03913262
t_1006,-88.38104,13.60116,0.041874554,0.055641394,0.043532267
t_1007,-88.39901,13.60116,0.0391088,0.04968102,0.040489286
t_1008,-88.41698,13.60116,0.039512765,0.049189594,0.04079798
t_1009,-88.38104,13.61862,0.040199686,0.052826155,0.041846115
t_101,-87.94985,13.3216,0.017841022,0.024406647,0.018287385
t_1010,-88.39901,13.61862,0.039411224,0.05045484,0.040987164
t_1011,-88.41698,13.61862,0.038083207,0.047471527,0.03964024
t_1012,-88.39901,13.63608,0.037679918,0.048136964,0.039529327
t_1013,-88.34511,13.5837,0.034667548,0.04582192,0.03635331
t_1014,-88.36308,13.60116,0.037742708,0.04963002,0.039251417
t_1015,-88.34511,13.60116,0.03878285,0.052278794,0.040236037
t_1016,-88.32715,13.60116,0.040423457,0.056700177,0.042149015
t_1017,-88.34511,13.61862,0.039636012,0.054019216,0.04130923
t_1018,-88.36308,13.61862,0.040905457,0.05532325,0.04270782
t_1019,-88.32715,13.61862,0.035502784,0.048026476,0.03725287
t_102,-87.93189,13.3216,0.017256286,0.023490384,0.017742597
t_1020,-88.34511,13.63608,0.038311012,0.05184192,0.040093426
t_1021,-88.36308,13.63608,0.035832167,0.047180682,0.037838858
t_1022,-88.32715,13.63608,0.03188695,0.042906154,0.034266338
t_1023,-88.30918,13.60116,0.03522745,0.04819762,0.036778662
t_1024,-88.29121,13.61862,0.036588896,0.05134515,0.038103815
t_1025,-88.30918,13.61862,0.03293331,0.044834305,0.03490241
t_1026,-88.27325,13.61862,0.03510457,0.04948274,0.036585167
t_1027,-88.27325,13.63608,0.034721423,0.048899863,0.036330506
t_1028,-88.30918,13.63608,0.033479113,0.04573852,0.035485037
t_1029,-88.29121,13.63608,0.032806806,0.04527384,0.034759205
t_103,-88.02172,13.28663,0.020121336,0.027832175,0.020282296
t_1030,-88.27325,13.65354,0.028935893,0.04007749,0.03140839
t_1031,-88.29121,13.65354,0.032331895,0.044643383,0.03445081
t_1032,-88.30918,13.65354,0.029441778,0.0400637,0.03218015
t_1033,-88.41698,13.63608,0.03820544,0.047947012,0.03997151
t_1034,-88.38104,13.63608,0.03979254,0.052394215,0.041622605
t_1035,-88.39901,13.65354,0.034951374,0.04463482,0.03729922
t_1036,-88.41698,13.65354,0.039272543,0.049815346,0.04126362
t_1037,-88.38104,13.65354,0.035045356,0.04551547,0.037362237
t_1038,-88.38104,13.671,0.03383409,0.04407658,0.036500446
t_1039,-88.39901,13.671,0.035362273,0.045401253,0.037870575
t_104,-88.00375,13.28663,0.018897988,0.02595981,0.01923091
t_1040,-88.41698,13.671,0.0369731,0.046753347,0.039314315
t_1041,-88.41698,13.68846,0.03722082,0.047333747,0.03980675
t_1042,-88.39901,13.68846,0.034277514,0.04419237,0.037156172
t_1043,-88.32715,13.65354,0.03732696,0.05120173,0.039214566
t_1044,-88.34511,13.65354,0.03228738,0.04304202,0.034848195
t_1045,-88.36308,13.65354,0.032276664,0.042457815,0.034939066
t_1046,-88.32715,13.671,0.040209845,0.05690256,0.042528383
t_1047,-88.34511,13.671,0.03582025,0.048201974,0.038040973
t_1048,-88.36308,13.671,0.03352757,0.044297043,0.036151215
t_1049,-88.34511,13.68846,0.0340826,0.04580546,0.036644068
t_105,-88.00375,13.30411,0.019009752,0.026192147,0.01939443
t_1050,-88.36308,13.68846,0.034092538,0.045224845,0.036790624
t_1051,-88.32715,13.68846,0.03389802,0.046107806,0.03632973
t_1052,-88.36308,13.70591,0.039502483,0.053540815,0.041940123
t_1053,-88.21935,13.49636,0.032011427,0.045691486,0.03260366
t_1054,-88.23731,13.49636,0.031199925,0.043834727,0.032000184
t_1055,-88.25528,13.49636,0.030284474,0.041974247,0.03137533
t_1056,-88.21935,13.51383,0.031925883,0.045550823,0.032651387
t_1057,-88.23731,13.51383,0.031920113,0.045026522,0.03275465
t_1058,-88.25528,13.51383,0.03264369,0.045678668,0.03350384
t_1059,-88.23731,13.5313,0.028866788,0.040285014,0.030308563
t_106,-87.98579,13.30411,0.021931984,0.030929256,0.021741994
t_1060,-88.25528,13.5313,0.033555627,0.047213987,0.034445632
t_1061,-88.21935,13.5313,0.028541408,0.04011681,0.029876456
t_1062,-88.21935,13.54877,0.027787238,0.039012183,0.029365024
t_1063,-88.09358,13.51383,0.026547693,0.038579956,0.027116068
t_1064,-88.11155,13.5313,0.026137833,0.03770096,0.026958656
t_1065,-88.12952,13.5313,0.027599351,0.039962694,0.028348582
t_1066,-88.09358,13.5313,0.02601949,0.037679974,0.026729653
t_1067,-88.12952,13.54877,0.030739106,0.046236847,0.03149095
t_1068,-88.11155,13.54877,0.02500483,0.035881642,0.026085434
t_1069,-88.09358,13.54877,0.028966293,0.043325253,0.029600013
t_107,-88.02172,13.30411,0.024487792,0.037113428,0.024240792
t_1070,-88.12952,13.56623,0.029062217,0.042625707,0.02983696
t_1071,-88.09358,13.56623,0.02692816,0.03930659,0.027672637
t_1072,-88.11155,13.56623,0.025844224,0.037265316,0.026861425
t_1073,-88.14748,13.5313,0.028247127,0.04080563,0.02903807
t_1074,-88.18342,13.5313,0.031056467,0.045024436,0.03178741
t_1075,-88.20138,13.5313,0.0282011,0.0398899,0.029433032
t_1076,-88.16545,13.5313,0.032748975,0.05032656,0.0336012
t_1077,-88.20138,13.54877,0.028922487,0.04105592,0.030142276
t_1078,-88.16545,13.54877,0.029380945,0.042465575,0.030253768
t_1079,-88.14748,13.54877,0.028428104,0.041138172,0.02928625
t_108,-88.00375,13.3216,0.020089874,0.027905082,0.020330526
t_1080,-88.18342,13.54877,0.03309895,0.049170453,0.03397312
t_1081,-88.14748,13.56623,0.026458563,0.037912898,0.027686687
t_1082,-88.18342,13.56623,0.028739108,0.04109853,0.029928127
t_1083,-88.25528,13.54877,0.035377577,0.050507516,0.036306024
t_1084,-88.23731,13.54877,0.032155808,0.045475077,0.033210978
t_1085,-88.21935,13.56623,0.028275693,0.039790634,0.029871136
t_1086,-88.25528,13.56623,0.03560833,0.050994907,0.03666931
t_1087,-88.23731,13.56623,0.031389877,0.044268172,0.03265774
t_1088,-88.25528,13.5837,0.03538888,0.050621614,0.03656734
t_1089,-88.21935,13.5837,0.03616978,0.056573685,0.037728768
t_109,-88.02172,13.3216,0.020008814,0.027781012,0.020351117
t_1090,-88.23731,13.5837,0.031188149,0.043991823,0.032591194
t_1091,-88.23731,13.60116,0.036756746,0.055656638,0.038352776
t_1092,-88.25528,13.60116,0.036471866,0.05287952,0.03784603
t_1093,-88.20138,13.56623,0.033938393,0.050167285,0.034946896
t_1094,-88.16545,13.56623,0.02635296,0.037557244,0.027764395
t_1095,-88.16545,13.5837,0.029088007,0.042010088,0.03016777
t_1096,-88.18342,13.5837,0.027250156,0.038773473,0.028764129
t_1097,-88.14748,13.5837,0.025525888,0.03647489,0.026988499
t_1098,-88.20138,13.5837,0.031650815,0.045671538,0.032730687
t_1099,-88.16545,13.60116,0.029297665,0.042393737,0.030430367
t_11,-87.91392,13.18169,0.02047589,0.03056986,0.020088458
t_110,-87.98579,13.3216,0.019285405,0.026653368,0.019602656
t_1100,-88.20138,13.60116,0.03342472,0.0490859,0.034564916
t_1101,-88.14748,13.60116,0.029114982,0.042402405,0.03013405
t_1102,-88.18342,13.60116,0.029167926,0.04186074,0.030467108
t_1103,-88.11155,13.5837,0.027816491,0.04066504,0.028652258
t_1104,-88.09358,13.5837,0.028609833,0.042540282,0.029338818
t_1105,-88.12952,13.5837,0.031759772,0.050906952,0.032883268
t_1106,-88.12952,13.60116,0.031209143,0.047819465,0.03222309
t_1107,-88.11155,13.60116,0.027424978,0.03998301,0.028361373
t_1108,-88.09358,13.60116,0.026742253,0.03900699,0.027626997
t_1109,-88.12952,13.61862,0.032009367,0.05198458,0.033331618
t_111,-87.98579,13.33908,0.017653977,0.024269354,0.018378856
t_1110,-88.09358,13.61862,0.030322019,0.049112625,0.03143398
t_1111,-88.11155,13.61862,0.028825514,0.04258003,0.029718706
t_1112,-88.11155,13.63608,0.031333305,0.051532347,0.032670166
t_1113,-88.21935,13.60116,0.034962215,0.051558457,0.03624063
t_1114,-88.25528,13.61862,0.0349913,0.049995434,0.036393005
t_1115,-88.23731,13.61862,0.035896447,0.052702777,0.037354782
t_1116,-88.21935,13.61862,0.032944433,0.047540594,0.03423173
t_1117,-88.25528,13.63608,0.03696117,0.054114815,0.038644236
t_1118,-88.23731,13.63608,0.035509184,0.051896345,0.037002996
t_1119,-88.21935,13.63608,0.030887006,0.04405142,0.03244042
t_112,-88.02172,13.33908,0.02386414,0.034306936,0.02369582
t_1120,-88.25528,13.65354,0.03241808,0.045721307,0.034192927
t_1121,-88.21935,13.65354,0.032466266,0.046766166,0.03393692
t_1122,-88.23731,13.65354,0.03375502,0.048515357,0.035278033
t_1123,-88.20138,13.61862,0.034554187,0.05170865,0.035935216
t_1124,-88.14748,13.61862,0.031857923,0.047992095,0.032969095
t_1125,-88.16545,13.61862,0.031415034,0.046305783,0.03249071
t_1126,-88.18342,13.61862,0.030871907,0.044799317,0.03206077
t_1127,-88.14748,13.63608,0.030846221,0.045717936,0.031920273
t_1128,-88.20138,13.63608,0.030516488,0.04382003,0.03195312
t_1129,-88.16545,13.63608,0.030651053,0.044853974,0.031806353
t_113,-88.03968,13.28663,0.019222982,0.02647015,0.019652555
t_1130,-88.18342,13.63608,0.03157151,0.046106096,0.032790486
t_1131,-88.18342,13.65354,0.032520503,0.047990374,0.033804234
t_1132,-88.20138,13.65354,0.033567872,0.049473263,0.034947157
t_1133,-88.12952,13.63608,0.031463623,0.048859365,0.032640252
t_1134,-88.09358,13.63608,0.027445007,0.040295403,0.028363597
t_1135,-88.12952,13.65354,0.027979184,0.040752273,0.02914782
t_1136,-88.09358,13.65354,0.03111717,0.05450402,0.03278836
t_1137,-88.11155,13.65354,0.028824026,0.042598307,0.029812094
t_1138,-88.12952,13.671,0.027812636,0.040478133,0.029040199
t_1139,-88.11155,13.671,0.030538088,0.047083285,0.03168809
t_114,-88.05765,13.28663,0.019185742,0.026415734,0.019709202
t_1140,-88.09358,13.671,0.02724027,0.03994068,0.028251138
t_1141,-88.12952,13.68846,0.025088228,0.036040075,0.02674378
t_1142,-88.11155,13.68846,0.02657076,0.038580846,0.027827248
t_1143,-88.14748,13.65354,0.03196902,0.048401885,0.033209514
t_1144,-88.16545,13.65354,0.030780729,0.04511869,0.031987637
t_1145,-88.20138,13.671,0.026406165,0.037431173,0.028578535
t_1146,-88.18342,13.671,0.027328307,0.03903963,0.029151995
t_1147,-88.14748,13.671,0.0270156,0.03894153,0.028515805
t_1148,-88.16545,13.671,0.027879294,0.040129956,0.029431606
t_1149,-88.20138,13.68846,0.029164141,0.04170804,0.03094453
t_115,-88.07562,13.30411,0.019823173,0.02741673,0.020390078
t_1150,-88.16545,13.68846,0.026310978,0.037663404,0.028143195
t_1151,-88.18342,13.68846,0.028226405,0.040473342,0.029952232
t_1152,-88.14748,13.68846,0.027049294,0.03900892,0.02857846
t_1153,-88.84817,13.26914,0.06742729,0.066134594,0.050815944
t_1154,-88.7763,13.25166,0.073421195,0.08970981,0.06048706
t_1155,-88.79427,13.25166,0.07367822,0.08121169,0.057938114
t_1156,-88.81224,13.25166,0.075797774,0.08678795,0.060056586
t_1157,-88.7763,13.26914,0.077098384,0.08946557,0.06275566
t_1158,-88.81224,13.26914,0.06518726,0.065162145,0.05009199
t_1159,-88.79427,13.26914,0.07904472,0.09471323,0.06488958
t_116,-88.03968,13.30411,0.018847497,0.025975937,0.019440312
t_1160,-88.79427,13.28663,0.08338761,0.10564675,0.07155219
t_1161,-88.8302,13.26914,0.080588214,0.08585601,0.06214341
t_1162,-88.8841,13.28663,0.07393184,0.07069771,0.05487774
t_1163,-88.8302,13.28663,0.08645896,0.10871914,0.07334692
t_1164,-88.86613,13.28663,0.0892373,0.09797866,0.069866054
t_1165,-88.84817,13.28663,0.088172905,0.09808518,0.0697141
t_1166,-88.84817,13.30411,0.09408381,0.10867049,0.07703598
t_1167,-88.86613,13.30411,0.09469267,0.11506412,0.079796955
t_1168,-88.8302,13.30411,0.091957286,0.11355125,0.0786473
t_1169,-88.8841,13.30411,0.07956255,0.075156465,0.05902091
t_117,-88.05765,13.30411,0.019325985,0.026687633,0.019907158
t_1170,-88.7763,13.28663,0.08086204,0.11005907,0.07268243
t_1171,-88.81224,13.28663,0.08503067,0.09428199,0.067740455
t_1172,-88.81224,13.30411,0.09056685,0.109231345,0.07658951
t_1173,-88.79427,13.30411,0.087896824,0.1134459,0.07777969
t_1174,-88.7763,13.30411,0.0859968,0.11057633,0.0762032
t_1175,-88.81224,13.3216,0.09219923,0.13204738,0.08975193
t_1176,-88.7763,13.3216,0.09006317,0.12026407,0.08378665
t_1177,-88.79427,13.3216,0.093992546,0.1141458,0.08179265
t_1178,-88.79427,13.33908,0.09787625,0.12898627,0.09266381
t_1179,-88.81224,13.33908,0.101604864,0.12742195,0.092542015
t_118,-88.05765,13.3216,0.027730126,0.05646847,0.02922175
t_1180,-88.90207,13.30411,0.09483108,0.12189652,0.08273467
t_1181,-88.92003,13.30411,0.08043608,0.07528657,0.059104346
t_1182,-88.90207,13.3216,0.09957265,0.1330989,0.09172781
t_1183,-88.938,13.3216,0.10342898,0.119322725,0.08572589
t_1184,-88.92003,13.3216,0.102743894,0.123435654,0.087599486
t_1185,-88.92003,13.33908,0.109466754,0.13236816,0.09636838
t_1186,-88.90207,13.33908,0.11134122,0.12526554,0.09290685
t_1187,-88.938,13.33908,0.10871141,0.13297553,0.096577875
t_1188,-88.92003,13.35656,0.120324366,0.13271756,0.10148005
t_1189,-88.90207,13.35656,0.11976037,0.13464531,0.102642626
t_119,-88.03968,13.3216,0.025913939,0.041805472,0.025839526
t_1190,-88.8841,13.3216,0.10175385,0.12398112,0.08774007
t_1191,-88.86613,13.3216,0.10133074,0.120749876,0.086169824
t_1192,-88.8302,13.3216,0.09862278,0.1155302,0.083304994
t_1193,-88.84817,13.3216,0.09973701,0.120840274,0.08594141
t_1194,-88.8302,13.33908,0.10230104,0.13443036,0.09634632
t_1195,-88.8841,13.33908,0.110381395,0.12630352,0.09336307
t_1196,-88.86613,13.33908,0.1081437,0.12992926,0.09495043
t_1197,-88.84817,13.33908,0.107047305,0.12683833,0.09317478
t_1198,-88.8841,13.35656,0.115826845,0.14312784,0.10730197
t_1199,-88.84817,13.35656,0.11177073,0.14352183,0.10699206
t_12,-87.89595,13.18169,0.014632737,0.019075662,0.01508807
t_120,-88.07562,13.3216,0.027725987,0.04793953,0.02795027
t_1200,-88.7763,13.33908,0.095560856,0.12488446,0.090105414
t_1201,-88.79427,13.35656,0.1052458,0.13218017,0.09925543
t_1202,-88.7763,13.35656,0.10163119,0.12989356,0.097337276
t_1203,-88.81224,13.35656,0.109333105,0.13203564,0.09981641
t_1204,-88.7763,13.37404,0.10924685,0.13297506,0.10411219
t_1205,-88.81224,13.37404,0.11611163,0.14299574,0.111574784
t_1206,-88.79427,13.37404,0.11166418,0.14101964,0.109717846
t_1207,-88.7763,13.39152,0.11686924,0.13923052,0.113392234
t_1208,-88.81224,13.39152,0.12578234,0.15024878,0.12231632
t_1209,-88.79427,13.39152,0.122763954,0.14180624,0.11573223
t_121,-88.07562,13.33908,0.02822427,0.050875608,0.028776757
t_1210,-88.86613,13.35656,0.11738066,0.13487256,0.102591984
t_1211,-88.8302,13.35656,0.10911915,0.14245348,0.105948426
t_1212,-88.86613,13.37404,0.12669982,0.14514144,0.11411275
t_1213,-88.8302,13.37404,0.11676671,0.15146467,0.117374614
t_1214,-88.8841,13.37404,0.12731399,0.14791524,0.11601802
t_1215,-88.84817,13.37404,0.12169195,0.1497285,0.11674052
t_1216,-88.8302,13.39152,0.12600037,0.16079107,0.13044998
t_1217,-88.8841,13.39152,0.14123462,0.15334924,0.12538865
t_1218,-88.86613,13.39152,0.1380678,0.15558445,0.12703691
t_1219,-88.84817,13.39152,0.13357243,0.15706314,0.12798803
t_122,-88.03968,13.33908,0.026699398,0.046176255,0.026972312
t_1220,-88.938,13.35656,0.11694561,0.13959749,0.1052354
t_1221,-88.92003,13.37404,0.12970088,0.14311352,0.11282722
t_1222,-88.90207,13.37404,0.13029638,0.14235641,0.11242487
t_1223,-88.938,13.37404,0.12990649,0.13938048,0.110214554
t_1224,-88.90207,13.39152,0.14268614,0.15140104,0.12386743
t_1225,-88.938,13.39152,0.14107206,0.14879666,0.12173673
t_1226,-88.92003,13.39152,0.141698,0.15184186,0.12416126
t_1227,-88.92003,13.409,0.15474695,0.16379304,0.13900256
t_1228,-88.90207,13.409,0.15385337,0.16827765,0.1429881
t_1229,-88.938,13.409,0.15488522,0.15768811,0.13353983
t_123,-87.94985,13.33908,0.022508187,0.03323872,0.022364356
t_1230,-88.84817,13.409,0.1508748,0.1595351,0.13511662
t_1231,-88.8302,13.409,0.14462519,0.15961124,0.13540712
t_1232,-88.86613,13.409,0.15391348,0.16339435,0.13844047
t_1233,-88.8841,13.409,0.15701157,0.16186227,0.13693054
t_1234,-88.84817,13.42647,0.1676723,0.16958186,0.14727806
t_1235,-88.8841,13.42647,0.17313485,0.1791522,0.15700519
t_1236,-88.86613,13.42647,0.17214008,0.17422177,0.1515884
t_1237,-88.8302,13.42647,0.16125856,0.1659603,0.14461704
t_1238,-88.84817,13.44395,0.18650168,0.18864897,0.16822346
t_1239,-88.8302,13.44395,0.17803581,0.17684314,0.15821424
t_124,-87.96782,13.33908,0.019489363,0.027006203,0.019751986
t_1240,-88.79427,13.409,0.13301998,0.14900915,0.12637468
t_1241,-88.81224,13.409,0.13914655,0.15455006,0.13109685
t_1242,-88.7763,13.409,0.12345365,0.14965123,0.12700136
t_1243,-88.81224,13.42647,0.15371667,0.16078284,0.14049181
