FIELD,DESCRIPTION
Year,2010
Country,Haiti
Region,Caribbean Central America
Event Name,Haiti
Local Date,01/12/2010
Local Time,16:53:10
Longitude (decimal degrees),-72.571
Latitude (decimal degrees),18.443
Depth (km),13
Mw,7
Max Intensity (MMI),IX
Fault mechanism,Strike slip
Tectonic region type,Active Shallow Crustal
Fatalities,158679-316000
Injured,~300000
Displaced population,1269110-1800000
Affected population,3000000-3700000
Affected units,
Damaged units,285677-317289
Collapsed units,105000-188383
Economic losses,7000-8000 M USD
Insured losses,200 M USD
Earthquake-triggered effects,Liquefaction
USGS event ID,usp000h60h
Wikipedia page,https://en.wikipedia.org/wiki/2010 Haiti earthquake
