# 20190618_M6.4_Yamagata median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,BooreEtAl2014,ChiouYoungs2014,ZhaoEtAl2016Asc
m_30,139.01,37.8857,0.12857808,0.12582067,0.07905947
m_36,139.1236,37.8875,0.10380241,0.099532515,0.078437746
m_89,140.94280000000003,38.263,0.033413135,0.033246987,0.030799644
s_0,139.58889999999997,38.6276,0.6442,0.6442,0.6442
s_1,140.1621,38.607,0.32322,0.32322,0.32322
s_10,140.04989999999998,39.383,0.134,0.134,0.134
s_100,140.5668,37.4363,0.01885,0.01885,0.01885
s_101,140.8874,38.4466,0.0182,0.0182,0.0182
s_102,140.78179999999998,37.9763,0.01806,0.01806,0.01806
s_103,141.14779999999996,39.6953,0.01747,0.01747,0.01747
s_104,140.78729999999996,40.2152,0.01684,0.01684,0.01684
s_105,140.0716,39.883,0.01674,0.01674,0.01674
s_106,141.082,39.9203,0.01638,0.01638,0.01638
s_107,140.36220000000003,37.3961,0.01624,0.01624,0.01624
s_108,141.5684,38.9015,0.0157,0.0157,0.0157
s_109,139.68079999999998,37.07,0.01562,0.01562,0.01562
s_11,139.4864,38.2301,0.13079,0.13079,0.13079
s_110,140.9035,37.0911,0.01523,0.01523,0.01523
s_111,141.152,39.1454,0.01413,0.01413,0.01413
s_112,140.8132,37.3364,0.01404,0.01404,0.01404
s_113,140.7428,40.3279,0.01401,0.01401,0.01401
s_114,140.55629999999996,37.09,0.01395,0.01395,0.01395
s_115,138.55790000000002,37.3724,0.01393,0.01393,0.01393
s_116,141.6789,39.5997,0.01374,0.01374,0.01374
s_117,141.56370000000004,39.3291,0.01371,0.01371,0.01371
s_118,138.6529,37.0147,0.01367,0.01367,0.01367
s_119,140.79290000000003,36.9069,0.0135,0.0135,0.0135
s_12,140.45100000000002,39.0384,0.11901,0.11901,0.11901
s_120,140.96320000000003,37.4061,0.01342,0.01342,0.01342
s_121,139.22479999999996,36.7722,0.01337,0.01337,0.01337
s_122,140.3689,37.2842,0.01319,0.01319,0.01319
s_123,139.80330000000004,36.99,0.01318,0.01318,0.01318
s_124,139.00919999999996,36.4637,0.01244,0.01244,0.01244
s_125,140.4031,39.995,0.01222,0.01222,0.01222
s_126,140.49900000000002,40.6018,0.01184,0.01184,0.01184
s_127,140.94060000000002,40.4371,0.01147,0.01147,0.01147
s_128,140.63490000000002,37.2778,0.01107,0.01107,0.01107
s_129,141.4031,39.0187,0.01087,0.01087,0.01087
s_13,140.7226,38.7513,0.11617,0.11617,0.11617
s_130,141.31060000000002,38.7348,0.01075,0.01075,0.01075
s_131,141.43759999999997,39.6336,0.01068,0.01068,0.01068
s_132,141.12630000000001,38.9346,0.01068,0.01068,0.01068
s_133,141.85609999999997,39.2701,0.01044,0.01044,0.01044
s_134,138.20690000000002,36.8069,0.01042,0.01042,0.01042
s_135,136.90390000000002,37.2307,0.00989,0.00989,0.00989
s_136,140.43259999999998,40.9676,0.00975,0.00975,0.00975
s_137,140.29650000000004,40.5758,0.0097,0.0097,0.0097
s_138,138.2507,37.0228,0.0097,0.0097,0.0097
s_139,138.36599999999999,36.8514,0.00968,0.00968,0.00968
s_14,139.9921,38.3856,0.11364,0.11364,0.11364
s_140,137.147,37.308,0.00941,0.00941,0.00941
s_141,139.42039999999997,36.8061,0.00933,0.00933,0.00933
s_142,141.52279999999996,38.7194,0.00872,0.00872,0.00872
s_143,137.28769999999997,37.4443,0.00852,0.00852,0.00852
s_144,140.3569,36.7761,0.00842,0.00842,0.00842
s_145,138.72109999999998,36.3467,0.00812,0.00812,0.00812
s_146,139.98270000000002,40.3888,0.00812,0.00812,0.00812
s_147,139.9284,40.6363,0.00798,0.00798,0.00798
s_148,137.86239999999998,37.0235,0.00791,0.00791,0.00791
s_149,139.9264,36.8061,0.00783,0.00783,0.00783
s_15,139.9294,37.4774,0.112,0.112,0.112
s_150,140.7068,36.7061,0.00759,0.00759,0.00759
s_151,140.75009999999997,40.8193,0.00754,0.00754,0.00754
s_152,139.7153,36.8144,0.00754,0.00754,0.00754
s_153,140.23720000000003,36.3851,0.0073,0.0073,0.0073
s_154,140.44730000000004,40.8152,0.00716,0.00716,0.00716
s_155,140.64530000000002,36.5915,0.00711,0.00711,0.00711
s_156,140.63980000000004,41.0473,0.00694,0.00694,0.00694
s_157,140.63059999999996,40.4738,0.0069,0.0069,0.0069
s_158,141.97479999999996,39.485,0.00687,0.00687,0.00687
s_159,141.96709999999996,39.7357,0.00675,0.00675,0.00675
s_16,140.1902,39.1939,0.103,0.103,0.103
s_160,140.3775,37.0217,0.0064,0.0064,0.0064
s_161,138.7523,36.5103,0.00634,0.00634,0.00634
s_162,141.8861,40.0083,0.00624,0.00624,0.00624
s_163,141.94640000000004,39.6472,0.00622,0.00622,0.00622
s_164,141.50440000000003,38.3052,0.00616,0.00616,0.00616
s_165,139.7144,36.7489,0.00599,0.00599,0.00599
s_166,139.76750000000004,36.56,0.00599,0.00599,0.00599
s_167,140.48919999999998,36.1587,0.00578,0.00578,0.00578
s_168,140.31060000000002,41.1281,0.0057,0.0057,0.0057
s_169,140.0919,40.0376,0.00562,0.00562,0.00562
s_17,139.1442,37.8013,0.10297,0.10297,0.10297
s_170,140.19759999999997,40.7782,0.00558,0.00558,0.00558
s_171,140.1297,36.7639,0.00509,0.00509,0.00509
s_172,138.41290000000004,36.7403,0.00505,0.00505,0.00505
s_173,138.1938,36.6486,0.00491,0.00491,0.00491
s_174,140.41660000000002,36.8864,0.00462,0.00462,0.00462
s_175,140.59550000000002,36.3523,0.00459,0.00459,0.00459
s_176,140.41020000000003,36.5516,0.00451,0.00451,0.00451
s_177,139.6481,35.9065,0.0045,0.0045,0.0045
s_178,141.4502,40.0366,0.00448,0.00448,0.00448
s_179,141.71910000000003,40.4099,0.00441,0.00441,0.00441
s_18,139.6467,37.6002,0.10167,0.10167,0.10167
s_180,141.7083,39.0815,0.00438,0.00438,0.00438
s_181,140.08280000000002,36.9417,0.00431,0.00431,0.00431
s_182,140.1947,36.0729,0.0042,0.0042,0.0042
s_183,140.4801,41.1795,0.00416,0.00416,0.00416
s_184,138.1191,36.5339,0.00415,0.00415,0.00415
s_185,138.1116,36.0454,0.00412,0.00412,0.00412
s_186,139.6968,36.072,0.00405,0.00405,0.00405
s_187,136.97469999999998,36.866,0.00399,0.00399,0.00399
