FIELD,DESCRIPTION
Year,2023
Country,Turkey
Region,Europe
Event Name,CentralTurkey 2023
Local Date,06/02/2023
Local Time,01:17:34
Latitude (decimal degrees),37.2199
Longitude (decimal degrees),37.0189
Depth (km),10
Mw,7.8
Max Intensity (MMI),XII
Fault mechanism,Strike-slip
Tectonic region type,Active Shallow Crust
Fatalities,53227-55690
Injured,114770-129500
Displaced population,~1500000
Affected population,
Affected units,~140000 
Damaged units,~42500 
Collapsed units,~15910 
Economic losses,103000 M USD
Insured losses,1000 M USD
Earthquake-triggered effects,
USGS event ID,us6000jllz
Wikipedia page,https://en.wikipedia.org/wiki/2023 Turkey%E2%80%93Syria earthquake
