# 20151117_M6.5_Lefkada median gmf, Stations:Seismic, gmlt:USGS, Rupture:EFEHR
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
t_0,15.091070000000002,36.9647,0.00040788733,0.00034744124,0.0001393021
t_1,15.171069999999986,37.02497,0.00045482622,0.00038022982,0.00015054441
t_10,14.945269999999994,37.21728,0.00039729034,0.00034118028,0.00014097754
t_100,14.821550000000002,38.08939,0.017814504,0.01582156,0.029687153
t_1000,19.72104999999999,43.35376,0.0017546653,0.0016433883,0.002313999
t_1004,19.885169999999988,43.3461,0.0017626717,0.0017011694,0.0024337294
t_101,15.836680000000001,38.00117,0.013706737,0.01289729,0.021870526
t_1014,18.871769999999998,43.0302,0.0012761671,0.0013177969,0.0019174282
t_1015,18.708069999999992,43.03703,0.0016225866,0.0016711487,0.0019330176
t_1016,18.794579999999996,43.09366,0.0015018384,0.0015308053,0.0020045105
t_1017,18.881190000000004,43.15023,0.0019709235,0.0019220363,0.002773027
t_1018,18.717299999999994,43.15707,0.0013603711,0.0014221921,0.0021672323
t_102,16.074360000000013,38.05619,0.0038309915,0.004129432,0.0073047546
t_1021,19.27600000000001,42.95247,0.0021945855,0.0020465339,0.002284485
t_1022,19.362740000000002,43.00888,0.0017261516,0.0016742229,0.002812609
t_1023,19.449579999999997,43.06524,0.001972986,0.0019332092,0.0035411795
t_1024,19.28586999999999,43.07255,0.0017337762,0.001794619,0.0029761759
t_1025,19.372720000000015,43.12891,0.0024394523,0.0023878596,0.004468544
t_1026,19.459659999999985,43.18522,0.0032760224,0.0032245915,0.0046235886
t_1027,19.29576,43.19253,0.0020254694,0.0020740626,0.0033554689
t_1028,19.382710000000003,43.24884,0.0023568517,0.0023875288,0.005057127
t_1029,19.469760000000008,43.30509,0.0023214752,0.0023680902,0.005080233
t_103,15.9178,38.06081,0.0046409452,0.004724145,0.008763675
t_1031,19.131830000000008,43.19971,0.0026511892,0.002691505,0.0057598134
t_1032,18.96789000000001,43.20675,0.0033771598,0.0032927806,0.004821016
t_1033,19.218709999999987,43.25609,0.0033204397,0.0032953657,0.006514626
t_104,15.761230000000012,38.0653,0.0037140846,0.0038607465,0.007976125
t_105,15.999009999999998,38.1204,0.003078835,0.0032834127,0.005288835
t_106,15.842359999999985,38.12496,0.0044006347,0.0044493536,0.0068319505
t_107,15.372330000000005,38.13782,0.003817545,0.0037192253,0.004872731
t_108,15.215630000000004,38.14184,0.0030991903,0.003082706,0.0049900804
t_1084,22.350529999999992,36.51025,0.0032389266,0.0032436876,0.0066081434
t_1085,22.433899999999994,36.56731,0.002115432,0.0020892364,0.0039621517
t_1086,22.517349999999993,36.62432,0.0020683378,0.002059646,0.0039550215
t_1087,22.36314999999999,36.63457,0.0021585806,0.002182549,0.0044809044
t_1088,22.446619999999996,36.6916,0.002281685,0.002290103,0.004498802
t_1089,22.90934999999999,36.66024,0.0025759658,0.0025759107,0.005100474
t_109,14.90218999999999,38.14946,0.0024057217,0.002456692,0.0032323007
t_1090,22.83882,36.72766,0.0020733366,0.0021602262,0.0034256978
t_1091,22.92258000000001,36.78444,0.0021027918,0.0022322321,0.0038579865
t_1092,22.613789999999995,36.80549,0.002302696,0.0024325883,0.003954598
t_1093,22.851979999999998,36.85183,0.0030562005,0.003073853,0.0059469705
t_1094,22.697509999999994,36.86236,0.0028510063,0.0029501303,0.0041815336
t_1095,21.912530000000004,36.78878,0.0028217244,0.0028367648,0.0058033084
t_1096,21.758049999999997,36.7985,0.0029621029,0.002965517,0.0058522243
t_1097,21.841340000000002,36.85577,0.0039333883,0.0038607433,0.0056581525
t_1098,21.924710000000005,36.91298,0.0032453716,0.003300028,0.0067846254
t_1099,21.770070000000004,36.9227,0.0033076876,0.0034101016,0.0069706715
t_110,15.453300000000013,38.19763,0.0023347884,0.0023252475,0.0038013584
t_1100,21.85345000000001,36.97993,0.0038617025,0.003928453,0.007961668
t_1101,22.23391000000001,36.89313,0.0042493427,0.0043368964,0.008304179
t_1102,22.16283999999999,36.96022,0.0055364016,0.005494293,0.00802006
t_1103,22.530159999999995,36.74857,0.0061897314,0.0061093117,0.008986991
t_1104,22.375799999999998,36.75883,0.00656569,0.0065155155,0.008502352
t_1105,22.459360000000004,36.81582,0.0010556871,0.0010110101,0.0015190325
t_1106,22.30489,36.826,0.00092132506,0.00093686226,0.0012706869
t_1107,22.543000000000006,36.87275,0.0008828489,0.0008842555,0.0011298408
t_1108,22.388470000000012,36.88301,0.0011066893,0.0010707084,0.0016849843
t_1109,22.472129999999993,36.93996,0.0009666668,0.0009671937,0.001254388
t_111,15.296519999999987,38.20172,0.0017281781,0.0016112333,0.0018735522
t_1110,22.317499999999995,36.95016,0.0013936963,0.0013045394,0.0018728315
t_1111,22.55587,36.99686,0.0009773708,0.000976664,0.0012500043
t_1112,22.401170000000008,37.00712,0.0012328255,0.0011866707,0.0018612877
t_1113,22.246440000000007,37.01725,0.0011703763,0.0011451548,0.0018631968
t_1114,22.09169,37.02725,0.0011481195,0.0011517328,0.0015497515
t_1115,22.175309999999996,37.0843,0.0018669909,0.0018162777,0.002940031
t_1116,22.020460000000014,37.09423,0.0013908696,0.0014492434,0.002191818
t_1117,22.259000000000015,37.1413,0.0016797173,0.001685145,0.0032028134
t_1118,22.104089999999985,37.1513,0.0014508215,0.0014785988,0.0021600805
t_1119,22.18780000000001,37.20832,0.0016618151,0.0016700671,0.003206761
t_112,16.080299999999994,38.17994,0.0011607035,0.001163683,0.0015211396
t_1120,22.032780000000002,37.21825,0.0014927579,0.0015355215,0.0023875227
t_1121,22.271590000000003,37.26528,0.001599028,0.0016514388,0.0026630426
t_1122,22.116510000000005,37.27528,0.0014740562,0.001553666,0.0026568447
t_1123,21.686769999999996,36.86542,0.0016762408,0.0017075316,0.0026414497
t_1124,21.62727000000001,37.05643,0.0019076916,0.0019293989,0.00397276
t_1125,21.698710000000005,36.98959,0.001598055,0.0015163482,0.0023163166
t_1126,21.93691000000001,37.03711,0.0016903324,0.00163409,0.002617603
t_1127,21.782100000000014,37.04684,0.0016777847,0.0015692692,0.002294282
t_1128,21.865579999999994,37.10403,0.0017891104,0.001688269,0.0025674747
t_1129,21.710679999999996,37.11369,0.0015242108,0.0014859244,0.0025394259
t_113,15.923570000000012,38.18456,0.0014270984,0.001366128,0.0020101764
t_1130,21.94914,37.16117,0.0014302646,0.001451397,0.002130053
t_1131,21.79417000000001,37.1709,0.0015288236,0.0015199521,0.002812086
t_1132,21.87773999999999,37.22805,0.0014163513,0.0014713866,0.0023654734
t_1133,21.722669999999994,37.23772,0.0014927363,0.0014938207,0.002792974
