STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,VS30_TYPE,REFERENCES
Ravar,Ravar,56.79,31.26,seismic,285.82,5.6,0.63,0.0,0.098161,0.0,8.6417,inferred,Stations_USGS
Tarz,Tarz,56.49,31.39,seismic,594.9,4.4,0.63,0.0,0.043326,0.0,3.6472,inferred,Stations_USGS
Zarand,Zarand,56.57,30.81,seismic,269.84,7.1,0.63,0.0,0.286035,0.0,26.7001,inferred,Stations_USGS
Kerman_1,Kerman_1,57.04,30.29,seismic,225.59,4.4,0.63,0.0,0.043326,0.0,3.6472,inferred,Stations_USGS
Bayaz,Bayaz,55.44,30.7,seismic,330.5,3.9,0.63,0.0,0.021687,0.0,1.7577,inferred,Stations_USGS
Sirch,Sirch,57.55,30.2,seismic,470.09,3.9,0.63,0.0,0.023095,0.0,1.8783,inferred,Stations_USGS
Anar,Anar,55.27,30.87,seismic,267.17,4.1,0.63,0.0,0.029704,0.0,2.4493,inferred,Stations_USGS
Baghin,Baghin,56.81,30.19,seismic,302.43,4.3,0.63,0.0,0.038203,0.0,3.1939,inferred,Stations_USGS
Koohbanan,Koohbanan,56.27,31.42,seismic,469.07,3.9,0.63,0.0,0.023095,0.0,1.8783,inferred,Stations_USGS
Cheshmeh_sabz,Cheshmeh_sabz,56.42,29.46,seismic,389.47,3.9,0.63,0.0,0.023095,0.0,1.8783,inferred,Stations_USGS
Chatrood,Chatrood,56.91,30.6,seismic,442.01,5.3,0.63,0.0,0.081278,0.0,7.0818,inferred,Stations_USGS
Mehriz,Mehriz,54.43,31.57,seismic,313.02,3.9,0.63,0.0,0.021687,0.0,1.7577,inferred,Stations_USGS
Bahabad,Bahabad,56.02,31.87,seismic,327.88,4.0,0.63,0.0,0.026192,0.0,2.1449,inferred,Stations_USGS
Molea_Esmaeel,Molea_Esmaeel,55.95,32.04,seismic,278.46,4.1,0.63,0.0,0.029704,0.0,2.4493,inferred,Stations_USGS
Rafsanjan,Rafsanjan,55.99,30.41,seismic,267.25,4.2,0.63,0.0,0.035874,0.0,2.9889,inferred,Stations_USGS
Bafgh,Bafgh,55.42,31.62,seismic,281.35,4.0,0.63,0.0,0.024595,0.0,2.0072,inferred,Stations_USGS
Bardsir,Bardsir,56.57,29.92,seismic,334.97,3.9,0.63,0.0,0.023095,0.0,1.8783,inferred,Stations_USGS
Bahadoran,Bahadoran,54.95,31.3,seismic,252.22,4.0,0.63,0.0,0.024595,0.0,2.0072,inferred,Stations_USGS
