STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE
KTHA,NOA GEOFON Station Kythira  Greece,36.256600,23.062100,seismic,ESM,B (inferred from topography),0.000596576,0,0.0009427720623856326,0,0.0014439842706646896,0,0.0013371553525845998,0,,B (inferred from topography)
ARG2,Prefecture Argostoli Cephalonia Ionian Islands,38.178300,20.487800,seismic,ESM,B (inferred from topography),0.09856856500000001,0,0.22474931016695593,0,0.11207344912411663,0,0.0464014828942516,0,,B (inferred from topography)
ARS1,Town Hall Argos Argolis Peloponnese,37.634900,22.729300,seismic,ESM,C (inferred from topography),0.004155983,0,0.008260669078794549,0,0.01114068767957052,0,0.007211992039418736,0,,C (inferred from topography)
KLV1,Health Center Kalavryta Achaea Peloponnese,38.032560,22.107970,seismic,ESM,B (inferred from topography),0.005057135,0,0.013365481171961442,0,0.009134496978378566,0,0.008063229968590066,0,,B (inferred from topography)
KRK1,Prefecture Veterinary Corfu Ionian Islands,39.618861,19.920200,seismic,ESM,B (inferred from topography),0.011851708,0,0.018902742842867613,0,0.01822545713351137,0,0.015079721067348477,0,,B (inferred from topography)
LAM2,Antiperifereia Lamia Fthiotis Central Greece,38.902030,22.431301,seismic,ESM,B (inferred from topography),0.003438226,0,0.00530646688561456,0,0.007406768618811751,0,0.00481774024899825,0,,B (inferred from topography)
LMS2,TownHall Laimos Florina Western Macedonia,40.834985,21.141815,seismic,ESM,B (inferred from topography),0.000611409,0,0.0014734593905730555,0,0.0013275964259331142,0,0.001892989816405295,0,,B (inferred from topography)
MSL1,Prefecture Mesologgi Western Greece,38.372700,21.424300,seismic,ESM,C (inferred from topography),0.033882824,0,0.085318310761343,0,0.09793287820066908,0,0.06980529092550794,0,,C (inferred from topography)
NPS1,HealthCenter Neapoli Laconia Peloponnese,36.512630,23.062480,seismic,ESM,B (inferred from topography),0.0009301450000000001,0,0.0017191160951200526,0,0.0034797335357698344,0,0.002519000091994651,0,,B (inferred from topography)
SKO1,TownHall Skopelos Skopelos Island,39.123383,23.728705,seismic,ESM,A (inferred from topography),0.000457401,0,0.0005871715321677665,0,0.0009685993928007771,0,0.0009902645779900298,0,,A (inferred from topography)
VOL2,Prefecture Volos Magnesia Thessaly,39.366000,22.950600,seismic,ESM,B (inferred from topography),0.0014344140000000002,0,0.0025337613694495233,0,0.004685812897437774,0,0.001989338038000127,0,,B (inferred from topography)
DION,Dionisos  Attiki  Greece,38.077940,23.933060,seismic,ESM,B (inferred from topography),0.000638963,0,0.001576148756959837,0,0.0013955234107956567,0,0.0017328489825525059,0,,B (inferred from topography)
KTHA,NOA GEOFON Kythira Greece,36.256600,23.062100,seismic,ESM,B (inferred from topography),0.0005844709999999999,0,0.0009236431089147158,0,0.001414685709513833,0,0.0013100237937561955,0,,B (inferred from topography)
KYMI,Kymi- Euboea Island,38.633147,24.100138,seismic,ESM,A (inferred from topography),0.00030064999999999996,0,0.0004970615724991891,0,0.0007815812758563783,0,0.0009762208814619932,0,,A (inferred from topography)
PLG,Poligiros Chalkidiki Greece,40.373280,23.444430,seismic,ESM,B (inferred from topography),0.00021845,0,0.0005273840832859788,0,0.0005336973962689739,0,0.00048571701463608123,0,,B (inferred from topography)
ACER,Acerenza,40.786700,15.942700,seismic,ESM,B,0.000850189,0,0.0011899812963155764,0,0.001986117781213528,0,0.0018812254535375034,0,523,B
CAR1,CAROLEI,39.253400,16.211400,seismic,ESM,B (inferred from geology),0.000327379,0,0.0011745843760427946,0,0.0010496598483810673,0,0.0010318118791155587,0,,B (inferred from geology)
CELI,Celico  Cosenza,39.402700,16.508800,seismic,ESM,B (inferred from geology),0.000219824,0,0.00037158380252073995,0,0.0005061988077089093,0,0.0004653204177982949,0,,B (inferred from geology)
JOPP,Joppolo,38.606800,15.885600,seismic,ESM,B (inferred from geology),0.000299052,0,0.0006172654538550447,0,0.0007613680691846922,0,0.0007850657967957706,0,,B (inferred from geology)
MCEL,Monticello,40.324900,15.801900,seismic,ESM,A (inferred from geology),0.00029070800000000004,0,0.000677465841632173,0,0.000534650597808,0,0.0005782440650965043,0,,A (inferred from geology)
MESG,Mesagne,40.589408,17.850423,seismic,ESM,B (inferred from geology),0.000992962,0,0.0022182282021235324,0,0.003096278144131605,0,0.001539565354518314,0,,B (inferred from geology)
MGR,MORIGERATI,40.137600,15.553520,seismic,ESM,B (inferred from geology),0.00016162499999999998,0,0.0005308376202186106,0,0.0004043377034051806,0,0.0005121183989660731,0,,B (inferred from geology)
PIPA,Pietrapaola,39.485140,16.815800,seismic,ESM,B (inferred from geology),0.00048353700000000003,0,0.0009014078944514568,0,0.0016360060939203348,0,0.0008811312276874054,0,,B (inferred from geology)
PLAC,Placanica,38.449400,16.438300,seismic,ESM,A (inferred from geology),0.00021187200000000002,0,0.0004895528808150667,0,0.0005327678140282845,0,0.00045956424549197216,0,,A (inferred from geology)
SALB,San Lorenzo Bellizzi,39.877200,16.345900,seismic,ESM,B (inferred from geology),0.000252465,0,0.0007434237690935355,0,0.0006551529472256217,0,0.0004647201483399893,0,,B (inferred from geology)
SERS,Sersale,39.035900,16.688600,seismic,ESM,B (inferred from geology),0.00019513200000000001,0,0.0006435126747356697,0,0.00048528805025480163,0,0.00038924333107909914,0,,B (inferred from geology)
SIRI,Monte Sirino   Moliterno,40.182100,15.867500,seismic,ESM,B (inferred from geology),0.000217096,0,0.0009547348978225537,0,0.000532587223243325,0,0.0004433669779975593,0,,B (inferred from geology)
CUC,Castrocucco  Italy,39.993800,15.815500,seismic,ESM,A (inferred from geology),0.000193521,0,0.0003507763975117675,0,0.0005779214984511149,0,0.00046558278401857145,0,,A (inferred from geology)
PDG,Podgorica  Montenegro,42.429700,19.260800,seismic,ESM,A (inferred from geology),0.000343453,0,0.0008917568824289886,0,0.0005552568076428794,0,0.00047090712880608934,0,,A (inferred from geology)
TIP,Timpagrande  Italy,39.179400,16.758300,seismic,ESM,B (inferred from geology),0.00014562,0,0.00018941714869933235,0,0.0003127333280751852,0,0.00038714820205731476,0,,B (inferred from geology)
