ID_1,NAME_1,GRADE_0,GRADE_1,GRADE_2,GRADE_3,GRADE_4,GRADE_5,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,TAXONOMY,PARTIALLY_DAMAGED,FULLY_DAMAGED,TOTAL_DAMAGED_AND_DESTROYED,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS
1,Koshi,,7961,8605,9220,7946,5620,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,
3,Bagmati,,66503,70097,111685,153362,243021,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,
4,Gandaki,,4351,8555,15507,22536,27125,Buildings,Ground shaking,2015_Nepal_earthquake_open_data, Damage grade assigned to the building by the surveyor after assessment.,,,,,,,
,Lumbini/Karnali,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,375,117,,,,
,Gandaki/Lumbini,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,3514,910,,,,
7,Sudurpashchim,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,68,0,,,,
6,Karnali,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,2512,37,,,,
5,Lumbini,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,10786,4431,,,,
4,Gandaki,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,68012,100656,,,,
3,Bagmati,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,151924,630645,,,,
2,Madhesh,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,2992,684,,,,
1,Koshi,,,,,,,Buildings,Ground shaking,Nepal_agency_incident_report_2015,"Govt. Houses Fully Damaged and Private Houses fully damaged,	Govt. Houses Fully Damaged and Private Houses partially damaged.",,62591,38302,,,,
3,Bagmati,,,,,,,Buildings,Ground shaking,UNOCHA_2015,,,,,561369,,,
4,Gandaki,,,,,,,Buildings,Ground shaking,UNOCHA_2015,,,,,27073,,,
1,Koshi,,,,,,,Buildings,Ground shaking,UNOCHA_2015,,,,,47401,,,
