ID_1,NAME_1,ID_2,NAME_2,ECONOMIC_LOSSES,CURRENCY,REFERENCE,COMMENTS
3,Bagmati,23,Sindhupalchowk,559000000,NPR,World_Bank_2015,
3,Bagmati,27,Kathmandu,296000000,NPR,World_Bank_2015,
3,Bagmati,28,Nuwakot,332000000,NPR,World_Bank_2015,
3,Bagmati,30,Dhading,431000000,NPR,World_Bank_2015,
3,Bagmati,29,Rasuwa,218000000,NPR,World_Bank_2015,
4,Gandaki,36,Gorkha,503000000,NPR,World_Bank_2015,
3,Bagmati,26,Bhaktapur,115000000,NPR,World_Bank_2015,
3,Bagmati,24,Kavrepalanchok,272000000,NPR,World_Bank_2015,
3,Bagmati,25,Lalitpur,174000000,NPR,World_Bank_2015,
3,Bagmati,22,Dolakha,465000000,NPR,World_Bank_2015,
3,Bagmati,21,Ramechhap,221000000,NPR,World_Bank_2015,
3,Bagmati,31,Makawanpur,320000000,NPR,World_Bank_2015,
1,Koshi,12,Okhaldhunga,106000000,NPR,World_Bank_2015,
3,Bagmati,20,Sindhuli,229000000,NPR,World_Bank_2015,
