ID_1,NAME_1,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,CAUSE_OF_INJURY/DEATH,REFERENCE,COMMENTS
1,Koshi,634,634,187,,,,2015_Nepal_earthquake_open_data,Number of people within households who have died or were injured or missing  in last 12 months.
3,Bagmati,16814,16814,7962,,,,2015_Nepal_earthquake_open_data,Number of people within households who have died or were injured or missing  in last 12 months.
4,Gandaki,1757,1757,968,,,,2015_Nepal_earthquake_open_data,Number of people within households who have died or were injured or missing  in last 12 months.
,Lumbini/Karnali,2,2,6,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
,Gandaki/Lumbini,8,8,41,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
7,Sudurpashchim,0,0,2,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
6,Karnali,0,0,11,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
5,Lumbini,8,8,96,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
4,Gandaki,486,486,1127,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
3,Bagmati,8571,8571,20286,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
2,Madhesh,20,20,344,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
1,Koshi,62,62,389,,,,Nepal_agency_incident_report_2015,Fatalities include total deaths and missing people.
3,Bagmati,8160,8160,19752,,,,World_Bank_2015,
4,Gandaki,443,443,1179,,,,World_Bank_2015,
1,Koshi,20,20,230,,,,World_Bank_2015,
1,Koshi,117,117,1273,,,,Government_of_Nepal_2015,
2,Madhesh,41,41,728,,,,Government_of_Nepal_2015,
3,Bagmati,8898,8898,21406,,,,Government_of_Nepal_2015,
4,Gandaki,1665,1665,9713,,,,Government_of_Nepal_2015,
5,Lumbini,6,6,275,,,,Government_of_Nepal_2015,
6,Karnali,0,0,11,,,,Government_of_Nepal_2015,
7,Sudurpashchim,0,0,2,,,,Government_of_Nepal_2015,
