# 19891227_M5.9_Newcastle median gmf, Stations:All, gmlt:GEM, Rupture:Jackson_And_McKenzie_2022
custom_site_id,lon,lat,Allen2012,AtkinsonBoore2006Modified2011,BooreEtAl2014,ChiouYoungs2014,SomervilleEtAl2009YilgarnCraton,ZhaoEtAl2006Asc
m_0,151.74108999999999,-32.03251,0.012122263,0.013210859,0.011421098,0.011640288,0.012761633,0.013447952
m_1,151.70753000000002,-32.91168,0.27419645,0.31095836,0.32034588,0.30781007,0.28093043,0.2784588
m_10,151.78154,-32.91598,0.2153351,0.2327012,0.23309591,0.24416617,0.19900161,0.21825033
m_100,151.58173,-33.05612,0.14854412,0.13225666,0.1315552,0.14119501,0.16026582,0.12293298
m_101,151.70085,-32.94276,0.2813041,0.2462829,0.22071494,0.22957456,0.29361653,0.2364403
m_102,151.05557999999996,-32.9713,0.031888343,0.026354337,0.032650687,0.034020282,0.038970377,0.035874106
m_103,150.58182,-33.69501,0.012340838,0.012129094,0.007391287,0.007882898,0.009055462,0.010317154
m_104,151.63869,-33.00957,0.22018307,0.20111708,0.195176,0.199925,0.24032214,0.18529186
m_105,151.60162000000003,-33.07624,0.13959344,0.18032847,0.18595624,0.17366944,0.14655124,0.1468143
m_106,151.65807,-32.93589,0.28388366,0.26500335,0.2749756,0.23132043,0.3598641,0.23562488
m_11,151.71828,-32.99428,0.20539007,0.1913541,0.17536183,0.19283073,0.20455539,0.18257163
m_12,151.73577,-32.8885,0.24419877,0.24670126,0.24276994,0.25796422,0.23192707,0.24180247
m_13,151.65282000000002,-33.08034,0.14008157,0.17218795,0.17798027,0.17041264,0.14455885,0.14884259
m_14,151.58375,-33.06611,0.14441791,0.13992314,0.14425501,0.15209112,0.15259543,0.14979063
m_15,151.75500999999997,-32.89198,0.23113246,0.2538377,0.25269967,0.26011398,0.21603572,0.23247297
m_16,151.71418,-32.96713,0.23411185,0.2310294,0.22127368,0.2320405,0.24144903,0.20641091
m_17,150.82029999999997,-32.3426,0.015455552,0.020062886,0.019338338,0.01938574,0.01500785,0.020176105
m_18,151.60267,-32.96897,0.24426645,0.22617583,0.24987341,0.20954545,0.3341119,0.20325713
m_19,151.65468999999996,-32.95146,0.28161716,0.29914352,0.34043652,0.28298023,0.34413794,0.2958619
m_2,151.72005000000001,-32.88389,0.23616086,0.2479063,0.24610645,0.2560725,0.23543237,0.23730233
m_20,151.60339999999997,-33.02638,0.18014425,0.18742657,0.19984712,0.19899648,0.20317052,0.18833452
m_21,151.69936,-32.99724,0.22217236,0.2210111,0.21095198,0.22729293,0.2170652,0.24368025
m_22,151.69387,-32.89778,0.24854805,0.24482739,0.23873468,0.24155287,0.27179956,0.25537932
m_23,151.73256000000003,-32.93964,0.27157357,0.21973772,0.18879811,0.21381883,0.25765488,0.22351769
m_24,151.56268,-32.58662,0.04891609,0.040074654,0.043943916,0.046942275,0.058800492,0.050915886
m_25,151.71661,-32.9569,0.24729176,0.26333207,0.26748395,0.27167127,0.252983,0.27009305
m_26,151.67917,-32.9963,0.22878353,0.20404932,0.1796323,0.1953919,0.23233648,0.19843417
m_27,150.84539,-33.86704,0.012490533,0.013214443,0.00839722,0.008810552,0.009251885,0.0106129125
m_28,151.26814000000002,-33.4209,0.020977495,0.016899621,0.020971555,0.02144905,0.026811711,0.025048388
m_29,151.59235,-33.04419,0.15915114,0.14532784,0.14619206,0.15399842,0.17504239,0.16615291
m_3,151.72899,-32.88443,0.23722899,0.21292329,0.19744493,0.21879181,0.2307726,0.23679209
m_30,151.65017999999998,-33.05791,0.16311623,0.17888217,0.18692684,0.18784651,0.16659266,0.17180674
m_31,151.19106999999997,-31.82066,0.011028742,0.012173626,0.0073815775,0.007595829,0.008228624,0.009336585
m_32,151.61383999999998,-33.04652,0.16525084,0.18377572,0.19443,0.19251655,0.17752263,0.17222445
m_33,151.59389999999996,-33.01383,0.19052097,0.18686743,0.19631311,0.19532448,0.22270902,0.19824405
m_34,151.53714000000002,-33.01287,0.15370657,0.15034118,0.15374315,0.16295362,0.18279324,0.1612762
m_35,151.65751,-32.88237,0.22972804,0.22766532,0.21916485,0.21211211,0.28040054,0.18825074
m_36,151.74117999999999,-32.95058,0.24798025,0.20145261,0.1736315,0.19849607,0.23680443,0.20843571
m_37,151.09704,-32.54385,0.025137108,0.019055035,0.02356237,0.024931371,0.029446576,0.028917396
m_38,151.41161,-33.3648,0.028441813,0.03265567,0.044241324,0.041710302,0.035816293,0.039024558
m_39,151.61491,-32.92006,0.27154124,0.2747974,0.31890646,0.24422494,0.3787695,0.21776411
m_4,151.63016,-32.96655,0.26498446,0.24701647,0.2618142,0.22201939,0.34006172,0.22148697
m_40,150.37795,-33.77361,0.0108005665,0.011236157,0.005906918,0.006090748,0.0065093664,0.007715457
m_41,151.39394,-33.25586,0.04335201,0.04752581,0.059448555,0.058107674,0.050870836,0.053951133
m_42,152.30650000000003,-32.21471,0.012600494,0.012744184,0.01019963,0.010650914,0.0125289885,0.013356449
m_43,151.69426999999996,-32.96341,0.2574184,0.23426414,0.21135011,0.21844459,0.2726056,0.22332357
m_44,151.64367,-32.97318,0.26299188,0.27819356,0.3090497,0.27272093,0.3121285,0.2780979
m_45,151.74363,-32.30712,0.017044097,0.014799841,0.020267718,0.020154247,0.02268971,0.021690972
m_46,151.58442000000002,-33.02878,0.16856107,0.17273727,0.18297715,0.18481675,0.19248646,0.17596515
m_47,151.59665,-33.05504,0.1531431,0.17792842,0.18870665,0.18391237,0.16459511,0.16122079
m_48,150.10395,-33.49946,0.00998333,0.010575077,0.0055031646,0.005650605,0.0060364236,0.0072313203
m_49,151.86131999999998,-32.74758,0.06333755,0.073213264,0.08738416,0.08647109,0.07523025,0.07745318
m_5,151.60481,-33.00686,0.20249134,0.19919078,0.21089524,0.20480102,0.24098238,0.21246517
m_50,151.64364999999998,-33.01667,0.21319877,0.18840599,0.17826983,0.18810734,0.22601639,0.17908745
m_51,151.48724000000004,-32.68833,0.07705249,0.07096913,0.07459425,0.08145417,0.08633134,0.072489925
m_52,151.65477999999996,-32.92302,0.27731642,0.32063577,0.38961875,0.30845368,0.35821635,0.28729385
m_53,151.75552,-32.9374,0.25686312,0.28939372,0.2937531,0.29406068,0.23376633,0.26346037
m_54,151.66174999999998,-32.9965,0.23642115,0.21418992,0.1964839,0.20508534,0.24981079,0.20197575
m_55,151.58144,-32.90743,0.25961575,0.25931188,0.28583872,0.22568698,0.37239456,0.20122875
m_56,151.66318,-33.03017,0.19801717,0.21853818,0.22581542,0.22812226,0.19913869,0.20870176
m_57,151.55176,-33.0802,0.12369231,0.11136284,0.110944375,0.12143371,0.13274747,0.13014364
m_58,151.61401999999998,-32.98482,0.23255016,0.22793777,0.24932995,0.22087848,0.29806444,0.19596605
m_59,150.64783,-32.34296,0.012354241,0.0125314435,0.009076393,0.009556762,0.011164298,0.012125219
m_6,151.67224999999996,-32.9209,0.2760538,0.26410443,0.26350865,0.23918574,0.33208188,0.22843054
m_60,151.71506,-33.01383,0.19357651,0.17906502,0.16574879,0.18634142,0.18673585,0.16957268
m_61,151.62097,-32.96239,0.26373133,0.24713728,0.27353567,0.22188199,0.35413897,0.21949556
m_62,151.73505,-32.91028,0.27908558,0.28621092,0.2841096,0.29551426,0.25743347,0.27448526
m_63,151.67272000000003,-32.93654,0.28383225,0.2647678,0.2619134,0.23738566,0.33773687,0.23753509
