# 19891227_M5.9_Newcastle median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,Allen2012,AtkinsonBoore2006Modified2011,BooreEtAl2014,ChiouYoungs2014,SomervilleEtAl2009YilgarnCraton,ZhaoEtAl2006Asc
m_0,151.74108999999999,-32.03251,0.012823826,0.013735288,0.011961317,0.011576097,0.0128876725,0.013642149
m_1,151.70753000000002,-32.91168,0.25792637,0.28906313,0.2856972,0.2922299,0.24881703,0.26805258
m_10,151.78154,-32.91598,0.21691583,0.23175758,0.2302806,0.24147397,0.1999941,0.22138491
m_100,151.58173,-33.05612,0.15233155,0.14409822,0.14876714,0.15049173,0.17968737,0.12719466
m_101,151.70085,-32.94276,0.280267,0.25419292,0.21788463,0.22880735,0.28665572,0.23683883
m_102,151.05557999999996,-32.9713,0.0331778,0.027377121,0.03510039,0.03420741,0.04056352,0.037787218
m_103,150.58182,-33.69501,0.013064766,0.012643624,0.008249739,0.008434797,0.00993852,0.01110411
m_104,151.63869,-33.00957,0.24149206,0.23452836,0.25227746,0.21471207,0.2965075,0.19852686
m_105,151.60162000000003,-33.07624,0.14630088,0.16551661,0.19649993,0.18131083,0.16699173,0.15454829
m_106,151.65807,-32.93589,0.27171138,0.25378096,0.23771083,0.22447275,0.3074319,0.22987674
m_11,151.71828,-32.99428,0.22685364,0.22451155,0.20336014,0.21107462,0.24087481,0.19754532
m_12,151.73577,-32.8885,0.23097777,0.2312972,0.22755201,0.24349195,0.21248198,0.23359594
m_13,151.65282000000002,-33.08034,0.15157406,0.16823289,0.19237714,0.18251981,0.16755511,0.16048805
m_14,151.58375,-33.06611,0.14906879,0.15070407,0.16042295,0.1623141,0.17119111,0.15585716
m_15,151.75500999999997,-32.89198,0.22276492,0.24056545,0.23915827,0.24871552,0.20440687,0.22788705
m_16,151.71418,-32.96713,0.24805534,0.25443012,0.2434873,0.24402519,0.26678178,0.21616821
m_17,150.82029999999997,-32.3426,0.01637986,0.020899935,0.020130314,0.019235495,0.015273417,0.020617453
m_18,151.60267,-32.96897,0.2536876,0.23679881,0.2531144,0.21100672,0.32322213,0.20934142
m_19,151.65468999999996,-32.95146,0.27775308,0.28835693,0.32932076,0.2804456,0.32540834,0.2946204
m_2,151.72005000000001,-32.88389,0.22074205,0.2290966,0.22740255,0.24027519,0.2106515,0.22732459
m_20,151.60339999999997,-33.02638,0.18839958,0.20241861,0.23577403,0.21066369,0.24104188,0.19630744
m_21,151.69936,-32.99724,0.2472798,0.25847185,0.25083408,0.24639283,0.26357573,0.26444498
m_22,151.69387,-32.89778,0.23070705,0.22660209,0.21399905,0.22725327,0.23314008,0.2435357
m_23,151.73256000000003,-32.93964,0.27490124,0.22975183,0.19118519,0.21548952,0.260072,0.22656043
m_24,151.56268,-32.58662,0.046357725,0.037400853,0.043186184,0.043126166,0.054973885,0.049722284
m_25,151.71661,-32.9569,0.25686234,0.27681738,0.27937302,0.27942467,0.2684879,0.27879953
m_26,151.67917,-32.9963,0.2553545,0.24001406,0.22297367,0.21043731,0.2845391,0.21510604
m_27,150.84539,-33.86704,0.013270112,0.013815609,0.009501868,0.009537265,0.010278623,0.011545392
m_28,151.26814000000002,-33.4209,0.022964105,0.018684004,0.024087505,0.023000123,0.02980961,0.027535068
m_29,151.59235,-33.04419,0.1642211,0.1593081,0.16963354,0.1645886,0.2009952,0.17221944
m_3,151.72899,-32.88443,0.22283098,0.19923009,0.18577507,0.20533308,0.20896833,0.22763626
m_30,151.65017999999998,-33.05791,0.17723827,0.19734168,0.20621376,0.20295359,0.19830313,0.18490624
m_31,151.19106999999997,-31.82066,0.0116810715,0.012665095,0.007798129,0.007681832,0.008423787,0.009520718
m_32,151.61383999999998,-33.04652,0.17493154,0.1977033,0.21681483,0.20497262,0.21179229,0.18147823
m_33,151.59389999999996,-33.01383,0.19514282,0.20049985,0.22806427,0.20287369,0.2520196,0.20378363
m_34,151.53714000000002,-33.01287,0.1577488,0.1586813,0.17109467,0.1706025,0.20054303,0.16669099
m_35,151.65751,-32.88237,0.21648258,0.21416382,0.19500218,0.20206952,0.23631057,0.18149899
m_36,151.74117999999999,-32.95058,0.25686052,0.2167936,0.18155886,0.2044458,0.2481166,0.21507251
m_37,151.09704,-32.54385,0.025060743,0.018830126,0.024013719,0.024000067,0.029175086,0.029228473
m_38,151.41161,-33.3648,0.031481244,0.03672068,0.051082596,0.04526731,0.04040384,0.043319482
