# 20230206_M7.8_KahramanmarasGaziantep median gmf, Stations:Seismic, gmlt:Adjusted, Rupture:USGS
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,KaleEtAl2015Turkey,ZhaoEtAl2016Asc
m_243,35.83510000000001,34.4392,0.018960623,0.018949665,0.01833906,0.013148894
m_244,35.288399999999996,37.0467,0.060655218,0.058297247,0.062261544,0.04833343
m_245,35.501900000000006,33.8424,0.012790887,0.012642876,0.0108206095,0.007792069
m_246,35.806899999999985,35.5305,0.03425325,0.034474798,0.03989686,0.05702562
m_247,35.5138,33.8782,0.012234814,0.01223268,0.010399807,0.008098979
m_248,35.8348,34.4302,0.015229449,0.015436505,0.014471786,0.015379822
m_249,35.567999999999984,33.8861,0.011856062,0.011953546,0.010102453,0.008253009
m_250,35.578599999999994,33.8769,0.009511647,0.010112152,0.008078219,0.006137904
m_251,35.502999999999986,33.8785,0.01281145,0.012694349,0.010904064,0.008083301
m_252,35.88329999999999,34.8887,0.022498643,0.022531234,0.023500824,0.026215449
m_253,35.59100000000001,33.9307,0.01135732,0.011618053,0.00975436,0.008675553
m_254,35.50319999999999,33.8875,0.012853451,0.012737461,0.01095777,0.0081575755
m_256,35.57939999999999,33.9039,0.011234759,0.011489497,0.009598232,0.00842252
m_257,35.5351,33.8688,0.012212016,0.012209167,0.010370758,0.00805699
m_258,35.49189999999999,33.8697,0.012760254,0.012641799,0.010838644,0.007993095
m_259,33.90699999999998,35.2622,0.018710567,0.01862411,0.017948793,0.011940634
m_261,34.52889999999999,36.7434,0.034108445,0.034126513,0.0348356,0.035662424
m_262,35.33189999999999,37.0008,0.05004702,0.049735848,0.05069469,0.04358494
m_263,35.612599999999986,33.9303,0.010120251,0.010653444,0.00868916,0.006523492
m_264,35.5462,33.8776,0.01180093,0.011896362,0.010032266,0.008147208
m_265,35.65780000000001,33.9924,0.009651153,0.010365531,0.008393443,0.0070116306
m_267,35.52510000000001,33.896,0.012324866,0.012325551,0.010514641,0.008265584
m_268,35.6018,33.9305,0.011365033,0.011626142,0.009764195,0.008691563
m_269,35.5035,33.8965,0.0128958225,0.012780956,0.0110119805,0.008232752
m_270,35.5248,33.887,0.012284078,0.012283486,0.01046261,0.0081899725
m_271,35.481600000000014,33.8879,0.012834207,0.012717708,0.010933159,0.008123513
m_272,35.4708,33.8881,0.010831147,0.011132935,0.009187808,0.008106175
m_273,34.5291,36.7524,0.03453999,0.034551993,0.03521384,0.035868824
m_274,35.59049999999999,33.9127,0.011280444,0.011537419,0.009656396,0.008516537
m_275,35.52429999999998,33.869,0.012203389,0.012200271,0.010359771,0.008041124
m_276,35.51349999999999,33.8692,0.012194644,0.012191252,0.010348632,0.00802505
m_277,35.513000000000005,33.8512,0.012297521,0.012254481,0.010406441,0.007879509
m_278,31.008800000000008,36.8628,0.0066445204,0.0067193545,0.0041347877,0.0015290132
m_279,42.907899999999984,36.861,0.008345107,0.008268757,0.0057043163,0.0024897975
m_280,35.51400000000001,33.8872,0.012275156,0.012274285,0.010451233,0.008173467
m_281,35.578,33.8589,0.009552992,0.010125291,0.008086606,0.006025831
m_282,33.31290000000001,35.157,0.009883678,0.009791377,0.009298189,0.007872014
m_283,34.84219999999999,32.2758,0.008468172,0.008111569,0.005300348,0.0015191335
m_284,35.64929999999998,34.0647,0.010504948,0.011122716,0.00925545,0.0075457892
m_285,35.54669999999999,33.8956,0.011879633,0.011977994,0.010132477,0.008298389
m_286,35.5359,33.8958,0.012333754,0.012334718,0.010525985,0.008282095
m_287,35.49270000000001,33.8967,0.012886167,0.012771044,0.010999625,0.0082156
m_288,35.4914,33.8516,0.012823044,0.01267586,0.010861668,0.0078476
m_289,35.543499999999995,33.7875,0.010474288,0.010764123,0.00874763,0.0055688983
m_290,33.3459,35.175,0.009537713,0.009475557,0.009196423,0.0084917
m_291,32.7834,39.9614,0.008622826,0.008261866,0.0056026955,0.0017545265
m_292,35.47110000000001,33.8971,0.010867048,0.011170778,0.009233376,0.008180669
m_293,33.3458,35.1389,0.009839055,0.009773901,0.009110269,0.0091646565
m_294,35.613699999999994,33.9663,0.01206454,0.012217975,0.01044471,0.00903697
m_295,34.77449999999999,32.0693,0.0063270917,0.0063856607,0.003782494,0.001239458
m_296,35.62450000000001,33.9661,0.012072673,0.012226431,0.010455122,0.00905336
m_298,33.400800000000004,35.1567,0.010132901,0.010081115,0.009393342,0.009505742
m_299,33.35679999999999,35.1569,0.009558245,0.009512006,0.008987592,0.009590315
m_301,35.481899999999996,33.8969,0.012876387,0.012761004,0.0109871095,0.008198237
m_302,35.4924,33.8877,0.012843891,0.012727648,0.010945543,0.008140648
m_303,33.36789999999999,35.1659,0.0095500145,0.009508043,0.009019599,0.009764009
m_306,35.557000000000016,33.8773,0.011808668,0.011904389,0.010042114,0.008162029
m_308,34.88120000000001,32.1039,0.009038083,0.008550446,0.005560309,0.001107465
m_311,33.62950000000001,34.9213,0.01450271,0.014221289,0.012630577,0.0070829475
m_313,34.87039999999999,32.095,0.007864991,0.007570151,0.0047644977,0.0012948266
s_0,36.134299999999996,36.19117,1.347185,1.347185,1.347185,1.347185
s_1,35.88310000000001,36.40886,1.314689,1.314689,1.314689,1.314689
s_10,36.366119999999995,36.49797,0.735758,0.735758,0.735758,0.735758
s_100,34.60276999999999,36.78098,0.045079,0.045079,0.045079,0.045079
s_101,37.679,38.86677,0.045067,0.045067,0.045067,0.045067
s_102,38.26406,38.78066,0.04283,0.04283,0.04283,0.04283
s_103,39.8998,39.486,0.042573,0.042573,0.042573,0.042573
s_104,35.34376,37.00338,0.040627,0.040627,0.040627,0.040627
s_105,37.490759999999995,38.56063,0.038005,0.038005,0.038005,0.038005
s_106,36.114869999999996,37.85589,0.0379758,0.0379758,0.03797588,0.037976112
s_107,39.931989999999985,38.69583,0.037491,0.037491,0.037491,0.037491
s_108,39.03453999999999,39.60185,0.036805,0.036805,0.036805,0.036805
s_109,41.15111999999999,37.873,0.036805,0.036805,0.036805,0.036805
s_11,36.40639999999999,36.64536,0.693103,0.693103,0.693103,0.693103
s_110,38.91709,39.06302,0.036457147,0.036457215,0.036457293,0.03645758
s_111,38.55709000000002,38.03091,0.03644085,0.03644066,0.036441065,0.036441334
s_112,37.2475,38.7269,0.035009,0.035009,0.035009,0.035009
s_113,35.529240000000016,37.56261,0.034221,0.034221,0.034221,0.034221
s_114,38.72728000000001,38.79913,0.033684,0.033684,0.033684,0.033684
s_115,37.112300000000005,36.7088,0.033608,0.033608,0.033608,0.033608
s_116,35.61148,37.62142,0.03229545,0.032295544,0.032295503,0.032295622
s_117,34.48289,38.18488,0.031825,0.031825,0.031825,0.031825
s_118,37.65275,37.78694,0.029582,0.029582,0.029582,0.029582
s_119,41.050399999999996,38.96616,0.027778,0.027778,0.027778,0.027778
s_12,37.138030000000015,37.38676,0.664579,0.664579,0.664579,0.664579
s_120,35.723360000000014,37.70486,0.02784685,0.02784685,0.027846875,0.027847055
s_121,40.72373999999999,37.32632,0.027422,0.027422,0.027422,0.027422
s_122,39.213419999999985,39.35777,0.027197896,0.027197894,0.02719798,0.02719811
s_123,41.502099999999984,38.1724,0.025021514,0.02502153,0.025021419,0.025021352
s_124,37.38239999999999,39.2308,0.024752,0.024752,0.024752,0.024752
s_125,35.479119999999995,38.39485,0.024435919,0.02443593,0.02443595,0.024436124
s_126,34.673,37.96789,0.023854,0.023854,0.023854,0.023854
s_127,35.49986000000001,38.68963,0.023654,0.023654,0.023654,0.023654
s_128,35.35718,38.1057,0.023151949,0.023151949,0.023151964,0.02315202
s_129,37.42765,37.96632,0.022204619,0.022204548,0.022204766,0.022205165
s_13,36.838359999999994,37.37547,0.664256,0.664256,0.664256,0.664256
s_130,41.386120000000005,37.56916,0.02209346,0.022093505,0.022093382,0.022093344
s_131,36.080719999999985,39.18482,0.021403,0.021403,0.021403,0.021403
s_132,41.357429999999994,37.41714,0.021214,0.021214,0.021214,0.021214
s_133,39.53469000000001,39.07473,0.020468,0.020468,0.020468,0.020468
s_134,41.00200000000001,38.48776,0.020298012,0.020298019,0.020297995,0.020298034
s_135,33.93664000000001,36.38226,0.020018,0.020018,0.020018,0.020018
s_136,38.55493000000001,39.46104,0.019896,0.019896,0.019896,0.019896
s_137,34.89896999999999,36.92142,0.01982,0.01982,0.01982,0.01982
s_138,33.92635000000001,35.12698,0.018899,0.018899,0.018899,0.018899
s_139,34.60043000000002,37.1659,0.017777,0.017777,0.017777,0.017777
