FIELD,DESCRIPTION
Year,1994
Country,Colombia
Region,South America
Event Name,Cacua 1994
Local Date,06/06/1994
Local Time,03:47:00
Latitude (decimal degrees),2.89
Longitude (decimal degrees),-75.95
Depth (km),10
Mw,6.8
Max Intensity (MMI),IX
Fault mechanism,Strike-Slip
Tectonic region type,Active Shallow Crust
Fatalities,128-1100
Injured,158-207
Displaced population,13000-24797
Affected population,12461-28569
Affected units,~1664 
Damaged units,~3160 
Collapsed units,~200 
Economic losses,2.4 M USD
Insured losses,
Earthquake-triggered effects,"Landslides, Flood, Avalanches"
USGS event ID,usp0006dv8
Wikipedia page,https://en.wikipedia.org/wiki/1994 P%C3%A1ez River earthquake
