ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
MEX,Mexico,5000-45000,5000-45000,30000.0,,,,3124,412,Buildings,3000000000-4000000000,,USD,"Landslides, Tsunami",,Wikipedia,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,9500,9500,30000.0,100000,,,,,,4000000000,,USD,Tsunami,,NOAA,
MEX,Mexico,9500,9500,30204.0,100000,2130204.0,,,,,4104000000,,USD,,,EM-DAT,
MEX,Mexico,9500-35000,9500-35000,30000.0,100000,,,3124,412,Buildings,3000000000-4000000000,,USD,"Landslides, Rockslides, Tsunami",,USGS,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,5000,5000,,,,,100000,,Buildings,,,,,,Theguardian,
MEX,Mexico,3192-20000,3192-20000,,,,,,,,,,,,,Quinto_Poder,
MEX,Mexico,9500,9500,,,2130204.0,,,757,Buildings,4104000000,,USD,,,Perez,
MEX,Mexico,10000-50000,10000-50000,50000.0,250000,,,6000,,Buildings,3000000000-4000000000,,USD,"Landslides, Tsunami, Liquefaction",,Pararas_Carayannis,
MEX,Mexico,10000,10000,30000.0,,,,100000,3000,Buildings,,,,,,NIST,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,4287,4287,14268.0,,,,5728,330,Buildings,4000000000,,USD,,,NBS_BSS_165,"FATALITIES, INJURIES, BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED only refer to Mexico city."
MEX,Mexico,9500-35000,9500-35000,30000.0,100000-250000,,,,,,,,,"Landslides, Tsunami",,Moreno_Murillo_1995,
MEX,Mexico,10000,10000,50000.0,250000,,,,800,Buildings,5000000000,,USD,Tsunami,,Martin,
MEX,Mexico,9500,9500,30000.0,100000,,,3124,412,Buildings,3000000000-4000000000,,USD,,,Livescience,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,10000,10000,30000.0,250000,,,,>400,Buildings,,,,,,History,BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,8000,8000,30000.0,50000,,,300-3300,,Buildings,4000000000,,USD,Tsunami,,Glass_1989,
MEX,Mexico,10000,10000,50000.0,100000,,,3000,1100,Buildings,,,,liquefaction ,,Geo_Mexico,
MEX,Mexico,5000,5000,,,,,100000,,Buildings,,,,Tsunami,,GEO_FILE,
MEX,Mexico,>40000,>40000,,,,,,880,Buildings,,,,,,Diaz_Fanas_et_al_2019,BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,6000-10000,6000-10000,,1150000,,,68000,30000,Buildings,8000000000,,USD,,,CIPES,
MEX,Mexico,10000,10000,,>50000,,,,,,4000000000,,USD,,,Chfivez_Garcia_and_Bard_1994,
MEX,Mexico,10050,10050,40750.0,,80600.0,,5700,1970,Buildings,,,,,,Chaires,
MEX,Mexico,6000-40000,6000-40000,,250000,,,68000,30000,Buildings,8000000000,,USD,,,Caracteristicas,
MEX,Mexico,9500,9500,,,2130204.0,,,,,4104000000,,USD,,,Capraro_et_al_2018,
MEX,Mexico,3692-10000,3692-10000,,,,,,800,Buildings,,,,,,BBC,BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,10000-35000,10000-35000,,,,,>6000,,Buildings,,,,,,Arciniega_Ceballos_et_al_2017,
MEX,Mexico,8000,8000,30000.0,50000,,,300-3300,,Buildings,4000000000,,USD,Tsunami,,Anderson_et_al_2016,
MEX,Mexico,9500-35000,9500-35000,,,,,3124,412,Buildings,,,,,,Berkeley_Seismo_Blog,BUILDINGS_DAMAGED and BUILDINGS_COLLAPSED only refer to Mexico city.
MEX,Mexico,6000-8000,6000-8000,150000.0,,,,,,,6216000000,,USD,,,Calderon_Villarreal_and_Hernandez_Bielma,
MEX,Mexico,10000-40000,10000-40000,,,,,,,,4000000000,,USD,,,ADST,
MEX,Mexico,5000-10000,5000-10000,50000.0,250000,,,,770,Buildings,,,,,,EcuRed,
