FIELD,DESCRIPTION
Year,2023
Region,Africa
Country,Morocco
Event_Name,MarrakeshSafi_2023
Local_Date,08/09/2023
Local_Time,23:11:01
Longitude,-8.3887
Latitude,31.0549
Depth_(km),19
Mw,6.8
Max_Intensity_(MMI),VIII
Fault_mechanism,Oblique-Slip
Tectonic_region_type,Active Shallow Crust
Fatalities,2946
Injured,5674
Displaced_Population,
Affected_Population,
Affected_Units,
Damaged_Units,
Collapsed_Units,
Economic_Losses,
Insured_Losses,
Induced_Effects,Slide
USGS page,https://earthquake.usgs.gov/earthquakes/eventpage/us7000kufc/executive
Wikipedia page,https://en.wikipedia.org/wiki/2023_Marrakesh-Safi_earthquake
