STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
APED,APED,0.07,-80.06,seismic,Stations_IGEPN,1.4072334353,1.6468772524,2.7766726359,1.1467771535,0.0,0.0,0.0,0.0,1.4072334353,1.6468772524,2.7766726359,1.1467771535,0.8284302752,1.588550147,1.4051779635,0.6066621357,0.741477472,0.631907404,0.2976813393,0.1890606256,,,,,,,,
AMNT0,AMNT0,-0.094,-80.73,seismic,Stations_IGEPN,0.5242227319,1.2041290227,1.0903592282,0.4390899882,0.0,0.0,0.0,0.0,0.4048109072,1.2041290227,0.633930095,0.392419148,0.5242227319,0.7230760441,1.0903592282,0.4390899882,0.1651957187,0.2382630621,0.3035189408,0.1543296233,,,,,,,,
APO1,APO1,-1.04,-80.46,seismic,Stations_IGEPN,0.3803023445,0.8085000829,0.7617449879,0.3006601973,0.0,0.0,0.0,0.0,0.3176579001,0.7810976629,0.6879528853,0.3006601973,0.3803023445,0.8085000829,0.7617449879,0.2957253651,0.1038133537,0.3394963721,0.1259139161,0.1437656295,,,,,,,,
ACHN,ACHN,-0.7,-80.08,seismic,Stations_IGEPN,0.369687156,0.6423466741,0.609132262,0.6727592685,0.0,0.0,0.0,0.0,0.3297573904,0.6423466741,0.5910973054,0.6727592685,0.369687156,0.6364048872,0.609132262,0.5501177724,0.1762194699,0.2266286003,0.2583750876,0.1253582578,,,,,,,,
ASDO,ASDO,-0.26,-79.12,seismic,Stations_IGEPN,0.2061412844,0.4227600173,0.5410318667,0.1323518879,0.0,0.0,0.0,0.0,0.2061412844,0.4227600173,0.5410318667,0.1323518879,0.1109458716,0.1937584829,0.2424628215,0.1274138918,0.0508529052,0.1256483364,0.0494059839,0.0250547481,,,,,,,,
AES2,AES2,0.99,-79.65,seismic,Stations_IGEPN,0.1541329256,0.2488686615,0.2790633556,0.4585377414,0.0,0.0,0.0,0.0,0.1541329256,0.2488686615,0.2790633556,0.4585377414,0.1104092762,0.2219941447,0.1784769119,0.3479259149,0.0439776758,0.1489688272,0.151830021,0.1056323688,,,,,,,,
AIB1,AIB1,0.35,-78.13,seismic,Stations_IGEPN,0.057917737,0.0733252457,0.1900417724,0.156852675,0.0,0.0,0.0,0.0,0.0493295617,0.0732395891,0.1420957006,0.1127539487,0.057917737,0.0733252457,0.1900417724,0.156852675,0.0124603466,0.0292283614,0.0431564815,0.0306897438,,,,,,,,
AMIL,AMIL,-2.18,-79.53,seismic,Stations_IGEPN,0.0520235474,0.211508141,0.1071291984,0.0822724353,0.0,0.0,0.0,0.0,0.0520235474,0.1772088239,0.0920183385,0.0822724353,0.0459107034,0.211508141,0.1071291984,0.0678931419,0.0186801223,0.0551653684,0.0418071701,0.0236394714,,,,,,,,
AOTA,AOTA,0.24,-78.26,seismic,Stations_IGEPN,0.0428266055,0.1208218003,0.1243019657,0.0886853263,0.0,0.0,0.0,0.0,0.0428266055,0.1208218003,0.1243019657,0.082962983,0.035085525,0.1140973301,0.1061017397,0.0886853263,0.0185902141,0.0489261375,0.0592398406,0.0403136649,,,,,,,,
ALIB,ALIB,-2.24,-80.85,seismic,Stations_IGEPN,0.0419262997,0.0606763186,0.0726107839,0.1430681556,0.0,0.0,0.0,0.0,0.0419262997,0.0606763186,0.0704245214,0.1430681556,0.0397088685,0.0548043197,0.0726107839,0.122544483,0.0210766565,0.0403397439,0.0484754996,0.069648322,,,,,,,,
ACUE,ACUE,-2.91,-78.96,seismic,Stations_IGEPN,0.0355981651,0.068331577,0.0883055827,0.1111227044,0.0,0.0,0.0,0.0,0.0355981651,0.068331577,0.0818806092,0.1111227044,0.0296690112,0.0647781726,0.0883055827,0.088961082,0.0178299694,0.0366947295,0.0544276588,0.0515531481,,,,,,,,
AAM2,AAM2,-1.27,-78.61,seismic,Stations_IGEPN,0.0354400612,0.0809751754,0.0755501114,0.057767073,0.0,0.0,0.0,0.0,0.0259476045,0.0753824007,0.0678738297,0.0447062637,0.0354400612,0.0809751754,0.0755501114,0.057767073,0.0149655454,0.0463561793,0.0353785133,0.0342206746,,,,,,,,
AIB2,AIB2,0.35,-78.11,seismic,Stations_IGEPN,0.0330814475,0.0484761254,0.0915877455,0.1149135324,0.0,0.0,0.0,0.0,0.0212055046,0.0318464254,0.0574157178,0.0794545818,0.0330814475,0.0484761254,0.0915877455,0.1149135324,0.0085571865,0.0256578879,0.0177840184,0.0296387706,,,,,,,,
ALAT,ALAT,-0.93,-78.62,seismic,Stations_IGEPN,0.0316415902,0.0989131893,0.0689692654,0.0548845755,0.0,0.0,0.0,0.0,0.0316415902,0.0820097188,0.0599915361,0.0548845755,0.0279115189,0.0989131893,0.0689692654,0.0505474251,0.0121700306,0.0323050806,0.032394663,0.0177564918,,,,,,,,
EPNL,EPNL,-0.21,-78.49,seismic,Stations_IGEPN,0.0268258919,0.0587322643,0.0728981304,0.0406524037,0.0,0.0,0.0,0.0,0.0268258919,0.0587322643,0.0728981304,0.0347116197,0.0202656473,0.0571708902,0.0512651942,0.0406524037,0.0133798165,0.0552517988,0.0381894268,0.0268701799,,,,,,,,
ALOR,ALOR,1.29,-78.85,seismic,Stations_IGEPN,0.0267382263,0.0635731708,0.0706936216,0.0534061521,0.0,0.0,0.0,0.0,0.0261366972,0.0635731708,0.0688285929,0.0517569239,0.0267382263,0.0474259764,0.0706936216,0.0534061521,0.0154205912,0.0290230162,0.0311930012,0.0366658263,,,,,,,,
ACH1,ACH1,-3.29,-79.91,seismic,Stations_IGEPN,0.0254982671,0.0350945411,0.0717443813,0.0796159454,0.0,0.0,0.0,0.0,0.0254982671,0.0318529123,0.0717443813,0.0796159454,0.0241086646,0.0350945411,0.0548261671,0.0638508313,0.0082063201,0.0180308045,0.0174639064,0.0286883855,,,,,,,,
PRAM,PRAM,-0.14,-78.5,seismic,Stations_IGEPN,0.0250553517,0.0842102943,0.091051458,0.0480857725,0.0,0.0,0.0,0.0,0.0250553517,0.0800929794,0.091051458,0.0384136231,0.0233378186,0.0842102943,0.0655635066,0.0480857725,0.0134328236,0.0492171361,0.0399067114,0.0238174671,,,,,,,,
AGYE,AGYE,-2.05,-79.95,seismic,Stations_IGEPN,0.0234849134,0.0444461254,0.0436184295,0.0226146632,0.0,0.0,0.0,0.0,0.0186759429,0.0444461254,0.0234093024,0.0219090017,0.0234849134,0.0360263874,0.0436184295,0.0226146632,0.0148925586,0.0509899159,0.0276201446,0.0189894388,,,,,,,,
ATUL,ATUL,0.77,-77.72,seismic,Stations_IGEPN,0.021051682,0.0383940509,0.0538426371,0.0644057328,0.0,0.0,0.0,0.0,0.0162885831,0.026326133,0.0376208607,0.0497708514,0.021051682,0.0383940509,0.0538426371,0.0644057328,0.0067738022,0.021712745,0.0265504649,0.0127336276,,,,,,,,
ALJ1,ALJ1,-3.99,-79.2,seismic,Stations_IGEPN,0.0163119266,0.0275370175,0.0350397542,0.0425578263,0.0,0.0,0.0,0.0,0.0154825688,0.0269223747,0.0350397542,0.0425578263,0.0163119266,0.0275370175,0.0332139312,0.0401510233,0.0089555556,0.0143856873,0.0172459188,0.0202871401,,,,,,,,
UTM:(17N 060 000 10000),,0.0452,-80.0564,macroseismic,Stations_USGS,1.159211,1.671493,,1.507577,0.8059,1.0131,,1.0822,,,,,,,,,,,,,423.43,8.9,0.3,0.875,107.8727,1.4737,0.268141,inferred
UTM:(17M 062 975 10000),,-2.2161,-79.8759,macroseismic,Stations_USGS,0.20257,0.432367,,0.470656,0.8059,1.0131,,1.0822,,,,,,,,,,,,,246.99,7.0,0.3,0.875,27.0175,1.4737,0.092214,inferred
UTM:(17M 061 975 10000),,-2.2162,-79.9658,macroseismic,Stations_USGS,0.096072,0.221912,,0.181425,0.8059,1.0131,,1.0822,,,,,,,,,,,,,210.56,5.8,0.3,0.875,11.2693,1.4737,0.036803,inferred
UTM:(17M 062 976 10000),,-2.1257,-79.876,macroseismic,Stations_USGS,0.06724,0.154319,,0.11153,0.8059,1.0131,,1.0822,,,,,,,,,,,,,237.76,5.2,0.3,0.875,7.2782,1.4737,0.022994,inferred
UTM:(17M 078 996 10000),,-0.3163,-78.4396,macroseismic,Stations_USGS,0.056134,0.10336,,0.08756,0.8059,1.0131,,1.0822,,,,,,,,,,,,,398.56,4.9,0.3,0.875,5.8491,1.4737,0.018201,inferred
UTM:(17M 078 998 10000),,-0.1356,-78.4396,macroseismic,Stations_USGS,0.039142,0.0464,,0.053949,0.8059,1.0131,,1.0822,,,,,,,,,,,,,445.1,4.3,0.3,0.875,3.7776,1.4737,0.011401,inferred
UTM:(17M 077 997 10000),,-0.226,-78.5294,macroseismic,Stations_USGS,0.036071,0.041102,,0.049477,0.8059,1.0131,,1.0822,,,,,,,,,,,,,882.74,4.2,0.3,0.875,3.5121,1.4737,0.010477,inferred
UTM:(17M 078 997 10000),,-0.2259,-78.4396,macroseismic,Stations_USGS,0.034542,0.040152,,0.05003,0.8059,1.0131,,1.0822,,,,,,,,,,,,,605.76,4.2,0.3,0.875,3.5121,1.4737,0.010608,inferred
UTM:(17M 071 967 10000),,-2.9387,-79.0657,macroseismic,Stations_USGS,0.031489,0.042732,,0.064811,0.8059,1.0131,,1.0822,,,,,,,,,,,,,751.26,4.4,0.3,0.875,4.0631,1.4737,0.013829,inferred
UTM:(17M 077 998 10000),,-0.1356,-78.5294,macroseismic,Stations_USGS,0.027246,0.031578,,0.038664,0.8059,1.0131,,1.0822,,,,,,,,,,,,,900.0,4.0,0.3,0.875,2.6996,1.4737,0.007582,inferred
UTM:(17M 072 967 10000),,-2.9385,-78.9758,macroseismic,Stations_USGS,0.023155,0.032359,,0.055441,0.8059,1.0131,,1.0822,,,,,,,,,,,,,568.84,4.2,0.3,0.875,3.5121,1.4737,0.011902,inferred
UTM:(17M 072 968 10000),,-2.8481,-78.9759,macroseismic,Stations_USGS,0.020416,0.028585,,0.050912,0.8059,1.0131,,1.0822,,,,,,,,,,,,,458.64,4.1,0.3,0.875,3.1573,1.4737,0.010954,inferred
UTM:(18N 032 037 10000),,3.3914,-76.5752,macroseismic,Stations_USGS,0.015784,0.023522,,0.048358,0.8059,1.0131,,1.0822,,,,,,,,,,,,,608.18,4.0,0.3,0.875,2.6996,1.4737,0.01047,inferred
UTM:(18N 033 037 10000),,3.3916,-76.4852,macroseismic,Stations_USGS,0.015784,0.023522,,0.048358,0.8059,1.0131,,1.0822,,,,,,,,,,,,,207.21,4.0,0.3,0.875,2.6996,1.4737,0.01047,inferred
TUM,"Tumaco, Colombia",1.8355,-78.7256,seismic,Stations_USGS,2.6e-05,4.5e-05,,9e-06,0.0,0.0,,0.0,,,,,,,,,,,,,600.0,1.0,0.63,0.0,0.0012,0.0,2e-06,inferred
UTM:(17N 080 003 10000),,0.3163,-78.26,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,571.76,3.8,0.3,,,,,inferred
UTM:(18N 033 038 10000),,3.482,-76.4854,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,222.04,3.7,0.3,,,,,inferred
UTM:(18N 059 051 10000),,4.6587,-74.1435,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,760.0,2.3,0.3,,,,,inferred
UTM:(18N 060 051 10000),,4.6586,-74.0533,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,760.0,2.0,0.3,,,,,inferred
UTM:(18N 060 052 10000),,4.7491,-74.0532,macroseismic,Stations_USGS,,,,,,,,,,,,,,,,,,,,,760.0,2.2,0.3,,,,,inferred
