STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
TUM,"Tumaco, Colombia",-78.7256,1.8355,seismic,600.0,1.0,0.63,0.0,2.6e-05,0.0,0.0012,0.0,4.5e-05,0.0,9e-06,0.0,2e-06,inferred,Stations_USGS
UTM:(17M 061 975 10000),,-79.9658,-2.2162,macroseismic,210.56,5.8,0.3,0.8059,0.096072,0.875,11.2693,1.0131,0.221912,1.0822,0.181425,1.4737,0.036803,inferred,Stations_USGS
UTM:(17M 062 975 10000),,-79.8759,-2.2161,macroseismic,246.99,7.0,0.3,0.8059,0.20257,0.875,27.0175,1.0131,0.432367,1.0822,0.470656,1.4737,0.092214,inferred,Stations_USGS
UTM:(17M 062 976 10000),,-79.876,-2.1257,macroseismic,237.76,5.2,0.3,0.8059,0.06724,0.875,7.2782,1.0131,0.154319,1.0822,0.11153,1.4737,0.022994,inferred,Stations_USGS
UTM:(17M 071 967 10000),,-79.0657,-2.9387,macroseismic,751.26,4.4,0.3,0.8059,0.031489,0.875,4.0631,1.0131,0.042732,1.0822,0.064811,1.4737,0.013829,inferred,Stations_USGS
UTM:(17M 072 967 10000),,-78.9758,-2.9385,macroseismic,568.84,4.2,0.3,0.8059,0.023155,0.875,3.5121,1.0131,0.032359,1.0822,0.055441,1.4737,0.011902,inferred,Stations_USGS
UTM:(17M 072 968 10000),,-78.9759,-2.8481,macroseismic,458.64,4.1,0.3,0.8059,0.020416,0.875,3.1573,1.0131,0.028585,1.0822,0.050912,1.4737,0.010954,inferred,Stations_USGS
UTM:(17M 077 997 10000),,-78.5294,-0.226,macroseismic,882.74,4.2,0.3,0.8059,0.036071,0.875,3.5121,1.0131,0.041102,1.0822,0.049477,1.4737,0.010477,inferred,Stations_USGS
UTM:(17M 077 998 10000),,-78.5294,-0.1356,macroseismic,900.0,4.0,0.3,0.8059,0.027246,0.875,2.6996,1.0131,0.031578,1.0822,0.038664,1.4737,0.007582,inferred,Stations_USGS
UTM:(17M 078 996 10000),,-78.4396,-0.3163,macroseismic,398.56,4.9,0.3,0.8059,0.056134,0.875,5.8491,1.0131,0.10336,1.0822,0.08756,1.4737,0.018201,inferred,Stations_USGS
UTM:(17M 078 997 10000),,-78.4396,-0.2259,macroseismic,605.76,4.2,0.3,0.8059,0.034542,0.875,3.5121,1.0131,0.040152,1.0822,0.05003,1.4737,0.010608,inferred,Stations_USGS
UTM:(17M 078 998 10000),,-78.4396,-0.1356,macroseismic,445.1,4.3,0.3,0.8059,0.039142,0.875,3.7776,1.0131,0.0464,1.0822,0.053949,1.4737,0.011401,inferred,Stations_USGS
UTM:(17N 060 000 10000),,-80.0564,0.0452,macroseismic,423.43,8.9,0.3,0.8059,1.159211,0.875,107.8727,1.0131,1.671493,1.0822,1.507577,1.4737,0.268141,inferred,Stations_USGS
UTM:(17N 080 003 10000),,-78.26,0.3163,macroseismic,571.76,3.8,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(18N 032 037 10000),,-76.5752,3.3914,macroseismic,608.18,4.0,0.3,0.8059,0.015784,0.875,2.6996,1.0131,0.023522,1.0822,0.048358,1.4737,0.01047,inferred,Stations_USGS
UTM:(18N 033 037 10000),,-76.4852,3.3916,macroseismic,207.21,4.0,0.3,0.8059,0.015784,0.875,2.6996,1.0131,0.023522,1.0822,0.048358,1.4737,0.01047,inferred,Stations_USGS
UTM:(18N 033 038 10000),,-76.4854,3.482,macroseismic,222.04,3.7,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(18N 059 051 10000),,-74.1435,4.6587,macroseismic,760.0,2.3,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(18N 060 051 10000),,-74.0533,4.6586,macroseismic,760.0,2.0,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(18N 060 052 10000),,-74.0532,4.7491,macroseismic,760.0,2.2,0.3,,,,,,,,,,,inferred,Stations_USGS
