# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,AbrahamsonEtAl2015SSlab,AtkinsonBoore2003SSlab,ZhaoEtAl2016SSlab
t_0,26.343760000000003,44.01169,0.021099629,0.012308367,0.021595672
t_1,26.471689999999995,44.03154,0.020918136,0.012887102,0.022319607
t_10,26.901610000000005,44.11686,0.02090248,0.0147915855,0.02489207
t_100,26.23383000000001,44.11046,0.020964058,0.013639246,0.023342852
t_1000,25.369910000000004,44.47597,0.02338134,0.014605346,0.024643116
t_1001,25.28721999999999,44.48205,0.021400725,0.014007471,0.023840234
t_1002,25.41552999999999,44.50251,0.024116386,0.015426973,0.025737513
t_1003,25.332819999999998,44.50861,0.023568017,0.01478978,0.02488966
t_1004,25.250100000000003,44.51468,0.022187484,0.014183881,0.024077728
t_1005,25.46117000000001,44.52904,0.024936266,0.016302714,0.026893359
t_1006,25.378440000000012,44.53516,0.025081085,0.015623295,0.025997551
t_1007,25.24163999999999,44.45548,0.02204332,0.013272856,0.022845654
t_1008,25.204520000000002,44.4881,0.021869823,0.013438719,0.02307102
t_1009,25.167360000000002,44.52071,0.021959282,0.013607046,0.023299247
t_101,26.279499999999985,44.13688,0.022584751,0.014257799,0.024177091
t_1010,25.212950000000006,44.5473,0.021465758,0.014363274,0.024318723
t_1011,25.13019,44.55331,0.021848878,0.013766493,0.023514986
t_1012,25.175780000000003,44.5799,0.021703811,0.014536921,0.024551515
t_1013,25.092989999999986,44.58589,0.021673612,0.013909674,0.023708355
t_1014,25.221389999999985,44.60646,0.023684522,0.015356675,0.025644265
t_1015,25.13857999999999,44.61248,0.021149874,0.014692952,0.02476029
t_1016,25.055759999999992,44.61846,0.022071693,0.014035845,0.023878468
t_1017,25.62661,44.5167,0.027391044,0.017685724,0.028698321
t_1018,25.543900000000008,44.52289,0.025884375,0.016997574,0.027803201
t_1019,25.589580000000012,44.54938,0.027221788,0.017968664,0.029064719
t_102,26.19713999999999,44.14335,0.021484023,0.014095221,0.023958432
t_1020,25.50684000000001,44.55555,0.02646439,0.01723566,0.02811355
t_1021,25.635289999999998,44.57586,0.02877181,0.019002415,0.0303957
t_1022,25.55252999999999,44.58205,0.027750595,0.01822941,0.02940156
t_1023,25.469760000000008,44.5882,0.026464242,0.017459014,0.028404059
t_1024,25.598240000000004,44.60853,0.028373802,0.019287927,0.03076126
t_1025,25.515449999999987,44.6147,0.027980456,0.018469714,0.029711312
t_1026,25.643969999999996,44.635,0.029348059,0.020415816,0.03219723
t_1027,25.29570000000001,44.54125,0.024042089,0.014977498,0.025140062
t_1028,25.424090000000007,44.56169,0.02591452,0.016511722,0.027167687
t_1029,25.34133,44.56779,0.024627429,0.015822897,0.026261382
t_103,26.599670000000003,44.0513,0.017782936,0.013419934,0.025173878
t_1030,25.25855999999999,44.57386,0.023753515,0.015168184,0.025393886
t_1031,25.386979999999994,44.59433,0.024646372,0.016724315,0.027446138
t_1032,25.304190000000006,44.60041,0.025090659,0.016025925,0.026529174
t_1033,25.432649999999995,44.62084,0.027573708,0.017685346,0.028697832
t_1034,25.34984,44.62695,0.025363613,0.016940402,0.027728574
t_1035,25.267030000000005,44.63301,0.025080785,0.016229628,0.026797295
t_1036,25.395520000000005,44.65346,0.0269837,0.017915536,0.02899599
t_1037,25.184200000000004,44.63905,0.023641365,0.015527149,0.02587027
t_1038,25.10136,44.64505,0.02255791,0.014830571,0.024944117
t_1039,25.018519999999995,44.65101,0.022248294,0.014144256,0.024024427
t_104,26.517390000000006,44.05792,0.021554593,0.013415462,0.023039449
t_1040,25.229839999999996,44.6656,0.025308546,0.016415803,0.027041862
t_1041,25.146989999999988,44.67162,0.02424433,0.01567742,0.02606915
t_1042,25.064120000000003,44.6776,0.02288152,0.014948741,0.025101736
t_1043,25.19263000000001,44.69818,0.025201673,0.016580133,0.027257355
t_1044,25.10974999999999,44.70418,0.023711495,0.015806537,0.026239777
t_1045,25.026849999999996,44.71014,0.02306369,0.015046732,0.025232283
t_1046,25.23830000000001,44.72472,0.026344419,0.017542804,0.028512884
t_1047,25.561170000000004,44.64119,0.029076044,0.019548638,0.031094324
