# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:None, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,"BCHydroESHM20SSlab
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
t_0,26.343760000000003,44.01169,0.014990141,0.009940285,0.02260542,0.014990141,0.014990141
t_1,26.471689999999995,44.03154,0.014922402,0.009895367,0.022503268,0.014922402,0.014922402
t_10,26.901610000000005,44.11686,0.015107804,0.0100183105,0.022782857,0.015107804,0.015107804
t_100,26.23383000000001,44.11046,0.015058384,0.009985539,0.022708332,0.015058384,0.015058384
t_1000,25.369910000000004,44.47597,0.01703821,0.011298403,0.025693946,0.01703821,0.01703821
t_1001,25.28721999999999,44.48205,0.015490437,0.010272042,0.023359874,0.015490437,0.015490437
t_1002,25.41552999999999,44.50251,0.01768579,0.0117278285,0.02667051,0.01768579,0.01768579
t_1003,25.332819999999998,44.50861,0.017202267,0.011407195,0.02594135,0.017202267,0.017202267
t_1004,25.250100000000003,44.51468,0.016096136,0.010673694,0.02427328,0.016096136,0.016096136
t_1005,25.46117000000001,44.52904,0.018403979,0.012204075,0.027753552,0.018403979,0.018403979
t_1006,25.378440000000012,44.53516,0.018443411,0.012230223,0.027813017,0.018443411,0.018443411
t_1007,25.24163999999999,44.45548,0.015880583,0.010530757,0.023948222,0.015880583,0.015880583
t_1008,25.204520000000002,44.4881,0.015770724,0.010457907,0.023782553,0.015770724,0.015770724
t_1009,25.167360000000002,44.52071,0.015854321,0.010513343,0.02390862,0.015854321,0.015854321
t_101,26.279499999999985,44.13688,0.016331479,0.010829755,0.024628183,0.016331479,0.016331479
t_1010,25.212950000000006,44.5473,0.01557595,0.010328748,0.02348883,0.01557595,0.01557595
t_1011,25.13019,44.55331,0.015787207,0.010468838,0.023807412,0.015787207,0.015787207
t_1012,25.175780000000003,44.5799,0.015768701,0.010456566,0.023779504,0.015768701,0.015768701
t_1013,25.092989999999986,44.58589,0.015669718,0.010390928,0.023630235,0.015669718,0.015669718
t_1014,25.221389999999985,44.60646,0.017347379,0.011503421,0.02616018,0.017347379,0.017347379
t_1015,25.13857999999999,44.61248,0.015369447,0.010191812,0.02317742,0.015369447,0.015369447
t_1016,25.055759999999992,44.61846,0.015976759,0.010594534,0.02409326,0.015976759,0.015976759
t_1017,25.62661,44.5167,0.020424215,0.013543737,0.030800108,0.020424215,0.020424215
t_1018,25.543900000000008,44.52289,0.019197185,0.012730068,0.028949723,0.019197185,0.019197185
t_1019,25.589580000000012,44.54938,0.02032742,0.013479551,0.03065414,0.02032742,0.02032742
t_102,26.19713999999999,44.14335,0.0154982,0.01027719,0.023371583,0.0154982,0.0154982
t_1020,25.50684000000001,44.55555,0.019673055,0.013045627,0.029667344,0.019673055,0.019673055
t_1021,25.635289999999998,44.57586,0.021635758,0.014347137,0.032627136,0.021635758,0.021635758
t_1022,25.55252999999999,44.58205,0.020769298,0.01377257,0.0313205,0.020769298,0.020769298
t_1023,25.469760000000008,44.5882,0.019700693,0.013063954,0.029709022,0.019700693,0.019700693
t_1024,25.598240000000004,44.60853,0.021358626,0.014163365,0.032209218,0.021358626,0.021358626
t_1025,25.515449999999987,44.6147,0.02097735,0.013910533,0.031634245,0.02097735,0.02097735
t_1026,25.643969999999996,44.635,0.0222278,0.014739732,0.033519946,0.0222278,0.0222278
