# 19900530_Sequence_Vrancea/19900531_M6.31_Vrancea median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,"BCHydroESHM20SSlab
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = -1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
sigma_mu_epsilon = 1.355630
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = -0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00","BCHydroESHM20SSlab
theta_6_adjustment = 0.001500
faba_taper_model = ""SFunc""
a = -100.00
b = 100.00"
s_0,27.626000000000005,46.266,0.015868,0.015868,0.015868,0.015868,0.015868
s_1,28.03200000000001,44.314,0.011895,0.011895,0.011895,0.011895,0.011895
s_2,26.7277,45.8657,0.018983,0.018983,0.018983,0.018983,0.018983
t_0,26.343760000000003,44.01169,0.01037606,0.008825792,0.012198636,0.01037606,0.01037606
t_1,26.471689999999995,44.03154,0.010317176,0.008775765,0.012129326,0.010317176,0.010317176
t_10,26.901610000000005,44.11686,0.010400671,0.008848215,0.01222551,0.010400671,0.010400671
t_100,26.23383000000001,44.11046,0.010412814,0.008857036,0.012241872,0.010412814,0.010412814
t_1000,25.369910000000004,44.47597,0.011790334,0.010028705,0.013861409,0.011790334,0.011790334
t_1001,25.28721999999999,44.48205,0.010735557,0.009131526,0.012621352,0.010735557,0.010735557
t_1002,25.41552999999999,44.50251,0.0122229,0.010396641,0.014369957,0.0122229,0.0122229
t_1003,25.332819999999998,44.50861,0.011901381,0.010123161,0.013991962,0.011901381,0.011901381
t_1004,25.250100000000003,44.51468,0.011151036,0.009484926,0.013109813,0.011151036,0.011151036
t_1005,25.46117000000001,44.52904,0.01270195,0.010804115,0.014933155,0.01270195,0.01270195
t_1006,25.378440000000012,44.53516,0.012740008,0.010836486,0.014977899,0.012740008,0.012740008
t_1007,25.24163999999999,44.45548,0.011013683,0.009368095,0.012948332,0.011013683,0.011013683
t_1008,25.204520000000002,44.4881,0.010937025,0.009302891,0.012858209,0.010937025,0.010937025
t_1009,25.167360000000002,44.52071,0.010993556,0.009350976,0.012924671,0.010993556,0.010993556
t_101,26.279499999999985,44.13688,0.011276561,0.009591743,0.013257323,0.011276561,0.011276561
t_1010,25.212950000000006,44.5473,0.010791962,0.009179503,0.012687664,0.010791962,0.010791962
t_1011,25.13019,44.55331,0.010946456,0.009310913,0.0128692975,0.010946456,0.010946456
t_1012,25.175780000000003,44.5799,0.010923546,0.009291426,0.012842362,0.010923546,0.010923546
t_1013,25.092989999999986,44.58589,0.010864764,0.009241426,0.012773255,0.010864764,0.010864764
t_1014,25.221389999999985,44.60646,0.011996955,0.010204454,0.0141043225,0.011996955,0.011996955
t_1015,25.13857999999999,44.61248,0.0106477495,0.009056837,0.012518119,0.0106477495,0.0106477495
t_1016,25.055759999999992,44.61846,0.01107535,0.009420549,0.013020833,0.01107535,0.01107535
