FIELD,DESCRIPTION
Year,1997
Country,Italy
Region,Europe
Event Name,UmbriaMarche 1997
Local Date,26/09/1997
Local Time,00:33:12
Latitude (decimal degrees),43.048
Longitude (decimal degrees),12.879
Depth (km),10
Mw,5.7
Max Intensity (MMI),X
Fault mechanism,Normal
Tectonic region type,Active Shallow Crust
Fatalities,11-14
Injured,~100
Displaced population,~38000
Affected population,~38100
Affected units,
Damaged units,
Collapsed units,80000 Buildings
Economic losses,4524-5106 M USD
Insured losses,4.1 M USD
Earthquake-triggered effects,
USGS event ID,usp000881f
Wikipedia page,https://en.wikipedia.org/wiki/1997 Umbria and Marche earthquake
