# 20170403_M6.5_Moijabana median gmf, Stations:None, gmlt:USGS, Rupture:USGS
custom_site_id,lon,lat,Atkinson2008prime,AtkinsonBoore2006Modified2011,Campbell2003MwNSHMP2008,FrankelEtAl1996MwNSHMP2008,PezeshkEtAl2011,SilvaEtAl2002MwNSHMP2008,SomervilleEtAl2001NSHMP2008,TavakoliPezeshk2005MwNSHMP2008,ToroEtAl1997MwNSHMP2008
t_0,21.203210000000013,-26.75722,0.00021323928,0.0039804974,0.0047505046,0.0038048555,0.002682511,0.0031582946,0.0024014977,0.0047179735,0.002113459
t_1,21.02355,-26.75722,0.00021862982,0.004490968,0.004566924,0.0036437884,0.002582055,0.0030575246,0.0022429104,0.0045278687,0.0020150412
t_10,21.742199999999997,-26.43592,0.0005136839,0.005853344,0.0058836797,0.0048043835,0.0033018212,0.0037793564,0.0034376697,0.00589685,0.0027299698
t_100,23.404089999999997,-24.61208,0.010825665,0.017375145,0.019125823,0.01761098,0.010539205,0.01122056,0.017378604,0.020026088,0.010294614
t_1000,24.5719,-24.40774,0.02972464,0.028511098,0.032991994,0.030442368,0.018182857,0.01945852,0.030629054,0.035125528,0.01827023
t_10000,26.233779999999996,-20.67504,0.014642604,0.01916839,0.023357634,0.021504251,0.012864229,0.013615089,0.021519737,0.024613323,0.012660331
t_10001,26.323610000000002,-20.67504,0.01240328,0.016732356,0.022663232,0.020889629,0.012482241,0.013212489,0.020841105,0.023859099,0.012265514
t_10002,26.323610000000002,-20.63301,0.014353924,0.019877492,0.022087442,0.020319216,0.01216564,0.012879304,0.020274132,0.023234123,0.011937886
t_10003,26.14394999999999,-20.67504,0.014414788,0.018347403,0.024041563,0.022100503,0.01324064,0.0140124345,0.022182647,0.025356699,0.013048864
t_10004,26.14394999999999,-20.63301,0.014442332,0.018880524,0.023389941,0.021467486,0.012882007,0.013633841,0.021551177,0.024648428,0.012678692
t_10005,26.188860000000005,-20.63301,0.015431582,0.020451302,0.023068903,0.02118761,0.012705376,0.0134475855,0.021238245,0.024299651,0.012496207
t_10006,26.188860000000005,-20.59097,0.013958395,0.019003574,0.022458754,0.020590268,0.012369793,0.013094098,0.0206402,0.023637109,0.0121491905
t_10007,26.14394999999999,-20.59097,0.013496314,0.01812753,0.022761876,0.020855507,0.012536493,0.013269628,0.02093785,0.023966206,0.012321619
t_10008,26.233779999999996,-20.50686,0.013183472,0.019221017,0.02102718,0.01921099,0.011582985,0.012267351,0.01922007,0.022084339,0.011334023
t_10009,26.233779999999996,-20.33849,0.010821785,0.017653955,0.01899569,0.017205695,0.010467817,0.011100763,0.017164772,0.0198854,0.010175137
t_1001,24.52698000000001,-24.40774,0.029440109,0.028506871,0.032580502,0.03010517,0.017954996,0.019208426,0.030265333,0.034674983,0.018034348
t_10010,26.233779999999996,-20.16993,0.009183593,0.016832596,0.01721906,0.015458963,0.00949385,0.010087242,0.015330702,0.0179672,0.009159988
t_10011,26.233779999999996,-20.0012,0.0077379257,0.01599418,0.01565979,0.013940273,0.008640024,0.009203154,0.013695643,0.016287923,0.008268223
t_10012,26.233779999999996,-19.83228,0.0043944516,0.0102775,0.014285846,0.012617198,0.00788841,0.008428518,0.012238413,0.0148119265,0.0074822726
t_10013,26.368529999999993,-20.63301,0.010795468,0.015184733,0.021756444,0.02002237,0.011983697,0.012688041,0.019946465,0.022875031,0.011749447
t_10014,26.27869000000001,-20.63301,0.014556732,0.019855684,0.02241696,0.020612812,0.012346812,0.013069909,0.020599077,0.023591742,0.012125411
t_10015,26.233779999999996,-20.63301,0.015241279,0.020487173,0.02274429,0.020902453,0.012526821,0.013259441,0.020920612,0.02394711,0.012311618
t_10016,26.233779999999996,-20.59097,0.012531545,0.01730197,0.022151968,0.020319894,0.012201114,0.012916612,0.020337863,0.023304142,0.011974612
t_10017,26.323610000000002,-20.59097,0.012006579,0.017073333,0.021530293,0.01976647,0.01185941,0.012557476,0.019721858,0.02262976,0.011620657
t_10018,26.27869000000001,-20.59097,0.0141504165,0.019822573,0.021842316,0.02004513,0.012030895,0.012737641,0.020031594,0.022968179,0.011798341
t_10019,26.368529999999993,-20.59097,0.012287941,0.017745562,0.021216568,0.019484574,0.011687029,0.012376509,0.019409303,0.022289617,0.01144194
t_1002,24.79647,-25.62875,0.0054112035,0.01195019,0.014829109,0.013010773,0.008185522,0.008757363,0.01285964,0.015395101,0.0078164255
t_10020,26.41344000000001,-19.66318,0.0042081038,0.011736517,0.012639157,0.011078274,0.0069884392,0.007505664,0.010477494,0.013048108,0.0065408815
