# 20170403_M6.5_Moijabana median gmf, Stations:All, gmlt:GEM, Rupture:USGS
custom_site_id,lon,lat,AtkinsonBoore2006Modified2011,PezeshkEtAl2011NEHRPBC
t_0,21.20321,-26.75722,0.0032436727,0.002059159
t_1,21.02355,-26.75722,0.0036596507,0.0019820468
t_10,21.7422,-26.43592,0.0047698393,0.0025345562
t_100,23.40409,-24.61208,0.01415867,0.008090108
t_1000,24.5719,-24.40774,0.02265077,0.013838351
t_10000,26.23378,-20.67504,0.01562115,0.009875596
t_10001,26.32361,-20.67504,0.013635572,0.009582077
t_10002,26.32361,-20.63301,0.01619849,0.009338954
t_10003,26.14395,-20.67504,0.014952687,0.010165008
t_10004,26.14395,-20.63301,0.015386812,0.009889424
t_10005,26.18886,-20.63301,0.01666665,0.009753645
t_10006,26.18886,-20.59097,0.015486614,0.009495873
t_10007,26.14395,-20.59097,0.014772885,0.009623976
t_10008,26.23378,-20.50686,0.015663408,0.008891609
t_10009,26.23378,-20.33849,0.01438617,0.008035416
t_1001,24.52698,-24.40774,0.02273324,0.01368241
t_10010,26.23378,-20.16993,0.01371677,0.0072877253
t_10011,26.23378,-20.0012,0.013033529,0.006632293
t_10012,26.23378,-19.83228,0.008375048,0.0060553323
t_10013,26.36853,-20.63301,0.012374198,0.009199215
t_10014,26.27869,-20.63301,0.01618086,0.009478124
t_10015,26.23378,-20.63301,0.016695658,0.009616427
t_10016,26.23378,-20.59097,0.014099778,0.009366277
t_10017,26.32361,-20.59097,0.013913246,0.009103812
t_10018,26.27869,-20.59097,0.016153742,0.009235521
t_10019,26.36853,-20.59097,0.014460975,0.008971431
t_1002,24.79647,-25.62875,0.009737657,0.006283301
t_10020,26.41344,-19.66318,0.009563986,0.005364492
t_10021,26.81768,-21.76365,0.021103075,0.014432778
t_10022,26.81768,-21.72193,0.020782286,0.01413459
t_10023,26.77277,-21.72193,0.024310824,0.0145697
t_10024,26.72785,-21.72193,0.024703871,0.015021511
t_10025,26.72785,-21.6802,0.018390235,0.01468254
t_10026,26.77277,-21.6802,0.01754566,0.014252529
t_10027,26.81768,-21.6802,0.019471357,0.01383765
t_10028,26.77277,-21.63846,0.018514493,0.013938017
t_10029,26.81768,-21.63846,0.021226507,0.013542668
t_1003,24.79647,-25.46666,0.011932644,0.006905333
t_10030,26.72785,-21.63846,0.022650858,0.014347046
t_10031,26.54819,-21.72193,0.022418773,0.01700365
t_10032,26.50327,-21.72193,0.0243781,0.01754481
t_10033,26.45836,-21.72193,0.02195404,0.018104514
t_10034,26.50327,-21.6802,0.027450345,0.017068995
t_10035,26.41344,-21.6802,0.030154362,0.018136991
t_10036,26.45836,-21.6802,0.016423928,0.01759483
t_10037,26.54819,-21.6802,0.02398025,0.016559362
t_10038,26.50327,-21.63846,0.026315808,0.01660312
t_10039,26.41344,-21.63846,0.028308317,0.017605016
t_1004,24.79647,-25.30434,0.011936377,0.007623113
t_10040,26.45836,-21.63846,0.018480327,0.01709701
t_10041,26.63802,-21.6802,0.019738603,0.0155890025
t_10042,26.68294,-21.6802,0.018906534,0.015127858
t_10043,26.63802,-21.63846,0.024973933,0.015206783
t_10044,26.68294,-21.63846,0.02381824,0.014769834
t_10045,26.5931,-21.63846,0.027877282,0.015657956
t_10046,26.68294,-21.5967,0.026018556,0.014416824
t_10047,26.63802,-21.5967,0.02270038,0.014830674
t_10048,26.5931,-21.5967,0.022309557,0.015257136
t_10049,26.5931,-21.55493,0.02068575,0.014864328
t_1005,24.97614,-25.62875,0.011114764,0.0063473424
t_10050,26.68294,-21.55493,0.023484144,0.0140694855
t_10051,26.54819,-21.63846,0.022702198,0.016123332
t_10052,26.50327,-21.5967,0.026237365,0.016147686
t_10053,26.45836,-21.5967,0.019454733,0.016611502
t_10054,26.54819,-21.5967,0.02452508,0.015696105
t_10055,26.41344,-21.5967,0.026248286,0.017087467
t_10056,26.41344,-21.55493,0.022716474,0.016584784
t_10057,26.54819,-21.55493,0.025449453,0.015278302
t_10058,26.45836,-21.55493,0.021289097,0.016138822
t_10059,26.50327,-21.55493,0.021977708,0.01570328
