# 20091219_M6.0_Karonga median gmf, Stations:None, gmlt:GEM, Rupture:HolmgrenEtAl2023
custom_site_id,lon,lat,AkkarEtAlRjb2014,AtkinsonBoore2006Modified2011,ChiouYoungs2014,PezeshkEtAl2011NEHRPBC
t_0,33.36884,-14.05999,0.0012777506,0.0045384676,0.0002660104,0.0022647795
t_1,33.36884,-13.62388,0.00148739,0.0054246783,0.0004335134,0.0028146706
t_10,33.818,-13.62388,0.0012698488,0.0044899303,0.00036188174,0.0028539135
t_100,33.72817,-9.84258,0.057696592,0.12094353,0.06157843,0.11380344
t_101,33.99766,-9.84258,0.04180229,0.07988433,0.04325234,0.08328869
t_102,33.90783,-9.75406,0.034216374,0.06411294,0.035852812,0.06596004
t_103,33.72817,-9.75406,0.03725369,0.073099196,0.04053583,0.06599933
t_104,33.818,-9.75406,0.04061942,0.077743635,0.043985326,0.06908159
t_105,33.18918,-9.48835,0.009907436,0.02287903,0.011491374,0.018039552
t_106,33.45867,-9.66551,0.014689996,0.025447892,0.015544819,0.028560346
t_107,33.63834,-9.66551,0.021133903,0.038245328,0.022517787,0.039636098
t_108,33.36884,-9.66551,0.018533245,0.032284822,0.021906463,0.02349943
t_109,33.54851,-9.66551,0.017006993,0.030203925,0.017832547,0.03423573
t_11,33.818,-13.18696,0.0018491454,0.007145099,0.00076532597,0.003642218
t_110,33.54851,-9.48835,0.014037893,0.023339674,0.015958156,0.020207178
t_111,33.36884,-9.48835,0.008958535,0.01690742,0.009619576,0.018877583
t_112,33.90783,-9.66551,0.033113953,0.07372788,0.040460583,0.043735214
t_113,33.818,-9.66551,0.027270807,0.049648494,0.02986483,0.044940986
t_114,33.72817,-9.66551,0.021563344,0.039129544,0.02267567,0.04326212
t_115,33.72817,-9.48835,0.01504369,0.0251909,0.016909694,0.022960864
t_116,33.00952,-9.3111,0.0066053052,0.02135981,0.0073880428,0.016564924
t_118,35.16547,-14.05999,0.00085915544,0.002832418,0.00014154623,0.002069921
t_12,33.818,-12.74926,0.0019060636,0.0072427965,0.001019843,0.0047964584
t_120,34.71632,-14.49527,0.0011121623,0.003883612,0.00015499312,0.0017995042
t_121,34.71632,-14.05999,0.0008946587,0.0029837321,0.00016146924,0.002183578
t_122,34.71632,-13.62388,0.0010501291,0.0036528604,0.00026559745,0.002692717
t_123,34.26716,-14.05999,0.001103034,0.0037350047,0.00022078786,0.0022616452
t_124,34.26716,-13.62388,0.0015428892,0.0058641746,0.00045313066,0.00280986
t_125,34.26716,-13.18696,0.0018957839,0.0076430826,0.0007742194,0.0035706263
t_126,34.26716,-12.74926,0.0024781271,0.010983942,0.0013937353,0.004671537
t_127,34.26716,-12.3108,0.0021061182,0.008150666,0.0013994953,0.0063547627
t_128,34.08749,-12.3108,0.0021474983,0.008323923,0.0014526169,0.006503063
t_129,34.08749,-12.13521,0.0024207076,0.0094613135,0.0018106326,0.0074881907
t_13,33.72817,-12.3108,0.002262053,0.00879162,0.0015607143,0.0065882388
t_130,34.26716,-12.13521,0.002365717,0.009233665,0.0017378293,0.0072894464
t_131,34.08749,-11.9595,0.003743977,0.015306797,0.0033205703,0.008718386
t_132,34.44682,-11.78368,0.0029557005,0.011650818,0.0025400545,0.009437261
t_133,34.44682,-11.60775,0.0034099394,0.013479167,0.00316212,0.011113055
t_134,34.44682,-11.43171,0.0039863996,0.015760668,0.0039463677,0.013259542
t_135,34.26716,-11.9595,0.0026842004,0.010548272,0.0021684845,0.008447497
t_136,34.26716,-11.78368,0.0030835515,0.01216946,0.002714107,0.009908381
t_137,34.08749,-11.78368,0.0033298116,0.01318501,0.0030073808,0.010285186
t_138,34.26716,-11.60775,0.004149935,0.016533324,0.004081144,0.0117906155
t_139,34.08749,-11.60775,0.0042116144,0.0167743,0.004173305,0.012328377
t_14,33.90783,-12.3108,0.0019132253,0.0074186777,0.0012671181,0.0065827267
t_140,34.08749,-11.43171,0.0045423675,0.01797144,0.00467117,0.01507015
t_141,34.26716,-11.43171,0.0035918215,0.014270599,0.0034912426,0.014272036
t_142,34.08749,-11.25555,0.006765303,0.02336762,0.0076752463,0.0163024
t_143,34.26716,-11.25555,0.0051477877,0.018475961,0.0054822043,0.016062303
t_144,34.08749,-11.07929,0.0073263985,0.02031145,0.008253841,0.017213305
t_145,34.44682,-11.25555,0.004730392,0.018264502,0.0049381605,0.015734764
t_146,34.44682,-11.07929,0.0057048155,0.018719517,0.0061942213,0.016459519
t_147,34.26716,-11.07929,0.0063820416,0.018969396,0.007038728,0.01689253
t_148,34.08749,-10.90292,0.0077475556,0.01669497,0.0083683245,0.018293208
t_149,34.26716,-10.90292,0.008151007,0.019460049,0.0091503,0.017835548
t_15,33.90783,-12.13521,0.0021675725,0.008470367,0.001588912,0.007595843
t_150,34.26716,-10.72645,0.01076098,0.019935533,0.012083171,0.018906783
t_151,34.08749,-10.72645,0.014785778,0.02448091,0.017034361,0.020358326
t_152,34.17733,-10.54988,0.01660778,0.02836529,0.018085241,0.028708732
t_153,34.26716,-10.54988,0.014599299,0.024383586,0.016168833,0.023660671
t_154,33.72817,-11.07929,0.008662058,0.023044525,0.010037628,0.017436039
t_155,33.90783,-10.90292,0.010144521,0.02041058,0.011435931,0.018592462
t_156,33.72817,-10.90292,0.008996344,0.017880281,0.009837685,0.018615764
t_157,33.90783,-10.72645,0.015815003,0.02688743,0.017838124,0.023621129
t_158,33.72817,-10.72645,0.015279942,0.025927495,0.017037075,0.023925316
t_159,33.90783,-10.54988,0.027422141,0.05126678,0.030405754,0.044577673
t_16,33.72817,-12.13521,0.0029127453,0.011489831,0.0022952615,0.0076033105
t_160,33.818,-10.54988,0.029464688,0.055851195,0.032696184,0.047285844
t_161,33.72817,-10.54988,0.027525434,0.051563986,0.030231329,0.04576307
t_162,33.99766,-10.54988,0.02237308,0.039873328,0.024115626,0.03967973
t_163,33.818,-10.46155,0.047285702,0.10647192,0.055365063,0.07427948
t_164,34.08749,-10.54988,0.016735721,0.029381763,0.017463425,0.03432363
t_165,34.08749,-10.46155,0.021514596,0.039088123,0.02208392,0.046420366
t_166,34.17733,-10.46155,0.025975347,0.047273103,0.029880619,0.036456425
t_167,34.26716,-10.46155,0.017011024,0.029087706,0.018660747,0.02853342
t_168,34.26716,-10.3732,0.019560719,0.03414274,0.021259474,0.033818975
t_169,34.17733,-10.3732,0.032949105,0.06490485,0.038447287,0.045942537
t_17,33.90783,-11.9595,0.0027761317,0.01092379,0.0022963714,0.0088678235
t_170,34.08749,-10.3732,0.03964732,0.075987816,0.04372637,0.063815676
t_171,34.08749,-10.28483,0.052331384,0.1036551,0.05770006,0.08574696
t_172,34.26716,-10.28483,0.021813037,0.03866409,0.023534367,0.0385843
t_173,33.99766,-10.46155,0.031264927,0.057972774,0.033250615,0.057171486
t_174,33.90783,-10.46155,0.03848836,0.075581424,0.041974656,0.06757445
t_175,33.72817,-10.46155,0.029404145,0.058110688,0.029605065,0.07037911
t_176,33.99766,-10.3732,0.04257033,0.081662215,0.04361839,0.087549746
t_177,33.72817,-10.3732,0.04578439,0.098919414,0.045186035,0.121583395
t_178,33.818,-10.3732,0.05496123,0.11930091,0.05524133,0.13484453
t_179,33.90783,-10.3732,0.044724487,0.09274162,0.044227947,0.11390375
t_18,33.54851,-12.13521,0.0029941269,0.011829737,0.002362903,0.0075099682
t_180,33.90783,-10.28483,0.097010694,0.20675874,0.09459618,0.22087717
t_181,33.72817,-10.28483,0.09854212,0.23719445,0.09940911,0.2459979
t_182,33.818,-10.28483,0.10001356,0.276177,0.09507153,0.316807
t_183,34.17733,-10.28483,0.029642023,0.05465874,0.031347845,0.05569306
t_184,34.08749,-10.19643,0.050353713,0.09768146,0.05145485,0.103078425
t_185,34.26716,-10.19643,0.023114618,0.04129513,0.024842026,0.041372903
t_186,34.17733,-10.19643,0.032478515,0.06051684,0.034148894,0.062042914
t_187,34.17733,-10.108,0.032116998,0.05976358,0.033791397,0.061224204
t_188,34.08749,-10.108,0.049337305,0.09555643,0.050485346,0.10070477
t_189,34.17733,-10.01955,0.029599313,0.054557454,0.031302292,0.05558363
t_19,33.36884,-11.9595,0.003980206,0.017962161,0.003568025,0.0084914705
t_190,34.08749,-10.01955,0.04419698,0.084856875,0.04556151,0.08879599
t_191,34.08749,-9.93108,0.038766548,0.073566616,0.04030638,0.07632012
t_2,33.36884,-13.18696,0.0019376213,0.007993941,0.00079803815,0.0035784119
t_20,33.54851,-11.9595,0.0032484077,0.012883495,0.002779076,0.0087485425
t_21,33.18918,-11.78368,0.0041331085,0.017526668,0.0038621577,0.009458792
t_22,33.36884,-11.78368,0.0044214544,0.019299502,0.004269614,0.009963178
t_23,33.54851,-11.78368,0.0040472834,0.016206663,0.0038411443,0.010328279
t_24,33.54851,-11.60775,0.005166211,0.02172754,0.005407817,0.012392347
