ID_1,NAME_1,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,DS1_SLIGHT,DS2_MODERATE,DS3_EXTENSIVE,DS4_COMPLETE,COLLAPSED_UNITS,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,MAJOR_DAMAGE_REPAIRABLE,MINOR_DAMAGE_REPAIRABLE,100%_DAMAGE,MAJOR_DAMAGE,MINOR_DAMAGE,SEVERELY_DAMAGED,PARTIALLY_DAMAGED,SLIGHTLY_DAMAGED
5,Haa,,,1225,,,,,,170,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",250,805,,,,,,
8,Paro,,,2034,,,,,,90,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",706,"1,238",,,,,,
18,Wangduephodrang,,,54,,,,,,2,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",52,0,,,,,,
12,Samtse,,,887,,,,,,34,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",263,590,,,,,,
2,Chhukha,,,889,,,,,,9,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",99,781,,,,,,
4,Gasa,,,228,,,,,,19,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",38,171,,,,,,
16,Trongsa,,,61,,,,,,9,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",17,35,,,,,,
1,Bumthang,,,62,,,,,,0,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",0,62,,,,,,
13,Sarpang,,,56,,,,,,5,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",3,48,,,,,,
11,Samdrupjongkhar,,,18,,,,,,0,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",0,18,,,,,,
19,Trashiyangtse,,,383,,,,,,7,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",52,324,,,,,,
6,Lhuentse,,,60,,,,,,0,Buildings,Ground_shaking,Royal_Government_Buthan_2011,"Bhutan: the detailed loss of different sectors (e.g. housing, government and public buildings, religious and cultural heritage buildings, irrigation channels, etc.) is herein reported.",1,59,,,,,,
